"Compound","Tanimoto_SC_ref0_AB","Tanimoto_SC_ref1_AB","Tversky_SC_ref0_AB","Tversky_SC_ref1_AB","Carbó_SC_ref0_AB","Carbó_SC_ref1_AB","Structure of SMILES [idcode]","SMILES"
"SC1","0.616873","0.608737","0.821231","0.81098","0.644415","0.615744","fluq@@D\DCHhheMCMhdf\tZJVjfjh@JLLTij@@","CN1C(=O)C[C@@](C)([C@@H]2C[C@H]2c2ccccc2)N=C1N"
"SC10","0.445738","0.487675","0.629956","0.729394","0.447021","0.497399","f`qp@@@XXeL}{JuNV\DDT@D@@@","Cc1cccc(CNc2cccnc2N)c1"
"SC11","0.501845","0.436778","0.763587","0.795433","0.552101","0.505582","dco@`FePbDfUmVnFX@ajH@@","Cn1c(N)nc2cc(Cl)ccc21"
"SC12","0.44901","0.382566","0.628282","0.571509","0.540488","0.45047","fjcp`@IVJAJTsLjmzoPTcZ}EM@A@EDuPTAH@","Cc1ccc2c(c1)[C@@]1(COC(N)=N1)c1cc(C)ncc1O2"
"SC13","0.521716","0.610075","0.815859","0.809145","0.587622","0.642182","ffcQa@MIqDhIADadTrbRrdRbRlEIt_Aj`@jfjfJpjFgh@","CC(=O)[C@@H]1C[C@H]1[C@]1(c2ccc(OC(F)F)cc2)COC(N)=N1"
"SC14","0.540255","0.556951","0.855743","0.774059","0.539307","0.555043","fjmq@`AZCXD`fPsHEdDfYVm[[igKQ`HJijjhdTdh@","CNc1ccc(F)c([C@@]2(C)N=C(N)CO[C@H]2C(F)(F)F)c1"
"SC15","0.591611","0.619489","0.800732","0.762933","0.5821","0.623522","fhipA@LD|@HuHYHhdXihlmQegTuTDATPY@@","CNc1ccc(F)c([C@]2(C)CCSC(N)=N2)c1"
"SC16","0.47512","0.540985","0.799705","0.777136","0.526214","0.574498","fbuHa@LBdfB@ACiCIICDihYhlmpPXkUSTDATPx`@","CNc1ccc(F)c([C@]2(C)CS(=O)(=O)N(C)C(N)=N2)c1"
"SC17","0.576974","0.594906","0.805415","0.76791","0.637468","0.644705","fleqB@AZbDD`dsJujkKNNC@PUSuTTJH@","CC#C[C@@]1(c2cc(NC)ccc2F)CCOC(N)=N1"
"SC18","0.577662","0.633626","0.79288","0.802758","0.602717","0.637387","fhipA@LD|@HuHYHhdXihlmQegTsTDATPY@@","CNc1ccc(F)c([C@]2(C)C=CSC(N)=N2)c1"
"SC19","0.501201","0.43266","0.824837","0.8492","0.592109","0.526237","fcqB@NQFlDQdTTRbtVVbbRRtqYIQb}[NBBRj`@@HhP@@","COc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1"
"SC2","0.429238","0.439814","0.789816","0.705891","0.473127","0.494438","ek`\@J@IHf`I@ZPVdMi@zPrJJIERIQQIIZZFQc`ssIjjZ@`jd@`@hjHHAD@@","Cc1cc([C@@]2(c3ccnc(C(F)(F)F)c3)N=C(N)c3c(F)cccc32)ccc1F"
"SC20","0.529112","0.483323","0.759554","0.713437","0.58491","0.539147","fj}q@@DLdCHhhiDXiddibL|fIVjjP@@H`aa@@","Cc1cccc([C@@]2(c3ccccc3)NC(=N)N(C)C2=O)c1"
"SC21","0.367812","0.502377","0.527103","0.657093","0.361544","0.471314","fhypb@LD|ip@cIEDlheCijLdkQjZjjijheHrBfh@","CNC(=O)[C@@H]1C[C@H]1[C@]12COC[C@H]1CSC(N)=N2"
"SC22","0.660482","0.521203","0.791531","0.767285","0.680265","0.564052","fhyP`@AJAQJUmgmXcNB]zjjj@BdQbLP@","Cc1cccc([C@]23CCOC[C@H]2OC(N)=N3)c1"
"SC23","0.601047","0.493384","0.83254","0.713994","0.646239","0.546159","ffsq`@DLdAr\bbbdQbfbRrQFF\GJZmUUATEELVLHRM@@","Cc1ccc2c(c1)[C@]1(N=C(N)N(C)C1=O)[C@H]1COCC[C@@H]1O2"
