"Compound","Tanimoto_SC_ref0_DB","Tanimoto_SC_ref1_DB","Tversky_SC_ref0_DB","Tversky_SC_ref1_DB","Carbó_SC_ref0_DB","Carbó_SC_ref1_DB","DockingScore","Structure of SMILES [idcode]","SMILES"
"SC1","0.669149","0.603809","0.884312","0.813602","0.733626","0.666499","-6.298","fluq@@D\DCHhheMCMhdf\tZJVjfjh@JLLTij@@","CN1C(=O)C[C@@](C)([C@@H]2C[C@H]2c2ccccc2)N=C1N"
"SC10","0.629303","0.483565","0.779276","0.715452","0.655414","0.543746","-7.281","f`qp@@@XXeL}{JuNV\DDT@D@@@","Cc1cccc(CNc2cccnc2N)c1"
"SC11","0.538804","0.431623","0.803699","0.788109","0.633301","0.538515","-5.04","dco@`FePbDfUmVnFX@ajH@@","Cn1c(N)nc2cc(Cl)ccc21"
"SC12","0.661092","0.551552","0.855369","0.756074","0.726676","0.609699","-8.201","fjcp`@IVJAJTsLjmzoPTcZ}EM@A@EDuPTAH@","Cc1ccc2c(c1)[C@@]1(COC(N)=N1)c1cc(C)ncc1O2"
"SC13","0.494917","0.475446","0.791947","0.692552","0.588162","0.575462","-7.69","ffcQa@MIqDhIADadTrbRrdRbRlEIt_Aj`@jfjfJpjFgh@","CC(=O)[C@@H]1C[C@H]1[C@]1(c2ccc(OC(F)F)cc2)COC(N)=N1"
"SC14","0.590235","0.594095","0.905566","0.820554","0.668392","0.643467","-7.621","fjmq@`AZCXD`fPsHEdDfYVm[[igKQ`HJijjhdTdh@","CNc1ccc(F)c([C@@]2(C)N=C(N)CO[C@H]2C(F)(F)F)c1"
"SC15","0.687915","0.675512","0.892049","0.8232","0.727384","0.686706","-8.184","fhipA@LD|@HuHYHhdXihlmQegTuTDATPY@@","CNc1ccc(F)c([C@]2(C)CCSC(N)=N2)c1"
"SC16","0.593179","0.595173","0.911343","0.825245","0.638253","0.634067","-7.616","fbuHa@LBdfB@ACiCIICDihYhlmpPXkUSTDATPx`@","CNc1ccc(F)c([C@]2(C)CS(=O)(=O)N(C)C(N)=N2)c1"
"SC17","0.657604","0.628257","0.882638","0.799392","0.709863","0.672907","-8.134","fleqB@AZbDD`dsJujkKNNC@PUSuTTJH@","CC#C[C@@]1(c2cc(NC)ccc2F)CCOC(N)=N1"
"SC18","0.691598","0.662571","0.880323","0.812667","0.734597","0.687929","-8.245","fhipA@LD|@HuHYHhdXihlmQegTsTDATPY@@","CNc1ccc(F)c([C@]2(C)C=CSC(N)=N2)c1"
"SC19","0.321009","0.290912","0.619558","0.644407","0.463413","0.441457","-5.619","fcqB@NQFlDQdTTRbtVVbbRRtqYIQb}[NBBRj`@@HhP@@","COc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1"
"SC2","0.475967","0.480023","0.851006","0.763239","0.584054","0.571664","-7.808","ek`\@J@IHf`I@ZPVdMi@zPrJJIERIQQIIZZFQc`ssIjjZ@`jd@`@hjHHAD@@","Cc1cc([C@@]2(c3ccnc(C(F)(F)F)c3)N=C(N)c3c(F)cccc32)ccc1F"
"SC20","0.575398","0.452248","0.80034","0.672655","0.650164","0.545703","-7.215","fj}q@@DLdCHhhiDXiddibL|fIVjjP@@H`aa@@","Cc1cccc([C@@]2(c3ccccc3)NC(=N)N(C)C2=O)c1"
"SC21","0.599827","0.6191","0.840407","0.773629","0.679404","0.673843","-6.339","fhypb@LD|ip@cIEDlheCijLdkQjZjjijheHrBfh@","CNC(=O)[C@@H]1C[C@H]1[C@]12COC[C@H]1CSC(N)=N2"
"SC22","0.747037","0.651122","0.861818","0.873879","0.797862","0.665763","-7.425","fhyP`@AJAQJUmgmXcNB]zjjj@BdQbLP@","Cc1cccc([C@]23CCOC[C@H]2OC(N)=N3)c1"
