"Compound","Tanimoto_SC_ref0_AB","Tanimoto_SC_ref1_AB","Tversky_SC_ref0_AB","Tversky_SC_ref1_AB","Carbó_SC_ref0_AB","Carbó_SC_ref1_AB","Structure of SMILES [idcode]","SMILES"
"SC1","0.474943","0.438427","0.687453","0.615683","0.447047","0.396936","fj}i@@LRl{HDim]eWeUgCVbf`@`@jj`dQbX@","COc1ccc(-c2cc(N3C[C@H](C)[C@@H](N)C3)ncn2)cn1"
"SC10","0.542611","0.60535","0.844642","0.885483","0.579362","0.623458","fbmP`@CIAQJ[eWYWWdcNCF``bjjjJpjAdX@","COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](C)CN1CC2"
"SC11","0.454331","0.538335","0.688118","0.733053","0.44529","0.536134","fj}I@@FBTxFQQSQEQIKQI\EYvRmUU@A@A@aBI@@","CC(=O)[C@H]1CN(c2cc(-c3ccccc3)ncn2)C[C@@H]1N"
"SC12","0.676968","0.453417","0.862579","0.657963","0.628336","0.41731","fewab@ApQT@QddafRffRfTRVRDiwde[uZ@H@@BJj@dMgX@","C[C@H]1Oc2ccc3ccc(-c4cccc(S(C)(=O)=O)c4)cc3c2C[C@@H]1N"
"SC13","0.494999","0.611646","0.704535","0.808736","0.466084","0.59139","fluiB@FBmyLPAFRJISFIIKJTyhsoUUUUKSUXaLRd@@","C[C@H]1SC[C@H](N2Cc3cn(C(N)=O)nc3C2)C[C@@H]1N"
"SC14","0.424508","0.542234","0.64187","0.753647","0.433264","0.596128","fbmh`@DDXhHDiMrv{JslyITTmMMUUUUVMIrb`@","C[C@H]1OCC[C@H](N2Cc3[nH]nc(C(N)=O)c3C2)C[C@@H]1N"
"SC15","0.59988","0.587625","0.762612","0.780954","0.56848","0.553273","fj}Ha@LTuFB@AFPcIICLdeeDeEnBUiNUjejjjjjpY^RT@","C[C@H]1SCC[C@H](N2Cc3cn(S(C)(=O)=O)nc3C2)C[C@@H]1N"
"SC16","0.569159","0.636512","0.754223","0.871431","0.567991","0.713837","fj}H`@FR\DF\dTRfJbRRrTxHuoAjjjjejjhdIbBbX@","C[C@H](O)Cn1cc2c(n1)CN([C@H]1CCO[C@H](C)[C@@H](N)C1)C2"
"SC17","0.582636","0.576654","0.804721","0.854608","0.618288","0.672763","fmopP@DIfAffyEEEHhYdYeeDdePSoQSt[UU@pEUUUQQLKL{Ap@","CC(=O)[C@]1(O)CCN(c2ccc3c(c2)CN([C@H]2CO[C@H](C)[C@@H](N)C2)C3)C1=O"
"SC18","0.535754","0.631342","0.721549","0.867733","0.539532","0.640499","fnsHP@DV]TCMIrJJJQPsJjIIJ`kNrUjjiYjjjjIb^fXV@@","CC(=O)[C@@]1(O)CCN(c2cnn([C@H]3CO[C@H](C)[C@@H](N)C3)c2)C1=O"
"SC19","0.492052","0.645665","0.669572","0.877845","0.533356","0.682224","fnsHP@DRmTCMIrJJJQPsHzIIJ`kNrUjjfZZjjjIb^fXV@@","CC(=O)[C@@]1(O)CCN(c2ccn([C@H]3CO[C@H](C)[C@@H](N)C3)n2)C1=O"
"SC2","0.434606","0.462577","0.644679","0.725068","0.462932","0.468158","fegh`@DJJvXGYEEECEDmEUDeLkAkt\vjjjijZZVhfHq\PX@","CC(=O)[C@@H](N)[C@@H](C(=O)N(C)C)[C@H]1CC[C@@H](c2ccc3ncnn3c2)CC1"
"SC20","0.486371","0.650184","0.689089","0.850678","0.464785","0.684095","fjcX@@@XIpr\dTRTRrJbRahIgMFcfVjjjjjekEdEYP@","Cc1nc2ncc3c(n2n1)CN([C@H]1CC[C@H](C)[C@@H](N)C1)C3"
"SC21","0.428247","0.722119","0.690564","0.875321","0.460956","0.701179","fhyH@@@TD{IEDhjhdhZLxJw`HJjjhkDdY^P@","C[C@H]1CC[C@H](N2Cc3cncnc3C2)C[C@@H]1N"
"SC22","0.58775","0.648825","0.806292","0.856479","0.634762","0.702483","fjch@@@XyiNRJJJIH{QIPtErRmQsLuUUUURubrBlh@","Cc1cc2nc3c(cn2n1)CN([C@H]1CC[C@H](C)[C@@H](N)C1)C3"
"SC23","0.466333","0.589937","0.688195","0.752706","0.522821","0.587409","fluI@@DLDDFQQISIYQIPtYIWhmKTmUUUXtgJJ@@","C[C@H]1CC[C@H](c2ccc3nc(=O)ccn3n2)C[C@@H]1N"
