"Compound","Tanimoto_SC_ref0_DB","Tanimoto_SC_ref1_DB","Tversky_SC_ref0_DB","Tversky_SC_ref1_DB","Carbó_SC_ref0_DB","Carbó_SC_ref1_DB","DockingScore","Structure of SMILES [idcode]","SMILES"
"SC1","0.651275","0.607254","0.877357","0.808158","0.664495","0.726093","-6.627","fj}i@@LRl{HDim]eWeUgCVbf`@`@jj`dQbX@","COc1ccc(-c2cc(N3C[C@H](C)[C@@H](N)C3)ncn2)cn1"
"SC10","0.539133","0.579173","0.812557","0.879253","0.573838","0.727022","-6.951","fbmP`@CIAQJ[eWYWWdcNCF``bjjjJpjAdX@","COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](C)CN1CC2"
"SC11","0.608706","0.548126","0.830231","0.745695","0.65746","0.655358","-8.472","fj}I@@FBTxFQQSQEQIKQI\EYvRmUU@A@A@aBI@@","CC(=O)[C@H]1CN(c2cc(-c3ccccc3)ncn2)C[C@@H]1N"
"SC12","0.697564","0.456784","0.895261","0.693751","0.702499","0.606991","-8.068","fewab@ApQT@QddafRffRfTRVRDiwde[uZ@H@@BJj@dMgX@","C[C@H]1Oc2ccc3ccc(-c4cccc(S(C)(=O)=O)c4)cc3c2C[C@@H]1N"
"SC13","0.584926","0.512688","0.790953","0.719128","0.617678","0.631111","-6.813","fluiB@FBmyLPAFRJISFIIKJTyhsoUUUUKSUXaLRd@@","C[C@H]1SC[C@H](N2Cc3cn(C(N)=O)nc3C2)C[C@@H]1N"
"SC14","0.482453","0.511303","0.679911","0.740351","0.521564","0.624258","-7.067","fbmh`@DDXhHDiMrv{JslyITTmMMUUUUVMIrb`@","C[C@H]1OCC[C@H](N2Cc3[nH]nc(C(N)=O)c3C2)C[C@@H]1N"
"SC15","0.581047","0.475649","0.742494","0.681743","0.583572","0.587958","-6.405","fj}Ha@LTuFB@AFPcIICLdeeDeEnBUiNUjejjjjjpY^RT@","C[C@H]1SCC[C@H](N2Cc3cn(S(C)(=O)=O)nc3C2)C[C@@H]1N"
"SC16","0.587028","0.481396","0.784132","0.741791","0.593263","0.615425","-6.363","fj}H`@FR\DF\dTRfJbRRrTxHuoAjjjjejjhdIbBbX@","C[C@H](O)Cn1cc2c(n1)CN([C@H]1CCO[C@H](C)[C@@H](N)C1)C2"
"SC17","0.534301","0.401877","0.748968","0.666742","0.560595","0.570558","-6.69","fmopP@DIfAffyEEEHhYdYeeDdePSoQSt[UU@pEUUUQQLKL{Ap@","CC(=O)[C@]1(O)CCN(c2ccc3c(c2)CN([C@H]2CO[C@H](C)[C@@H](N)C2)C3)C1=O"
"SC18","0.597597","0.532191","0.768","0.771809","0.616588","0.662689","-7.595","fnsHP@DV]TCMIrJJJQPsJjIIJ`kNrUjjiYjjjjIb^fXV@@","CC(=O)[C@@]1(O)CCN(c2cnn([C@H]3CO[C@H](C)[C@@H](N)C3)c2)C1=O"
"SC19","0.557412","0.48514","0.744145","0.738371","0.575548","0.607955","-7.291","fnsHP@DRmTCMIrJJJQPsHzIIJ`kNrUjjfZZjjjIb^fXV@@","CC(=O)[C@@]1(O)CCN(c2ccn([C@H]3CO[C@H](C)[C@@H](N)C3)n2)C1=O"
"SC2","0.547314","0.447569","0.753308","0.713804","0.597726","0.590523","-6.282","fegh`@DJJvXGYEEECEDmEUDeLkAkt\vjjjijZZVhfHq\PX@","CC(=O)[C@@H](N)[C@@H](C(=O)N(C)C)[C@H]1CC[C@@H](c2ccc3ncnn3c2)CC1"
"SC20","0.552634","0.597979","0.749832","0.822732","0.585647","0.720719","-6.362","fjcX@@@XIpr\dTRTRrJbRahIgMFcfVjjjjjekEdEYP@","Cc1nc2ncc3c(n2n1)CN([C@H]1CC[C@H](C)[C@@H](N)C1)C3"
"SC21","0.489597","0.565753","0.745176","0.771842","0.544496","0.688783","-6.58","fhyH@@@TD{IEDhjhdhZLxJw`HJjjhkDdY^P@","C[C@H]1CC[C@H](N2Cc3cncnc3C2)C[C@@H]1N"
"SC22","0.58759","0.510565","0.809758","0.746502","0.602786","0.65136","-6.432","fjch@@@XyiNRJJJIH{QIPtErRmQsLuUUUURubrBlh@","Cc1cc2nc3c(cn2n1)CN([C@H]1CC[C@H](C)[C@@H](N)C1)C3"
"SC23","0.524565","0.558101","0.746487","0.740959","0.554118","0.668162","-7.173","fluI@@DLDDFQQISIYQIPtYIWhmKTmUUUXtgJJ@@","C[C@H]1CC[C@H](c2ccc3nc(=O)ccn3n2)C[C@@H]1N"
"SC24","0.621023","0.522151","0.86221","0.746139","0.653142","0.66033","-6.706","fb}h@@@XYjNRJIQRkJIJFgFBUhJYfjjjjiZpY^RT@","C[C@H]1CC[C@H](N2Cc3nn4cccnc4c3C2)C[C@@H]1N"
"SC25","0.494447","0.629144","0.754866","0.867859","0.570412","0.721826","-6.66","fj}hC@JLyIHIADabPrJPqIIIZIJG`mFcfjZZVjjjlVPUe@@","C[C@H]1CC[C@H](c2ccc3nc(C(F)(F)F)nn3n2)C[C@@H]1N"
"SC26","0.503342","0.55074","0.745285","0.743776","0.555205","0.67014","-6.699","fdeh@@@PyKvRJJJJZMJF`nR\FZifjjflLUdE@@","Cc1nnc2ccc([C@H]3CC[C@H](C)[C@@H](N)C3)nn12"
"SC27","0.505822","0.579699","0.831704","0.868993","0.559606","0.736901","-6.819","fhyP@@@FRieUVwYrUg^jjjB`bLPPeY@@","C[C@H]1CC[C@H](N2Cc3ccccc3C2)C[C@@H]1N"
"SC28","0.570051","0.665069","0.82109","0.833657","0.638092","0.745389","-6.653","fhyh@@@TXivRJJIQKHplxkUoMSMUUTvBHr|`@","C[C@H]1CC[C@H](c2ccn3cnnc3n2)C[C@@H]1N"
