PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;2;1.000000;1.000000;1.000000;1.000000;1;2;1;ref_0;Cc1ccc2sc(COC3=C[C@@](O)(C(=O)[O-])C[C@@H](O)[C@@H]3O)cc2c1
2;1;0.610638;0.683094;0.888889;0.726718;2;1;1;ref_1;COc1ccc(C[C@@H]2C(=O)[C@@H](O)[C@H](O)C[C@]2(O)C(=O)[O-])cc1
3;377;0.661843;0.488372;0.875000;0.647728;3;377;1;decoy_291;CCSCc1ccc(NC(=O)C(=O)N2CC(O)(C(=O)[O-])C2)cc1
4;177;0.625496;0.586934;0.583333;0.595494;4;177;1;decoy_498;COc1ccccc1[C@](N)(C(=O)N1CC(O)(C(=O)[O-])C1)C(F)(F)F
5;389;0.666066;0.535791;0.600000;0.587622;5;389;1;decoy_318;CC(C)(O)[C@H](O)C(=O)N1C[C@@H](C(=O)[O-])Oc2cc(F)ccc21
6;413;0.499130;0.488220;0.777778;0.577815;6;413;1;decoy_374;O=C(N[C@@H]1CCSc2c(F)cccc21)C(=O)N1CC(O)(C(=O)[O-])C1
7;142;0.384265;0.575967;0.666667;0.555252;7;142;1;decoy_387;COc1ccccc1[C@@H](CO)NC(=O)[C@@H]1CC(C(=O)[O-])=NO1
8;9;0.388399;0.679209;0.500000;0.552744;8;9;1;decoy_167;COc1cccc(-c2cc(C(=O)N[C@@](C)(CO)C(=O)[O-])on2)c1
9;137;0.392452;0.604349;0.600000;0.550070;9;137;1;decoy_235;CC(=O)[C@H]1CC(C(=O)N[C@H](C(=O)[O-])[C@@H](C)O)=NN1c1ccccc1
10;79;0.282951;0.664934;0.600000;0.549958;10;79;1;decoy_356;COc1ccc(CO[C@@H]2O[C@H](CO)[C@H](O)[C@@H](O)[C@H]2NC(C)=O)cc1
11;38;0.324260;0.634599;0.600000;0.546635;11;38;1;decoy_90;O=C(N[C@@H](CO)C(=O)[O-])c1cc(Oc2ccccc2)ccc1O
12;16;0.353088;0.673759;0.500000;0.541463;12;16;1;decoy_359;COc1ccc(-n2nc(C(=O)N[C@@](C)(CO)C(=O)[O-])cc2C)cc1
13;23;0.407719;0.672667;0.454545;0.540994;13;23;1;decoy_26;C[C@H]1C(=O)Nc2cc(C(=O)N[C@]3(C(=O)[O-])C[C@H](CO)C3)ccc2N1C
14;167;0.602375;0.619607;0.363636;0.538508;14;167;1;decoy_297;COc1ccc(O)c(C(=O)N2CCc3[nH]nc(C(=O)[O-])c3C2)c1
15;298;0.396355;0.566826;0.600000;0.534160;15;298;1;decoy_125;C[C@@H](O)[C@H](NC(=O)C1=NN(c2ccccc2)C(=O)CC1)C(=O)[O-]
16;13;0.329598;0.664518;0.500000;0.531433;16;13;1;decoy_352;COc1ccc(/C=C/C(=O)N2CCNC(=O)[C@@H]2CC(=O)[O-])cc1O
17;34;0.278851;0.691809;0.500000;0.531027;17;34;1;decoy_470;COc1cccc(C)c1NC(=O)C(=O)N1C[C@H](O)C[C@@H](C(=O)[O-])C1
18;468;0.330523;0.550327;0.666667;0.530278;18;468;1;decoy_418;C=CCNS(=O)(=O)c1ccccc1N1CCC(O)(C(=O)[O-])CC1
19;70;0.567884;0.671529;0.285714;0.529873;19;70;1;decoy_255;O=C(c1ccccc1O[P+](O)(O)O)N1CC[C@@H](O)[C@H](F)C1
20;286;0.462913;0.565837;0.500000;0.520355;20;286;1;decoy_214;COc1ccc(C(=O)N[C@@H](CO)C(=O)[O-])cc1-c1ccccn1
21;47;0.295447;0.684571;0.454545;0.518282;21;47;1;decoy_273;COc1ccc2cc(S(=O)(=O)N[C@@H](CO)C(N)=O)ccc2c1
22;17;0.257659;0.703833;0.454545;0.517503;22;17;1;decoy_205;CC(=O)Nc1ccc(S(=O)(=O)N2C[C@H](O)C[C@@H]2C(=O)[O-])cc1
23;4;0.399238;0.683202;0.363636;0.516341;23;4;1;decoy_440;Cc1nc2ccc(NC(=O)N3C[C@@H](O)C[C@@H](C(=O)[O-])C3)cc2o1
24;5;0.357077;0.696593;0.363636;0.511827;24;5;1;decoy_438;O=C1CCc2cc(OCC(=O)N3CCC(O)(C(=O)[O-])CC3)ccc2N1
25;71;0.510696;0.686708;0.250000;0.511693;25;71;1;decoy_355;COc1ccc(CNC(=O)N2CCC([C@H](O)C(=O)[O-])CC2)nc1
26;81;0.532799;0.674183;0.250000;0.511582;26;81;1;decoy_349;Cn1nc(C(=O)[O-])cc1C(=O)Nc1ccc2oc(CO)cc2c1
27;41;0.294373;0.666930;0.454545;0.510075;27;41;1;decoy_100;CCS(=O)(=O)c1ccc(C(=O)N[C@](C)(CO)C(=O)[O-])cc1
28;3;0.327676;0.708814;0.363636;0.509976;28;3;1;decoy_314;CCOc1cc(/C=C\C(=O)N2C[C@H](O)C[C@@H]2C(=O)[O-])ccc1O
29;15;0.435798;0.667594;0.333333;0.509367;29;15;1;decoy_479;COc1ccc(C(=O)N[C@@H]2CN(C(=O)[O-])C[C@@H]2CO)c(O)c1
30;11;0.321220;0.728873;0.333333;0.508298;30;11;1;decoy_181;COc1cccc(CC(=O)N[C@@H]2CN(C(=O)c3c[nH]nn3)C[C@@H]2O)c1
31;18;0.293082;0.659586;0.454545;0.506448;31;18;1;decoy_28;CCOc1nc2cc(C(=O)N[C@]3(C(=O)[O-])C[C@H](O)C3)ccc2[nH]1
