PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;0.999998;0.999999;1.000000;0.999999;1;1;1;ref_1;COc1ccc(C[C@@H]2C(=O)[C@@H](O)[C@H](O)C[C@]2(O)C(=O)[O-])cc1
2;2;0.783424;0.761907;1.000000;0.838714;2;2;1;ref_0;Cc1ccc2sc(COC3=C[C@@](O)(C(=O)[O-])C[C@@H](O)[C@@H]3O)cc2c1
3;11;0.666459;0.859173;0.857143;0.810385;3;11;1;decoy_446;COc1ccc(S(=O)(=O)N[C@@H](CO)C(=O)[O-])c(Cl)c1Cl
4;27;0.625425;0.760686;1.000000;0.798665;4;27;1;decoy_99;COc1cc(/C=C\C(=O)[O-])cc(S(=O)(=O)NCCO)c1OC
5;36;0.711672;0.861169;0.750000;0.790444;5;36;1;decoy_356;COc1ccc(CO[C@@H]2O[C@H](CO)[C@H](O)[C@@H](O)[C@H]2NC(C)=O)cc1
6;40;0.697020;0.863674;0.714286;0.777194;6;40;1;decoy_371;COc1cccc(C[C@H](O)C(=O)N2CCC[C@H](c3n[nH]c(=O)[nH]3)C2)c1
7;14;0.583691;0.818273;0.857143;0.771288;7;14;1;decoy_259;C[C@@](CO)(NS(=O)(=O)C1=Cc2ccccc2OC1)C(=O)[O-]
8;135;0.596949;0.886125;0.714286;0.762279;8;135;1;decoy_328;COc1ccc(C(=O)N2CCC[C@H]2C(=O)NC(CO)CO)c(OC)c1
9;3;0.626669;0.850060;0.666667;0.739194;9;3;1;decoy_91;Nc1ccc(S(=O)(=O)N2C[C@@H](O)C[C@H](C(=O)[O-])C2)c(F)c1
10;18;0.650713;0.895567;0.571429;0.737112;10;18;1;decoy_309;COc1ccc(CN[C@@H]2CCCCN(CC(=O)[O-])C2=O)c(O)c1OC
11;8;0.618638;0.794107;0.750000;0.737008;11;8;1;decoy_137;CC(=O)N1CCc2sc(S(=O)(=O)N[C@@H](CO)C(=O)[O-])cc2C1
12;51;0.783030;0.725547;0.714286;0.736539;12;51;1;decoy_167;COc1cccc(-c2cc(C(=O)N[C@@](C)(CO)C(=O)[O-])on2)c1
13;25;0.725203;0.813911;0.625000;0.735061;13;25;1;decoy_292;COc1cc(Br)c(N)c(C(=O)N[C@@](C)(CO)C(=O)[O-])c1
14;6;0.599477;0.823198;0.714286;0.734594;14;6;1;decoy_225;CCSc1c[nH]c(=O)c(C(=O)N2CCC[C@H](O)[C@H]2C(=O)[O-])c1
15;24;0.548248;0.845706;0.714286;0.731915;15;24;1;decoy_463;COc1ccc([C@@H](NS(=O)(=O)c2ncc[nH]2)C(=O)[O-])cc1
16;29;0.645535;0.790166;0.714286;0.731244;16;29;1;decoy_352;COc1ccc(/C=C/C(=O)N2CCNC(=O)[C@@H]2CC(=O)[O-])cc1O
17;19;0.649810;0.782843;0.714286;0.729017;17;19;1;decoy_440;Cc1nc2ccc(NC(=O)N3C[C@@H](O)C[C@@H](C(=O)[O-])C3)cc2o1
18;113;0.464374;0.797534;0.833333;0.724984;18;113;1;decoy_333;COc1ccc(C2(C(=O)Nn3c(=O)[nH][nH]c3=O)CCCC2)cc1
19;137;0.523633;0.843324;0.714286;0.724690;19;137;1;decoy_274;COc1ccc(C(=O)N[C@@H](CO)C(N)=O)c(OCC(C)C)c1
