PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;0.999998;0.999995;1.000000;0.999997;1;1;1;ref_0;CS(=O)(=O)c1cccc(-c2cc(N3CC[C@H](c4cc(F)c(F)cc4F)[C@@H]([NH3+])C3)ncn2)c1
2;3;0.748355;0.842173;0.857143;0.823210;2;3;1;decoy_95;O=[N+]([O-])c1cc(-c2ccc(N3CC[NH2+][C@@H](Cc4ccccc4)C3)nn2)ccc1F
3;4;0.819666;0.787786;0.857143;0.816563;3;4;1;decoy_346;CS(=O)(=O)c1ccc(-c2nc(CN3C[C@@H]([NH3+])[C@H](c4ccccc4)C3)co2)cc1
4;5;0.808285;0.729200;0.833333;0.780211;4;5;1;decoy_412;CS(=O)(=O)c1ccc(-c2nc(CN3C[C@H](CC[NH3+])c4ccccc43)co2)cc1
5;166;0.588527;0.885362;0.750000;0.770545;5;166;1;decoy_315;CS(=O)(=O)c1ccc(C(=O)N2CCc3cc(C#N)ccc32)cc1Br
6;13;0.617204;0.817097;0.800000;0.761995;6;13;1;decoy_105;CS(=O)(=O)c1cc([N+](=O)[O-])c(N2CC[NH+](Cc3ccccc3Cl)CC2)s1
7;2;0.692695;0.779326;0.777778;0.757204;7;2;1;ref_1;CS(=O)(=O)c1ccc2c(c1)nc1n2C[C@H]([NH3+])[C@@H](c2cc(F)c(F)cc2F)C1
8;84;0.671043;0.775409;0.800000;0.756695;8;84;1;decoy_370;CS(=O)(=O)c1cccc(-c2noc(-c3ccccc3CN3CCOCC3)n2)c1
9;266;0.754306;0.589216;1.000000;0.753724;9;266;1;decoy_445;CCn1cc(-c2cc(N3CCC[C@@H]([NH3+])C3)nc(Oc3ccccc3)n2)ccc1=O
10;33;0.612956;0.798107;0.800000;0.752387;10;33;1;decoy_498;COc1ccc(-c2cc(N3CCC[C@@]4(CCN(c5cncnc5)C4=O)C3)ncn2)cc1
11;83;0.641865;0.775997;0.800000;0.749665;11;83;1;decoy_189;COc1ccc(CN2CCc3c(-c4cncc(S(C)(=O)=O)c4)ncnc32)cc1
12;164;0.891556;0.886264;0.400000;0.741708;12;164;1;decoy_45;O=C1CN(c2ncc([N+](=O)[O-])cc2Br)CCN1Cc1cccc(F)c1
13;78;0.649982;0.842099;0.666667;0.741440;13;78;1;decoy_407;NS(=O)(=O)c1cnc(N2CCC(Nc3cccc(Br)c3)CC2)s1
14;42;0.732056;0.839947;0.600000;0.740990;14;42;1;decoy_489;CC(=O)c1ccc(-c2ccc(C(=O)N3CCN(c4cc(F)ncn4)CC3)o2)cc1
15;93;0.868421;0.827108;0.500000;0.739304;15;93;1;decoy_462;CCOc1cccc(N2CCN(C(=O)c3cc(F)c(F)cc3[N+](=O)[O-])CC2)n1
16;86;0.797411;0.863685;0.500000;0.738011;16;86;1;decoy_481;NC(=O)c1ccc(N2CCN(C(=O)c3cc(F)c(Cl)cc3Cl)CC2)nc1
17;167;0.702655;0.804526;0.666667;0.737700;17;167;1;decoy_92;C[C@@]1(C[C@H]2CCCN2c2nnc(-c3ccccc3Cl)s2)NC(=O)NC1=O
18;210;0.761164;0.815487;0.600000;0.737260;18;210;1;decoy_195;Nc1ncc(Cl)cc1S(=O)(=O)N1CCN(c2ccc(Cl)cc2Cl)CC1
19;56;0.654417;0.788647;0.714286;0.732781;19;56;1;decoy_482;O=C1[C@@H](Nc2cc(N3CCCC[C@H]3CO)ncn2)CCN1c1ccc(Cl)c(F)c1
20;53;0.640987;0.827555;0.666667;0.732646;20;53;1;decoy_288;NC(=O)[C@@H](c1ccccc1)N1CCN(c2nnc(-c3cccc(Cl)c3)o2)CC1
21;15;0.730599;0.819317;0.600000;0.731343;21;15;1;decoy_91;CS(=O)(=O)c1cccc(-c2noc([C@H]3CN(Cc4ccccc4)CCO3)n2)c1
22;38;0.665789;0.803649;0.666667;0.728089;22;38;1;decoy_211;CN(C)C(=O)c1cccc(-c2cncc(Oc3ccc(S(C)(=O)=O)cc3)n2)c1F
23;62;0.719953;0.877829;0.500000;0.725011;23;62;1;decoy_46;O=S(=O)(c1ccc(F)c(Cl)c1)N1CC(c2nc(-c3ccncc3)no2)C1
24;204;0.840134;0.810593;0.500000;0.724800;24;204;1;decoy_207;O=C1CN(c2ccc(-c3nc(-c4cccc(C(F)(F)F)c4)no3)cn2)CCN1
25;327;0.930337;0.753829;0.500000;0.721807;25;327;1;decoy_173;Cc1nc(C)c(Br)c(N[C@@H]2CCN(c3ccccc3C(N)=O)C2)n1
26;52;0.785439;0.832165;0.500000;0.720834;26;52;1;decoy_478;N#Cc1ccccc1S(=O)(=O)N1CCN(c2nc(-c3ccccc3)cs2)CC1
27;111;0.700358;0.811187;0.600000;0.720124;27;111;1;decoy_145;N#Cc1c(F)cccc1S(=O)(=O)N1CCN(c2ccc3ccccc3n2)CC1
28;8;0.584735;0.798355;0.714286;0.719729;28;8;1;decoy_403;Cc1cc(-c2nc(C)c(C(=O)N3C[C@H]([NH3+])[C@H](c4cnn(C)c4)C3)s2)ccc1F
29;129;0.702021;0.875952;0.500000;0.719684;29;129;1;decoy_487;N#Cc1cccc(-c2cc(C(=O)N3CCN(c4ncccc4Cl)CC3)on2)c1
