PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;2;1.000000;1.000000;1.000000;1.000000;1;2;1;ref_1;CS(=O)(=O)c1ccc2c(c1)nc1n2C[C@H]([NH3+])[C@@H](c2cc(F)c(F)cc2F)C1
2;1;0.509175;0.640912;0.583333;0.590704;2;1;1;ref_0;CS(=O)(=O)c1cccc(-c2cc(N3CC[C@H](c4cc(F)c(F)cc4F)[C@@H]([NH3+])C3)ncn2)c1
3;10;0.365048;0.646335;0.666667;0.582113;3;10;1;decoy_412;CS(=O)(=O)c1ccc(-c2nc(CN3C[C@H](CC[NH3+])c4ccccc43)co2)cc1
4;91;0.619911;0.610915;0.454545;0.566253;4;91;1;decoy_403;Cc1cc(-c2nc(C)c(C(=O)N3C[C@H]([NH3+])[C@H](c4cnn(C)c4)C3)s2)ccc1F
5;9;0.595482;0.620561;0.454545;0.564487;5;9;1;decoy_460;CS(=O)(=O)c1ccc(Cl)c(C(=O)N2C[C@@H]([NH3+])[C@@H](c3ccccc3F)C2)c1
6;82;0.721351;0.604469;0.363636;0.561440;6;82;1;decoy_238;CS(=O)(=O)c1cc(Br)ccc1-c1noc([C@H]2C[C@H]3C[NH2+]C[C@H]3C2)n1
7;35;0.517172;0.615200;0.500000;0.556133;7;35;1;decoy_362;CS(=O)(=O)c1cc(C(=O)N2CC[C@@H](c3ccccc3)[C@@H]([NH3+])C2)ccc1Cl
8;32;0.468864;0.602885;0.500000;0.538514;8;32;1;decoy_186;CCS(=O)(=O)c1ccc(Cl)c(C(=O)N2C[C@H](C[NH3+])Cc3ccccc32)c1
9;233;0.427371;0.606532;0.500000;0.529782;9;233;1;decoy_396;CN(C)S(=O)(=O)c1cc(-c2nc([C@@H]3C[C@H]4CC[C@@H](C3)[NH2+]4)no2)ccc1Cl
10;286;0.521274;0.580203;0.454545;0.527773;10;286;1;decoy_437;Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)(=O)N2C[C@@H](F)[C@@H]([NH3+])C2)cc1
11;112;0.464462;0.652753;0.363636;0.518945;11;112;1;decoy_223;CS(=O)(=O)C1(c2nc(Cc3ccc(Cl)c(Cl)c3)no2)CC[NH2+]CC1
12;7;0.471053;0.697385;0.285714;0.517301;12;7;1;decoy_409;[NH3+][C@H]1Cc2ccccc2N(C(=O)c2ccc3c(c2)[nH]c(=O)n3CC(F)(F)F)C1
13;19;0.351300;0.675678;0.400000;0.511880;13;19;1;decoy_24;CS(=O)(=O)c1cccc(N2CC[NH+](Cc3cnc(-c4cccnc4)o3)CC2)c1
14;3;0.445055;0.703297;0.272727;0.509566;14;3;1;decoy_105;CS(=O)(=O)c1cc([N+](=O)[O-])c(N2CC[NH+](Cc3ccccc3Cl)CC2)s1
15;455;0.652146;0.543988;0.333333;0.507831;15;455;1;decoy_19;C[C@H]1CCC[C@]1(O)Cn1c(Cc2ccc(Cl)cc2)nnc1N1CC[C@H]([NH3+])C1
16;173;0.358698;0.591991;0.500000;0.506070;16;173;1;decoy_445;CCn1cc(-c2cc(N3CCC[C@@H]([NH3+])C3)nc(Oc3ccccc3)n2)ccc1=O
17;5;0.271880;0.730963;0.363636;0.505994;17;5;1;decoy_240;C[C@H](c1ccccc1F)N1CCC[C@H](Nc2ccc(S(C)(=O)=O)cn2)C1=O
18;25;0.262071;0.702808;0.400000;0.501781;18;25;1;decoy_200;COC(=O)c1ccc(C(=O)N2CCCc3cc(S(C)(=O)=O)ccc32)c(F)c1
19;4;0.233071;0.738742;0.363636;0.499793;19;4;1;decoy_84;CNS(=O)(=O)c1ccc(N2CCC(c3noc4cc(F)ccc34)CC2)nc1
20;11;0.322773;0.640003;0.428571;0.497266;20;11;1;decoy_356;NC(=O)c1cc(F)cnc1N1CCC([NH3+])(Cc2ccc(C(F)(F)F)cc2)CC1
21;16;0.439482;0.668956;0.272727;0.492719;21;16;1;decoy_318;Cc1cc(N2CCN(S(=O)(=O)c3ccccc3)[C@@H](C)C2)c(F)cc1[N+](=O)[O-]
22;22;0.271050;0.673005;0.400000;0.490615;22;22;1;decoy_45;O=C1CN(c2ncc([N+](=O)[O-])cc2Br)CCN1Cc1cccc(F)c1
