PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;1.000000;1.000000;1.000000;1.000000;1;1;1;ref_0;NC(=[NH2+])c1cc2c(I)cccc2s1
2;4;0.786288;0.934517;1.000000;0.917105;2;4;1;decoy_277;NC1(c2nc(-c3cccc(Cl)c3Cl)no2)C[NH2+]C1
3;150;0.700684;0.947214;1.000000;0.901417;3;150;1;decoy_459;[NH3+][C@]1(CO)CCc2cc(-c3ccccc3O)ccc2C1
4;106;0.810050;0.981506;0.800000;0.884190;4;106;1;decoy_365;C[C@](N)(CO)c1nc(-c2ccc(F)c3ccccc23)no1
5;2;0.738181;0.887967;1.000000;0.884131;5;2;1;ref_1;NC(=[NH2+])c1ccc2[nH]c(-c3ccccc3O)nc2c1
6;291;0.670125;0.920532;1.000000;0.881771;6;291;1;decoy_495;OC[C@@H]1C[NH2+]C[C@@H]1Nc1ccc2nc(-c3ccccc3)[nH]c2c1
7;445;0.716576;0.989866;0.800000;0.864584;7;445;1;decoy_124;Cc1cnc(-c2ccccc2)c(C[N@@H+]2C[C@H](C[NH3+])[C@H](O)C2)c1
8;190;0.714721;0.978476;0.750000;0.843994;8;190;1;decoy_338;COCc1c(C(=O)N2CC[C@](C)([NH3+])C2)oc2ccccc12
9;10;0.873595;0.969206;0.600000;0.834542;9;10;1;decoy_51;Cc1c(F)cccc1Nc1scnc1C(N)=O
10;124;0.602308;0.974021;0.800000;0.828886;10;124;1;decoy_257;Cc1nc(CC[NH3+])nn1-c1ccc(F)c2ccccc12
11;255;0.807189;0.991132;0.600000;0.827807;11;255;1;decoy_232;Cc1ccc(Cl)c2ccc(N3C[C@@H](CO)[C@H](CO)C3)nc12
12;3;0.775855;0.894534;0.750000;0.821504;12;3;1;decoy_395;NC(=S)c1cc2cc(Br)ccc2oc1=O
13;61;0.649870;0.943594;0.750000;0.812085;13;61;1;decoy_327;CC1([NH3+])CCN(C(=O)c2occc2Br)CC1
14;249;0.529878;0.975887;0.800000;0.811619;14;249;1;decoy_9;Cc1cc2ccccc2nc1-n1nc(O)c(CC[NH3+])c1C
15;11;0.601008;0.935997;0.800000;0.811451;15;11;1;decoy_472;[NH3+]Cc1cn(-c2ncnc3ccc(Cl)cc23)cn1
16;55;0.791407;0.961235;0.600000;0.810407;16;55;1;decoy_161;Cc1ccc2c(Nc3oncc3C(N)=O)cccc2n1
