PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;2;1.000000;1.000000;1.000000;1.000000;1;2;1;ref_1;NC(=[NH2+])c1ccc2[nH]c(-c3ccccc3O)nc2c1
2;4;0.519325;0.817222;0.666667;0.697581;2;4;1;decoy_429;NC(=O)c1ccc2[nH]c(-c3cccn4ccnc34)nc2c1
3;43;0.642145;0.731206;0.555556;0.656245;3;43;1;decoy_67;Cc1cccc(-c2ccc(N3CC[NH2+]CC3)nc2)c1O
4;10;0.594308;0.769563;0.500000;0.644880;4;10;1;decoy_25;NC(=O)c1ccc(Nc2cnc3ccccc3c2)cn1
5;34;0.500104;0.739427;0.600000;0.637768;5;34;1;decoy_350;CC1(C)CC[C@H]1Nc1nc2cc(S(N)(=O)=O)ccc2[nH]1
6;3;0.520027;0.817960;0.454545;0.634453;6;3;1;decoy_223;NS(=O)(=O)c1ccc(-c2ncc3cc(F)ccc3n2)cc1
7;20;0.526795;0.762892;0.454545;0.611364;7;20;1;decoy_378;Cc1nc(-c2ccc3nc(N)ncc3c2)ncc1F
8;8;0.420742;0.787779;0.500000;0.609686;8;8;1;decoy_266;O=c1[nH]c(-c2ccc(O)cc2)nc2cccc(F)c12
9;31;0.464290;0.828847;0.400000;0.609054;9;31;1;decoy_370;Cc1nccn1-c1ccc(-c2ccccc2O)nn1
10;36;0.580011;0.725788;0.454545;0.607971;10;36;1;decoy_291;NC(=O)c1nc2cc(-c3cc(F)ccc3O)ccc2o1
11;22;0.444869;0.769428;0.500000;0.607460;11;22;1;decoy_177;COc1ccc2nc(-c3ccc(O)c(F)c3)[nH]c(=O)c2c1
12;1;0.574357;0.654148;0.555556;0.604622;12;1;1;ref_0;NC(=[NH2+])c1cc2c(I)cccc2s1
13;7;0.344026;0.768113;0.555556;0.598324;13;7;1;decoy_473;[NH2+]=c1cc[nH]cc1-c1nc2cc3c(cc2[nH]1)CCO3
14;41;0.330446;0.771239;0.555556;0.596336;14;41;1;decoy_381;NC1=CN(c2cnc3c(Cl)cccc3n2)CC=C1
15;32;0.580546;0.754602;0.363636;0.593799;15;32;1;decoy_430;Cc1nc2ccc(-c3cc4c(nn3)C[NH2+]C4)cc2[nH]1
16;24;0.516130;0.753478;0.416667;0.593098;16;24;1;decoy_61;NC(N)c1nc(-c2ccc(-c3ccccc3)cc2)no1
17;17;0.358290;0.783910;0.500000;0.592332;17;17;1;decoy_218;O=c1[nH]c(-c2cccc(O)c2)nc2cc(F)ccc12
18;18;0.503748;0.766884;0.400000;0.591035;18;18;1;decoy_50;Cc1ccc2nc(-c3ccc4nnc(C)n4c3)[nH]c(=O)c2c1
19;133;0.475199;0.678967;0.555556;0.591002;19;133;1;decoy_184;NC(=O)c1ccc2[nH]c(Cc3cccs3)nc2c1
20;54;0.697807;0.767993;0.230769;0.589279;20;54;1;decoy_343;NC(=O)c1ncc(Nc2ccc(F)c3ccoc23)cn1
21;48;0.573464;0.720366;0.400000;0.587531;21;48;1;decoy_98;C[C@@H]1C[C@H]1c1nnc(-c2ccc3[nH]c(=O)[nH]c3c2)o1
22;79;0.370072;0.699151;0.600000;0.587136;22;79;1;decoy_277;NC1(c2nc(-c3cccc(Cl)c3Cl)no2)C[NH2+]C1
23;5;0.500287;0.759635;0.400000;0.586907;23;5;1;decoy_287;CS(=O)(=O)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1
24;19;0.509251;0.770677;0.363636;0.583208;24;19;1;decoy_446;NS(=O)(=O)c1cccc(-c2ccc(F)c3ccoc23)n1
25;50;0.557355;0.738857;0.363636;0.580915;25;50;1;decoy_321;COc1ncc(-c2ccc3nc(N)ncc3c2)cc1F
26;9;0.414444;0.816306;0.363636;0.580040;26;9;1;decoy_479;O=C1COc2cc3[nH]c(-c4ccc(O)cc4)nc3cc2N1
27;14;0.500720;0.742772;0.400000;0.579427;27;14;1;decoy_128;CC1(c2nc(-c3ccc4[nH]c(=O)[nH]c4c3)no2)CC1
28;103;0.381044;0.673096;0.600000;0.578154;28;103;1;decoy_294;C[C@@H]1C[C@H]([NH3+])CN1Cc1nc2ccc(Cl)cc2c(=O)[nH]1
29;102;0.388437;0.729225;0.500000;0.575261;29;102;1;decoy_127;C[NH2+][C@@H](C)c1nc(-c2cccc3[nH]c(C)nc23)no1
30;135;0.400733;0.720642;0.500000;0.574472;30;135;1;decoy_19;O=C1CC[C@H](Nc2nc(Cl)cc3cccc(F)c23)C(=O)N1
31;260;0.348125;0.635533;0.666667;0.573021;31;260;1;decoy_134;Cc1nc2ccccc2nc1C[N@@H+]1C[C@@H](C[NH3+])C[C@H]1C
32;110;0.499769;0.753163;0.363636;0.572957;32;110;1;decoy_88;Cc1ccc(F)c(Nc2ccccc2CC(N)=O)n1
33;30;0.479624;0.702821;0.454545;0.572539;33;30;1;decoy_406;Cc1nc2ccc(-c3ccc(S(N)(=O)=O)cc3F)cc2[nH]1
34;29;0.483229;0.696829;0.454545;0.570744;34;29;1;decoy_320;Cc1nc2ccc(-c3ncc(S(N)(=O)=O)cc3F)cc2o1
35;99;0.494845;0.659733;0.500000;0.570591;35;99;1;decoy_470;Cc1ccc2nc(CN3C[C@@H](C[NH3+])[C@@H](C)C3)[nH]c2c1
36;58;0.369744;0.754413;0.461538;0.570383;36;58;1;decoy_274;NC(=C\c1ccccc1O)/C(N)=C/c1ccccc1O
37;106;0.438645;0.690261;0.500000;0.570279;37;106;1;decoy_186;CN(c1nc2cc(S(N)(=O)=O)ccc2[nH]1)C1CCCCC1
38;125;0.526728;0.702889;0.400000;0.567982;38;125;1;decoy_387;Oc1ccccc1-c1ccn2cnc(C3C[NH2+]C3)c2c1
39;39;0.329407;0.703341;0.555556;0.565522;39;39;1;decoy_448;Cc1ccc(F)c2oc(C(=O)N3CCC[C@@H]([NH3+])C3)cc12
40;35;0.434814;0.679919;0.500000;0.564667;40;35;1;decoy_251;C[C@@H]([NH3+])Cc1nc(-c2ccnc3ccccc23)no1
41;71;0.445746;0.763610;0.363636;0.564152;41;71;1;decoy_215;OCCn1cc(Nc2ccc(F)c3cccnc23)cn1
42;88;0.566917;0.712171;0.333333;0.562206;42;88;1;decoy_467;NC(=O)c1nc2ccc(-c3cc(N)ccc3F)cc2o1
43;184;0.385189;0.662386;0.555556;0.561038;43;184;1;decoy_281;O=C(C[C@H]1CCOC1)NCc1ccc2[nH]c(=O)[nH]c2c1
44;94;0.366137;0.709320;0.500000;0.560728;44;94;1;decoy_245;Oc1ccccc1-c1cnc(O[C@@H]2CCC[NH2+]C2)nc1
45;199;0.401945;0.754118;0.400000;0.559839;45;199;1;decoy_232;Cc1ccc(Cl)c2ccc(N3C[C@@H](CO)[C@H](CO)C3)nc12
46;176;0.551537;0.670264;0.400000;0.559503;46;176;1;decoy_113;Cc1cc(=O)c(N)c(C)n1-c1cc2ccccc2[nH]c1=O
47;109;0.326002;0.727278;0.500000;0.558776;47;109;1;decoy_23;F[C@@H]1CC[NH2+]C[C@@H]1Nc1ncc2ccc(Cl)cc2n1
