PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;2;1.000000;1.000000;1.000000;1.000000;1;2;1;ref_1;C[C@](O)(c1cnc(-c2ccc(S(=O)(=O)c3ccc(N)nc3)s2)c(Cl)c1)C(F)(F)F
2;1;0.534285;0.669128;0.692308;0.642371;2;1;1;ref_0;CC#C[C@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc([S@](=N)(=O)C(F)(F)F)cc1
3;39;0.616952;0.600308;0.461538;0.562838;3;39;1;decoy_358;O=C1CN(S(=O)(=O)c2cccc(C(=O)Nc3ccc(Oc4cccc(F)c4)nc3)c2)CCN1
4;12;0.620134;0.627024;0.357143;0.544337;4;12;1;decoy_223;O=C1CN(S(=O)(=O)c2ccc(C(=O)Nc3ccc(Oc4ccc(F)cc4)cn3)cc2)CCN1
5;3;0.566364;0.713428;0.200000;0.522634;5;3;1;decoy_252;CCOc1ccc(NC(=S)N2CCN(S(=O)(=O)c3ccc4[nH]c(=O)[nH]c4c3)CC2)cc1
6;19;0.544621;0.626162;0.333333;0.517928;6;19;1;decoy_190;CCOC(=O)N1CCC(NC(=O)c2ccc(Cl)c(S(=O)(=O)N3C[C@H](C)O[C@@H](C)C3)c2)CC1
7;14;0.303549;0.628995;0.500000;0.508935;7;14;1;decoy_291;Cc1nc(C(=O)N2CCN(c3cccc4cc(S(=O)(=O)c5ccccc5)cnc34)CC2)n[nH]1
8;29;0.316690;0.619924;0.500000;0.508138;8;29;1;decoy_310;Cc1nc(N)sc1C(=O)N1CCC(OC2CCN(C(=O)c3ccc(Cl)nn3)CC2)CC1
9;67;0.396630;0.639336;0.384615;0.502243;9;67;1;decoy_195;Cc1cnc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2cc(S(C)(=O)=O)ccc2Cl)C3)cn1
10;37;0.358211;0.658929;0.384615;0.501455;10;37;1;decoy_214;C[N@@H+](Cc1ccccc1)[C@@H]1COC2(CCN(S(=O)(=O)c3ccc4[nH]c(=O)[nH]c(=O)c4c3)CC2)C1
11;264;0.610401;0.577554;0.285714;0.498214;11;264;1;decoy_12;CCOC(=O)c1ccc(S(=O)(=O)N2CCN(C(=O)Nc3nnc(CC(C)C)s3)CC2)cc1
12;10;0.518805;0.626065;0.285714;0.497145;12;10;1;decoy_342;CC(=O)c1cccc(S(=O)(=O)Nc2ccc(C(=O)N3CCN(c4ncccn4)CC3)cc2)c1
13;33;0.486834;0.577472;0.384615;0.496956;13;33;1;decoy_416;CS(=O)(=O)N(c1ccc(NC(=O)c2cccnc2Cl)cc1Br)S(C)(=O)=O
