PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;2;0.999979;0.999988;1.000000;0.999989;1;2;1;ref_1;C[C@](O)(c1cnc(-c2ccc(S(=O)(=O)c3ccc(N)nc3)s2)c(Cl)c1)C(F)(F)F
2;1;0.564746;0.573939;0.692308;0.607151;2;1;1;ref_0;CC#C[C@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc([S@](=N)(=O)C(F)(F)F)cc1
3;14;0.368745;0.562426;0.500000;0.495278;3;14;1;decoy_291;Cc1nc(C(=O)N2CCN(c3cccc4cc(S(=O)(=O)c5ccccc5)cnc34)CC2)n[nH]1
4;29;0.378492;0.536620;0.500000;0.486102;4;29;1;decoy_310;Cc1nc(N)sc1C(=O)N1CCC(OC2CCN(C(=O)c3ccc(Cl)nn3)CC2)CC1
5;39;0.507888;0.477764;0.461538;0.480427;5;39;1;decoy_358;O=C1CN(S(=O)(=O)c2cccc(C(=O)Nc3ccc(Oc4cccc(F)c4)nc3)c2)CCN1
6;12;0.561308;0.512403;0.357143;0.478051;6;12;1;decoy_223;O=C1CN(S(=O)(=O)c2ccc(C(=O)Nc3ccc(Oc4ccc(F)cc4)cn3)cc2)CCN1
7;8;0.493508;0.564758;0.333333;0.477518;7;8;1;decoy_245;COc1cc(OC)c(NC(=O)c2cccc(S(=O)(=O)N3CCN(C(C)=O)CC3)c2)cc1Cl
8;33;0.479147;0.505994;0.384615;0.462869;8;33;1;decoy_416;CS(=O)(=O)N(c1ccc(NC(=O)c2cccnc2Cl)cc1Br)S(C)(=O)=O
9;5;0.359902;0.637311;0.285714;0.462480;9;5;1;decoy_226;CC(C)(C)OC(=O)N1CCn2cnc(C(=O)Nc3nc(N)ccc3I)c2C1
10;10;0.516687;0.549906;0.285714;0.462344;10;10;1;decoy_342;CC(=O)c1cccc(S(=O)(=O)Nc2ccc(C(=O)N3CCN(c4ncccn4)CC3)cc2)c1
11;13;0.482502;0.549473;0.307692;0.460196;11;13;1;decoy_18;C=CCCc1ccc(C(=O)N2CCC(OC3CCN(C(=O)[C@@H](C)n4ccnn4)CC3)CC2)c(=O)[nH]1
12;19;0.492527;0.526529;0.333333;0.460070;12;19;1;decoy_190;CCOC(=O)N1CCC(NC(=O)c2ccc(Cl)c(S(=O)(=O)N3C[C@H](C)O[C@@H](C)C3)c2)CC1
13;9;0.402989;0.606144;0.285714;0.459226;13;9;1;decoy_409;CNS(=O)(=O)c1ccc(-c2nc(-c3ccc(Br)cc3S(C)(=O)=O)no2)cc1
14;25;0.357234;0.565627;0.384615;0.459225;14;25;1;decoy_146;CCN(CC)S(=O)(=O)c1ccc(OC)c(NC(=O)c2ccc(F)c(S(=O)(=O)N(C)C)c2)c1
15;4;0.459548;0.606844;0.235294;0.458555;15;4;1;decoy_377;CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)N1CC2(CCCN2C(=O)c2ccc(O)cn2)C1
16;27;0.338362;0.570598;0.384615;0.456744;16;27;1;decoy_474;Nc1nc(C(=O)N2CCO[C@@]3(CCN(C(=O)c4cncc(-c5ccccc5C=O)c4)C3)C2)cs1
17;28;0.335820;0.571395;0.384615;0.456467;17;28;1;decoy_238;NS(=O)(=O)c1cc(C(=O)N2CCC3(CC2)C[C@@H](Oc2ncccc2F)CO3)ccc1Cl
18;3;0.476345;0.615982;0.200000;0.456278;18;3;1;decoy_252;CCOc1ccc(NC(=S)N2CCN(S(=O)(=O)c3ccc4[nH]c(=O)[nH]c4c3)CC2)cc1
19;66;0.405173;0.508078;0.416667;0.454929;19;66;1;decoy_262;CCOc1cnc(C(=O)N2CCC(OC3CCN(C(=O)Cc4ccccc4O)CC3)CC2)cn1
20;37;0.350777;0.551700;0.384615;0.451344;20;37;1;decoy_214;C[N@@H+](Cc1ccccc1)[C@@H]1COC2(CCN(S(=O)(=O)c3ccc4[nH]c(=O)[nH]c(=O)c4c3)CC2)C1
21;205;0.399306;0.446328;0.500000;0.450674;21;205;1;decoy_212;CCOC(=O)c1cc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)Cc2ccc(OC)c(O)c2)ccn1
22;51;0.370026;0.536667;0.384615;0.449391;22;51;1;decoy_100;Cc1cc(C(=O)N2CC[C@]3(CN(C(=O)c4cnc(Cl)nc4)CCO3)C2)c2cc(O)ccc2n1
23;21;0.350510;0.578886;0.333333;0.448126;23;21;1;decoy_500;NC(=O)[C@@H]1CN(S(=O)(=O)c2ccc(Oc3ncc(C(F)(F)F)cc3Cl)cc2)CCO1
24;94;0.312158;0.530002;0.428571;0.445112;24;94;1;decoy_489;Cc1nc(N)sc1C(=O)N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)c1ccc(OC(F)(F)F)cc1)C2
25;18;0.410091;0.567600;0.285714;0.443657;25;18;1;decoy_74;Cn1ncc2c(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C(=O)c3cc(CO)on3)cc(Br)cc21
26;67;0.347553;0.535017;0.384615;0.443030;26;67;1;decoy_195;Cc1cnc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2cc(S(C)(=O)=O)ccc2Cl)C3)cn1
27;129;0.375164;0.496733;0.416667;0.442321;27;129;1;decoy_179;C[C@@H]1CN(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(=O)n5c(nc4c3)CCC5)cc2)C[C@H](C)O1
28;62;0.595701;0.457465;0.285714;0.440499;28;62;1;decoy_488;CCOc1ccc(NC(=O)c2cccnc2)cc1S(=O)(=O)N1CCCN(c2ncccn2)CC1
29;113;0.414772;0.491822;0.384615;0.440398;29;113;1;decoy_96;Cc1ccc(C(=O)N2CCN(Cc3nc(-c4cccs4)no3)CC2)cc1NS(C)(=O)=O
30;16;0.401005;0.577562;0.266667;0.440154;30;16;1;decoy_98;CCOC(=O)c1cnn(-c2cccc(NC(=O)N3CCO[C@@H](C(=O)OC)C3)c2)c1C(F)(F)F
31;54;0.321952;0.556841;0.357143;0.438210;31;54;1;decoy_295;COc1cc(S(=O)(=O)N2CCOCC2)cc(C(=O)Nc2cccc(C(F)(F)F)n2)c1OC
32;23;0.412052;0.564228;0.266667;0.436915;32;23;1;decoy_292;CC(=O)Nc1ccc(C(=O)N2CC[C@]3(C2)CN(C(=O)c2ccncc2C(F)(F)F)CCO3)o1
33;64;0.403844;0.522732;0.333333;0.436190;33;64;1;decoy_261;NC(=O)c1ncccc1C(=O)N1CCC2(CCCN(C(=O)c3ccc(OC(F)F)cn3)C2)CC1
34;22;0.447087;0.554174;0.250000;0.436150;34;22;1;decoy_387;COc1ccc(C(=O)N2CC3(CCCN3C(=O)c3cnc(C(F)(F)F)cn3)C2)c(O)c1OC
35;30;0.358915;0.572574;0.294118;0.435622;35;30;1;decoy_425;Cn1cc(-c2nnc(N3CCC([C@@](C)(O)C(F)(F)F)CC3)n2Cc2cccc(C(N)=O)c2)cn1
36;57;0.296331;0.564797;0.357143;0.435384;36;57;1;decoy_159;CS(=O)(=O)NC1CCN(c2nnc(-c3ccc[nH]3)n2Cc2ccccc2OC(F)F)CC1
37;58;0.356888;0.544480;0.333333;0.434238;37;58;1;decoy_227;COCc1oncc1C(=O)N1CCC(OC2CCN(C(=O)c3ccc(O)c(OC)c3)CC2)CC1
38;7;0.394146;0.627779;0.176471;0.433978;38;7;1;decoy_404;O=C(Nc1ccc(N2CCN(S(=O)(=O)C(F)F)CC2)cc1)c1c[nH]nc1-c1cccnc1
39;117;0.569496;0.442445;0.307692;0.433782;39;117;1;decoy_371;C[C@@H]1CN(c2ccc(NS(=O)(=O)c3ccc(NC(=O)N4CCOCC4)cc3)cn2)C[C@H](C)O1
40;88;0.518359;0.470843;0.307692;0.433777;40;88;1;decoy_401;COc1ccc(S(=O)(=O)N2CCC(CN3C(=O)c4ccccc4C3=O)CC2)cc1NC(C)=O
41;90;0.517698;0.470500;0.307692;0.433457;41;90;1;decoy_17;COC(=O)c1cc(S(=O)(=O)NC2CCN(c3ccc(C#N)cn3)CC2)ccc1Br
42;11;0.351414;0.612975;0.230769;0.432923;42;11;1;decoy_321;C[C@H]1CN(S(=O)(=O)c2ccc(NS(=O)(=O)c3ccc4c(c3)OCCCO4)cc2)C[C@H](C)O1
43;41;0.528987;0.501248;0.250000;0.432808;43;41;1;decoy_483;COC(=O)c1cncc(S(=O)(=O)N2CCC(NC(=O)c3ccccc3C(F)(F)F)CC2)c1
44;35;0.447440;0.534778;0.266667;0.432510;44;35;1;decoy_211;O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1c[nH]c(=O)[nH]c1=O)c1cc(F)ccc1Br
45;145;0.304465;0.522405;0.400000;0.431198;45;145;1;decoy_67;Cc1nc(-c2ncccn2)[nH]c(=O)c1CC(=O)N1CCN(C(=O)c2ccccc2C(F)(F)F)CC1
46;42;0.324934;0.570998;0.307692;0.430490;46;42;1;decoy_477;COc1ccc(S(=O)(=O)N2CCCCCC2)cc1NC(=O)N1CCN(c2ncccn2)CC1
47;106;0.426982;0.496323;0.333333;0.430091;47;106;1;decoy_131;CCOc1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)[C@@H]1CCCN1C(=O)OC(C)(C)C
48;121;0.319221;0.528278;0.375000;0.430031;48;121;1;decoy_437;Nc1ncc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2nc3ccc(C(F)(F)F)cn3n2)s1
49;40;0.305655;0.579373;0.307692;0.429439;49;40;1;decoy_155;CS(=O)(=O)Cc1ccc(C(=O)N2CCC[C@H](C(=O)Nc3ccc(Br)cn3)C2)o1
50;65;0.315579;0.556244;0.333333;0.429204;50;65;1;decoy_478;O=C(Nc1cnccn1)[C@@H]1CO[C@@H]2CCN(S(=O)(=O)c3cccc(OC(F)(F)F)c3)C[C@@H]2C1
51;32;0.376014;0.566499;0.266667;0.428928;51;32;1;decoy_72;CCc1[nH]nc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2ccc3nc(Br)nn3c2)c1F
52;91;0.463311;0.490517;0.307692;0.428868;52;91;1;decoy_84;CCCCc1cc(NC(=O)C2CCN(S(=O)(=O)c3ccc4c(c3)OCCCO4)CC2)n[nH]1
53;73;0.331700;0.544807;0.333333;0.428088;53;73;1;decoy_487;CC(C)Oc1ccc(C(=O)N2CCO[C@]3(CCN(C(=O)c4cc(CO)on4)C3)C2)cc1Cl
54;20;0.365993;0.588382;0.235294;0.426858;54;20;1;decoy_472;CSc1n[nH]/c(=N/C(=O)C2CCN(S(=O)(=O)c3cccc(OC(F)(F)F)c3)CC2)[nH]1
55;332;0.298825;0.444575;0.500000;0.424765;55;332;1;decoy_228;CC(C)c1nc(CC(=O)N2CCC(OC3CCN(C(=O)[C@@H](C[NH3+])c4ccccc4)CC3)CC2)no1
