PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;2;0.999992;0.999994;1.000000;0.999995;1;2;1;ref_0;COC[C@@H](NC(=O)N1CC(=O)Nc2cc(OC)cnc21)c1ccc(OC(F)(F)F)c(F)c1
2;42;0.773691;0.773072;1.000000;0.841305;2;42;1;decoy_79;COC(=O)c1nc(Br)sc1NC(=O)CCCc1ccccc1
3;76;0.752814;0.727789;1.000000;0.815709;3;76;1;decoy_291;COCCOc1ccccc1C(=O)N1CC(=O)Nc2cc(Br)ccc21
4;134;0.701561;0.737529;1.000000;0.807278;4;134;1;decoy_304;CC[C@@H](NC(=O)C(=O)Nc1cc(Br)cc(OC)c1)c1cccs1
5;82;0.721775;0.717272;1.000000;0.803216;5;82;1;decoy_190;COC[C@H](NC(=O)C(=O)N1CCC[C@@H]1c1ccc(Cl)c(Cl)c1)c1ccco1
6;43;0.776582;0.685201;1.000000;0.802486;6;43;1;decoy_320;COC[C@@H](NC(=O)N1Cc2ccccc2[C@H](C(=O)OC)C1)c1cccc(Cl)c1
7;58;0.633456;0.738849;1.000000;0.790846;7;58;1;decoy_238;COc1ccc(C(=O)C(=O)N[C@@H](c2ccc3c(c2)OCCO3)C2CC2)cc1Cl
8;11;0.717634;0.792424;0.833333;0.785999;8;11;1;decoy_413;CC(C)(NC(=O)c1cnc(C2OCCO2)s1)c1ccc(OC(F)(F)F)cc1
9;1;0.760601;0.732263;0.857143;0.776812;9;1;1;ref_1;CC[C@@H](NC(=O)c1cnn2cc(C)cnc12)c1ccc(OC(F)(F)F)cc1
10;100;0.713809;0.660347;1.000000;0.775609;10;100;1;decoy_266;COC[C@H](NC(=O)C1=NN(c2ccccc2)[C@@H](C(C)=O)C1)c1cccc(Cl)c1
11;36;0.748778;0.799910;0.750000;0.772154;11;36;1;decoy_427;COc1ccc2c(c1)NC(=O)C[C@H]2CNC(=O)c1cc(Br)cs1
12;14;0.745527;0.740777;0.833333;0.769731;12;14;1;decoy_487;COc1cc(OC)c(C(=O)N[C@H](C#N)c2ccc(OC(F)(F)F)cc2)cc1OC
13;188;0.735456;0.757016;0.800000;0.764521;13;188;1;decoy_293;Cc1ncccc1NC(=O)C(=O)N[C@@H]1CSc2ccc(Br)cc21
14;253;0.624793;0.680332;1.000000;0.762348;14;253;1;decoy_198;CC[C@@H](NC(=O)c1ccc(OC)cc1OCCOC)c1ccc2c(c1)OCCO2
15;168;0.655419;0.660628;1.000000;0.761137;15;168;1;decoy_354;COC[C@H](NC(=O)Cc1cncn1Cc1ccccc1)c1cccc(OC)c1
16;158;0.656343;0.658732;1.000000;0.760515;16;158;1;decoy_65;COc1cc(NC(=O)C(=O)N[C@H](c2ccccc2)[C@H]2CCCO2)c(OC)cc1Cl
17;121;0.553790;0.819495;0.833333;0.757220;17;121;1;decoy_171;CSc1ccc(NS(=O)(=O)c2ccc(OC(F)F)c(Cl)c2)nc1
18;5;0.775389;0.773914;0.714286;0.756394;18;5;1;decoy_397;Cc1noc(C)c1CCN1C(=O)N[C@@](C)(c2ccc(OC(F)(F)F)cc2)C1=O
19;21;0.765262;0.753684;0.750000;0.755473;19;21;1;decoy_403;CCOC(=O)c1cnc(C(=O)N[C@@H](c2ccc(OC)cc2)C2CC2)c(Cl)c1
20;9;0.703521;0.797233;0.714286;0.748921;20;9;1;decoy_467;CC(C)(NC(=O)c1cnn(-c2cccnc2)c1)c1ccc(OC(F)(F)F)cc1
21;4;0.704946;0.826763;0.666667;0.748280;21;4;1;decoy_396;COC(=O)[C@@H](NC(=O)[C@@H](C)c1cccc(OC)c1)c1ccc(OC)c(Cl)c1
22;16;0.686518;0.777539;0.750000;0.746522;22;16;1;decoy_482;CCOC(=O)[C@@H](NC(=O)c1ccc(C2CC2)cn1)c1ccc(OC)c(Br)c1
23;18;0.652539;0.758346;0.800000;0.744390;23;18;1;decoy_217;COC[C@H]1C[C@@H](O)CN1C(=O)N[C@@H](C)c1ccc(Oc2ccccc2)c(F)c1
24;366;0.622547;0.624882;1.000000;0.736834;24;366;1;decoy_104;CC[C@@H](NC(=O)c1cnn(CCO[C@@H]2CCCCO2)c1C)c1ccccc1OC
25;10;0.716888;0.793363;0.666667;0.736235;25;10;1;decoy_372;CCCc1ccc([C@H](NC(=O)C(=O)Nc2cc(OC)cnc2F)C(C)C)cc1
26;7;0.707015;0.789264;0.666667;0.731923;26;7;1;decoy_254;COc1ccc([C@H](NC(=O)c2cnn(-c3ccccc3)c2OC)C2CC2)cc1
27;31;0.755794;0.728442;0.714286;0.731033;27;31;1;decoy_348;COC(=O)C[C@H](NC(=O)c1ccc(C(F)(F)F)c(OC)c1)c1ccncc1
28;155;0.664152;0.748423;0.750000;0.727828;28;155;1;decoy_66;COc1ccc(COC(=O)[C@@H]2CC(=O)N(c3ccc(Cl)c(F)c3)C2)nc1
29;218;0.685514;0.735806;0.750000;0.727491;29;218;1;decoy_383;CC[C@@H](NC(=O)c1cc2ncc(Br)cn2n1)c1ccccc1OC
30;110;0.682966;0.729684;0.750000;0.724099;30;110;1;decoy_107;COC(=O)c1cnc([C@@H](C)NC(=O)[C@H](C)Oc2ccc(C)cc2Br)s1
31;254;0.552947;0.628776;1.000000;0.721186;31;254;1;decoy_347;CC[C@H](NC(=O)c1ccc(Cn2ccnn2)cc1)c1ccc(OC)c(OC)c1
32;29;0.648193;0.797225;0.666667;0.720800;32;29;1;decoy_195;CCc1occc1C(=O)N[C@@H](C(=O)OC)c1ccccc1OC(F)(F)F
33;41;0.570594;0.709646;0.857143;0.719132;33;41;1;decoy_459;CC(C)(C)N1C[C@@H](C(=O)N[C@H](C#N)c2ccc(OC(F)(F)F)cc2)CC1=O
34;15;0.631921;0.846190;0.600000;0.718766;34;15;1;decoy_130;COc1ccc([C@H](C)NS(=O)(=O)Cc2ccc(F)cc2C#N)cc1Br
35;433;0.634906;0.565227;1.000000;0.713079;35;433;1;decoy_25;COc1cc(C)c(NC(=O)C(=O)N2CCC(C)=C(c3ccco3)C2)cc1F
36;84;0.695855;0.720102;0.714286;0.712295;36;84;1;decoy_368;CNC(=O)c1ccsc1NC(=O)[C@@H](C)Cc1ccc(OC(F)(F)F)cc1
37;47;0.698629;0.691476;0.750000;0.710822;37;47;1;decoy_119;CCOc1c(Cl)cc(CNC(=O)N2CCNC(=O)[C@H]2c2cccs2)cc1OC
38;48;0.674592;0.757983;0.666667;0.709740;38;48;1;decoy_12;COc1ccc(NS(=O)(=O)c2ccc(OC(F)F)c(Cl)c2)cc1N1CCOC1=O
