PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;1.000000;1.000000;1.000000;1.000000;1;1;1;ref_1;CC[C@@H](NC(=O)c1cnn2cc(C)cnc12)c1ccc(OC(F)(F)F)cc1
2;4;0.730287;0.698623;0.625000;0.684452;2;4;1;decoy_259;COCCOc1ncccc1C(=O)N[C@H](C)c1cccc(OC(F)(F)F)c1
3;36;0.601197;0.657025;0.625000;0.633460;3;36;1;decoy_364;CC(C)(C)OCc1cc(C(=O)NCc2ccc(OC(F)(F)F)cc2)no1
4;7;0.693276;0.704387;0.375000;0.602793;4;7;1;decoy_403;CCOC(=O)c1cnc(C(=O)N[C@@H](c2ccc(OC)cc2)C2CC2)c(Cl)c1
5;31;0.283461;0.666679;0.750000;0.595871;5;31;1;decoy_78;C[C@@H](NC(=O)c1ccc(-n2ccnc2)nc1)c1ccc(OCC(F)(F)F)cc1
6;33;0.386420;0.658228;0.666667;0.592808;6;33;1;decoy_472;C[C@H](C(=O)N[C@H](C)c1ccc(OC(F)(F)F)cc1)n1nnnc1C(C)(C)C
7;18;0.527114;0.687432;0.500000;0.591123;7;18;1;decoy_489;C[C@H](NC(=O)NCc1ccnc(N(C)C)n1)c1ccc(OC(F)(F)F)cc1
8;24;0.329182;0.684546;0.666667;0.590341;8;24;1;decoy_165;CCc1cccc(C(=O)N[C@H](Cc2ccc(OC(F)(F)F)cc2)C(=O)OC)c1O
9;41;0.623941;0.693147;0.400000;0.587901;9;41;1;decoy_127;C[C@@H](NC(=O)c1ccc(N2CCCC2)nn1)c1cccc(OC(F)(F)F)c1
10;68;0.378722;0.618209;0.714286;0.587160;10;68;1;decoy_19;C[C@@H](COc1cccc(F)c1)NC(=O)c1cnn2c(-c3ccccc3)ccnc12
11;48;0.534650;0.618527;0.571429;0.583428;11;48;1;decoy_383;CC[C@@H](NC(=O)c1cc2ncc(Br)cn2n1)c1ccccc1OC
12;108;0.475252;0.610579;0.625000;0.581074;12;108;1;decoy_204;COC(=O)[C@@H]1CCO[C@H]1C1CCN(C(=O)N[C@H](C)c2ccc(OC(F)(F)F)cc2)CC1
13;26;0.218034;0.670024;0.750000;0.581019;13;26;1;decoy_211;COc1ccc(C(=O)NC2(c3ccc(NC(=O)C(C)(F)F)cc3)CCC2)nc1
14;14;0.433093;0.678896;0.555556;0.580443;14;14;1;decoy_467;CC(C)(NC(=O)c1cnn(-c2cccnc2)c1)c1ccc(OC(F)(F)F)cc1
15;51;0.394318;0.653609;0.625000;0.580204;15;51;1;decoy_426;CO[C@H]1COCC[C@H]1CNC(=O)N[C@H](C)c1ccc(OC(F)(F)F)cc1
16;212;0.518303;0.584281;0.625000;0.580002;16;212;1;decoy_371;COCCCn1cc(C(=O)Nc2ccc(OC(F)(F)F)c(Cl)c2)cn1
17;143;0.532971;0.587644;0.600000;0.577682;17;143;1;decoy_417;COc1cc(F)c(NC(=O)C(=O)N[C@H](C)c2cccc(OC(F)(F)F)c2)cc1F
18;157;0.370836;0.576310;0.750000;0.577049;18;157;1;decoy_264;COCCOc1ccc(C(=O)Nc2cccc(OC(F)(F)F)c2F)cn1
19;42;0.633303;0.668475;0.375000;0.571639;19;42;1;decoy_234;COc1ccc([C@@H](C)NC(=O)CN(C)c2ccccc2[N+](=O)[O-])cc1Br
20;89;0.350811;0.629608;0.666667;0.571027;20;89;1;decoy_471;CC(C)(C)c1ncc(C(=O)NC[C@H](O)c2ccc(OC(F)(F)F)cc2)s1
21;27;0.405969;0.669301;0.555556;0.569344;21;27;1;decoy_392;O=C(CN1C[C@@H](c2ccccc2)CC1=O)Nc1cncc(OC(F)(F)F)c1
22;131;0.267533;0.609446;0.750000;0.566134;22;131;1;decoy_331;COC(=O)C[C@@H](NC(=O)c1cnn(CC(C)C)c1C)c1ccc(C(F)(F)F)cc1
23;3;0.445332;0.724023;0.428571;0.565715;23;3;1;decoy_254;COc1ccc([C@H](NC(=O)c2cnn(-c3ccccc3)c2OC)C2CC2)cc1
24;66;0.367421;0.606954;0.666667;0.564984;24;66;1;decoy_497;COC(=O)c1sccc1NC(=O)C(=O)N[C@H](c1cccc(OC(F)(F)F)c1)C1CC1
25;71;0.354379;0.638836;0.625000;0.563571;25;71;1;decoy_333;Cc1cc(C2(C(=O)N[C@H](C)c3cccc(OC(F)(F)F)c3)CCOCC2)on1
26;277;0.583252;0.556899;0.555556;0.563084;26;277;1;decoy_453;O=C(CNC(=O)c1ccc(OC(F)(F)F)cc1)c1cncc(Br)c1
27;75;0.354162;0.668764;0.571429;0.560913;27;75;1;decoy_347;CC[C@H](NC(=O)c1ccc(Cn2ccnn2)cc1)c1ccc(OC)c(OC)c1
28;125;0.401617;0.604535;0.625000;0.559945;28;125;1;decoy_386;COCc1ccc([S@@](=O)CC(=O)N[C@H](C)c2ccc(OC(F)(F)F)cc2)cc1
29;8;0.461156;0.686308;0.444444;0.557461;29;8;1;decoy_67;C[C@@H](c1ccc(OC(F)(F)F)cc1)S(=O)(=O)Cc1noc2c1COCC2
30;6;0.358571;0.666174;0.555556;0.556088;30;6;1;decoy_397;Cc1noc(C)c1CCN1C(=O)N[C@@](C)(c2ccc(OC(F)(F)F)cc2)C1=O
31;46;0.320274;0.639823;0.625000;0.555489;31;46;1;decoy_413;CC(C)(NC(=O)c1cnc(C2OCCO2)s1)c1ccc(OC(F)(F)F)cc1
32;61;0.231908;0.654403;0.666667;0.552458;32;61;1;decoy_433;CC(C)(C(=O)Nc1ccc(S(C)(=O)=O)cn1)c1ccc(OC(F)(F)F)cc1
33;32;0.257664;0.664791;0.625000;0.551072;33;32;1;decoy_125;C[C@@H](NC(=O)c1ccnc(N2CCCCC2)n1)c1ccc(OC(F)F)cc1
34;94;0.417949;0.621461;0.555556;0.550811;34;94;1;decoy_367;CCc1nn(C)cc1CNC(=O)NC1(c2ccc(OC(F)(F)F)cc2)CC1
