PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;0.999992;0.999990;1.000000;0.999993;1;1;1;ref_1;CC[C@@H](NC(=O)c1cnn2cc(C)cnc12)c1ccc(OC(F)(F)F)cc1
2;4;0.644119;0.630482;0.625000;0.632247;2;4;1;decoy_259;COCCOc1ncccc1C(=O)N[C@H](C)c1cccc(OC(F)(F)F)c1
3;3;0.588940;0.695666;0.428571;0.588856;3;3;1;decoy_254;COc1ccc([C@H](NC(=O)c2cnn(-c3ccccc3)c2OC)C2CC2)cc1
4;6;0.514099;0.628795;0.555556;0.578149;4;6;1;decoy_397;Cc1noc(C)c1CCN1C(=O)N[C@@](C)(c2ccc(OC(F)(F)F)cc2)C1=O
5;26;0.309210;0.609132;0.750000;0.576412;5;26;1;decoy_211;COc1ccc(C(=O)NC2(c3ccc(NC(=O)C(C)(F)F)cc3)CCC2)nc1
6;31;0.357054;0.582069;0.750000;0.576195;6;31;1;decoy_78;C[C@@H](NC(=O)c1ccc(-n2ccnc2)nc1)c1ccc(OCC(F)(F)F)cc1
7;24;0.356896;0.606376;0.666667;0.562093;7;24;1;decoy_165;CCc1cccc(C(=O)N[C@H](Cc2ccc(OC(F)(F)F)cc2)C(=O)OC)c1O
8;33;0.388226;0.581621;0.666667;0.558786;8;33;1;decoy_472;C[C@H](C(=O)N[C@H](C)c1ccc(OC(F)(F)F)cc1)n1nnnc1C(C)(C)C
9;36;0.516817;0.536574;0.625000;0.558162;9;36;1;decoy_364;CC(C)(C)OCc1cc(C(=O)NCc2ccc(OC(F)(F)F)cc2)no1
10;14;0.458461;0.614357;0.555556;0.557743;10;14;1;decoy_467;CC(C)(NC(=O)c1cnn(-c2cccnc2)c1)c1ccc(OC(F)(F)F)cc1
11;68;0.488774;0.490525;0.714286;0.557215;11;68;1;decoy_19;C[C@@H](COc1cccc(F)c1)NC(=O)c1cnn2c(-c3ccccc3)ccnc12
12;66;0.524322;0.485918;0.666667;0.549744;12;66;1;decoy_497;COC(=O)c1sccc1NC(=O)C(=O)N[C@H](c1cccc(OC(F)(F)F)c1)C1CC1
13;32;0.374752;0.594625;0.625000;0.548770;13;32;1;decoy_125;C[C@@H](NC(=O)c1ccnc(N2CCCCC2)n1)c1ccc(OC(F)F)cc1
14;10;0.418591;0.652366;0.500000;0.548213;14;10;1;decoy_180;COc1ccc([C@@H](Cc2ccc(F)cc2)NC(=O)c2cnc3c(c2)ncn3C)cc1
15;8;0.462952;0.656653;0.444444;0.544565;15;8;1;decoy_67;C[C@@H](c1ccc(OC(F)(F)F)cc1)S(=O)(=O)Cc1noc2c1COCC2
16;7;0.608048;0.612772;0.375000;0.540259;16;7;1;decoy_403;CCOC(=O)c1cnc(C(=O)N[C@@H](c2ccc(OC)cc2)C2CC2)c(Cl)c1
17;12;0.491473;0.630940;0.444444;0.540125;17;12;1;decoy_3;CC(=O)c1cc(COC(=O)[C@H](C)Cc2ccc(OC(F)(F)F)cc2)on1
18;19;0.359097;0.630360;0.555556;0.540103;18;19;1;decoy_287;Cc1ccc2nnc(CNC(=O)C3(Cc4ccc(OC(F)(F)F)cc4)CC3)n2c1
19;46;0.396922;0.562549;0.625000;0.539877;19;46;1;decoy_413;CC(C)(NC(=O)c1cnc(C2OCCO2)s1)c1ccc(OC(F)(F)F)cc1
20;22;0.390941;0.612097;0.555556;0.539846;20;22;1;decoy_368;CNC(=O)c1ccsc1NC(=O)[C@@H](C)Cc1ccc(OC(F)(F)F)cc1
21;157;0.439797;0.450749;0.750000;0.537786;21;157;1;decoy_264;COCCOc1ccc(C(=O)Nc2cccc(OC(F)(F)F)c2F)cn1
22;51;0.401849;0.553891;0.625000;0.537213;22;51;1;decoy_426;CO[C@H]1COCC[C@H]1CNC(=O)N[C@H](C)c1ccc(OC(F)(F)F)cc1
23;27;0.394007;0.604451;0.555556;0.537171;23;27;1;decoy_392;O=C(CN1C[C@@H](c2ccccc2)CC1=O)Nc1cncc(OC(F)(F)F)c1
24;18;0.453897;0.608112;0.500000;0.537125;24;18;1;decoy_489;C[C@H](NC(=O)NCc1ccnc(N(C)C)n1)c1ccc(OC(F)(F)F)cc1
25;48;0.531516;0.516531;0.571429;0.536747;25;48;1;decoy_383;CC[C@@H](NC(=O)c1cc2ncc(Br)cn2n1)c1ccccc1OC
26;131;0.338158;0.499097;0.750000;0.534133;26;131;1;decoy_331;COC(=O)C[C@@H](NC(=O)c1cnn(CC(C)C)c1C)c1ccc(C(F)(F)F)cc1
27;61;0.277868;0.585679;0.666667;0.533023;27;61;1;decoy_433;CC(C)(C(=O)Nc1ccc(S(C)(=O)=O)cn1)c1ccc(OC(F)(F)F)cc1
28;71;0.452811;0.516265;0.625000;0.533022;28;71;1;decoy_333;Cc1cc(C2(C(=O)N[C@H](C)c3cccc(OC(F)(F)F)c3)CCOCC2)on1
29;11;0.473296;0.643501;0.416667;0.532900;29;11;1;decoy_490;O=C(N[C@@H](c1ccc(OC(F)(F)F)cc1)C(F)(F)F)N1CCc2cncnc2C1
30;15;0.458897;0.629292;0.444444;0.531239;30;15;1;decoy_372;CCCc1ccc([C@H](NC(=O)C(=O)Nc2cc(OC)cnc2F)C(C)C)cc1
31;39;0.401179;0.586507;0.555556;0.530889;31;39;1;decoy_284;N#C[C@@H](NC(=O)Cn1ccc2ccccc2c1=O)c1ccc(OC(F)(F)F)cc1
32;84;0.477799;0.494166;0.625000;0.529324;32;84;1;decoy_487;COc1cc(OC)c(C(=O)N[C@H](C#N)c2ccc(OC(F)(F)F)cc2)cc1OC
33;5;0.366410;0.714700;0.384615;0.528602;33;5;1;decoy_501;O=C(N[C@@H](c1ccc(OC(F)(F)F)cc1)C(F)(F)F)c1ccc2c(c1)C(=O)NC2=O
34;89;0.345183;0.535809;0.666667;0.527410;34;89;1;decoy_471;CC(C)(C)c1ncc(C(=O)NC[C@H](O)c2ccc(OC(F)(F)F)cc2)s1
35;20;0.364708;0.632263;0.500000;0.525695;35;20;1;decoy_491;COC(=O)C[C@H](NC(=O)c1cc(C#N)ccc1F)c1ccc(SC)cc1
36;38;0.300429;0.627118;0.555556;0.523977;36;38;1;decoy_200;CC[C@@H](NC(=O)c1ccc(C(F)(F)F)nc1C)c1ccccc1OCC(=O)N(C)C
37;34;0.247169;0.652286;0.555556;0.521988;37;34;1;decoy_434;COC(=O)[C@H]1CC[C@@H](NS(=O)(=O)c2ccc(OC(F)(F)F)c(Cl)c2)CC1
38;9;0.408251;0.682395;0.375000;0.521640;38;9;1;decoy_337;COC(=O)[C@H](NC(=O)c1cc(Cl)ncc1Br)c1ccc(OC)cc1
39;108;0.470448;0.478109;0.625000;0.520261;39;108;1;decoy_204;COC(=O)[C@@H]1CCO[C@H]1C1CCN(C(=O)N[C@H](C)c2ccc(OC(F)(F)F)cc2)CC1
40;90;0.343130;0.542121;0.625000;0.517237;40;90;1;decoy_12;COc1ccc(NS(=O)(=O)c2ccc(OC(F)F)c(Cl)c2)cc1N1CCOC1=O
41;125;0.442467;0.480783;0.625000;0.514469;41;125;1;decoy_386;COCc1ccc([S@@](=O)CC(=O)N[C@H](C)c2ccc(OC(F)(F)F)cc2)cc1
42;21;0.382182;0.633594;0.444444;0.513996;42;21;1;decoy_423;COc1ccc([C@H](CCO)NC(=O)c2nc3ccc(Br)cn3c2F)cc1
43;75;0.383948;0.543971;0.571429;0.512202;43;75;1;decoy_347;CC[C@H](NC(=O)c1ccc(Cn2ccnn2)cc1)c1ccc(OC)c(OC)c1
44;101;0.322791;0.541332;0.625000;0.511797;44;101;1;decoy_496;COC(=O)C[C@H](NC(=O)[C@H]1CCOC2(CCC2)C1)c1ccc(OC(F)(F)F)cc1
45;30;0.253800;0.662234;0.500000;0.511455;45;30;1;decoy_42;CC(C)(NS(=O)(=O)c1ccc(C#N)c(F)c1)c1ccc(OC(F)(F)F)cc1
46;59;0.486162;0.531694;0.500000;0.510803;46;59;1;decoy_470;Cc1cccc(-n2cc(C(=O)N[C@H](C#N)c3ccc(OC(F)(F)F)cc3)nn2)c1
47;63;0.328140;0.581247;0.555556;0.510263;47;63;1;decoy_51;CCc1nnc2n1C[C@H]1CC[C@@H](C2)N1C(=O)NCc1ccc(OC(F)(F)F)cc1
48;2;0.375318;0.524321;0.600000;0.509774;48;2;1;ref_0;COC[C@@H](NC(=O)N1CC(=O)Nc2cc(OC)cnc21)c1ccc(OC(F)(F)F)c(F)c1
49;54;0.437103;0.556636;0.500000;0.509762;49;54;1;decoy_349;C[C@@H](NC(=O)NC(C)(C)c1ccc(OC(F)(F)F)cc1)c1ncnn1C
