PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;2;0.999979;0.999993;1.000000;0.999992;1;2;1;ref_0;C[C@]1(c2cccc(-c3cccc(Cl)c3)c2)[NH+]=C(N)CCO1
2;1;0.432076;0.710006;0.666667;0.627522;2;1;1;ref_1;NC1=[NH+][C@@H]2CC[C@H](NC(=O)c3cccc(Cl)c3)C[C@@H]2CS1
3;189;0.327621;0.455379;1.000000;0.586826;3;189;1;decoy_247;Nc1ccc(Br)cc1C(=O)N[C@@H]1C[C@H]1C1CCC1
4;7;0.394824;0.637048;0.600000;0.565377;4;7;1;decoy_193;CC[C@H](CO)NC(=O)c1cccc(Oc2ccc(Cl)cc2)c1
5;3;0.467598;0.772528;0.333333;0.564537;5;3;1;decoy_208;CC(C)([NH2+]Cc1cccc(-c2ccc(Cl)cc2)c1)C(=O)[O-]
6;15;0.379454;0.607034;0.600000;0.548029;6;15;1;decoy_42;CC/C(=C/C(=O)O[C@@H](C(N)=O)C(C)C)c1cccc(Cl)c1
7;6;0.409814;0.646926;0.500000;0.543570;7;6;1;decoy_421;CON(C)C(=O)c1cc(-c2cccc(C(C)(C)[NH3+])c2)ccc1F
8;25;0.351497;0.606338;0.600000;0.540726;8;25;1;decoy_176;Cc1ccc(C(=O)N[C@H](CO)[C@@H]2CCCO2)c(Cl)c1Cl
9;32;0.331547;0.603863;0.600000;0.534625;9;32;1;decoy_459;CC(C)c1ccc(C(=O)N[C@@H](CO)[C@H]2CCOC2)cc1Cl
10;159;0.291403;0.517490;0.750000;0.530721;10;159;1;decoy_80;CC[C@@H](O[C@@H](c1ccccc1)c1cccc(Cl)c1)C(N)=O
11;18;0.447185;0.594416;0.500000;0.529283;11;18;1;decoy_213;CCCCOc1cc(F)ccc1-c1cccc(S(N)(=O)=O)c1
12;29;0.225190;0.647575;0.600000;0.527706;12;29;1;decoy_408;O=C(N[C@H]1CC[C@@H](CO)C1)c1ccc(C2SCCS2)cc1
13;78;0.373183;0.548424;0.600000;0.520087;13;78;1;decoy_425;CCS[C@H]1CCC[C@@H](NC(=O)c2c(O)cccc2Cl)C1
14;71;0.329710;0.571242;0.600000;0.519486;14;71;1;decoy_14;N[C@@H](C(=O)N1CCC([C@@H]2CCCO2)CC1)c1cccc(Cl)c1
15;74;0.223075;0.611705;0.600000;0.511036;15;74;1;decoy_274;CC[C@H](NC(=O)c1ccc(C(C)(C)C)c(Cl)c1)C(C)(C)O
16;28;0.306540;0.631643;0.500000;0.510874;16;28;1;decoy_185;C[C@@H](O)C[N@H+]1CC[C@H]([C@@H](C)NC(=O)c2ccc(Cl)cc2)CC1
17;4;0.399631;0.720051;0.285714;0.509645;17;4;1;decoy_91;N#Cc1cc(Cl)cc(-c2cccc(CN3CC[C@@H]([NH3+])C3)c2)c1
18;57;0.410904;0.565224;0.500000;0.507077;18;57;1;decoy_418;CC1(C)CC[C@H](CNC(=O)c2cccc(Cl)c2)[N@H+](CCO)C1
19;27;0.475195;0.587687;0.400000;0.503258;19;27;1;decoy_211;CN(C)S(=O)(=O)N[C@@H](c1ccccc1)c1cccc(Cl)c1
20;8;0.359076;0.681459;0.333333;0.496425;20;8;1;decoy_146;CC[C@@H](NC(=O)[C@@H]1C[C@H](C)CC(=O)N1)c1cccc(Cl)c1
21;166;0.302785;0.533478;0.600000;0.495762;21;166;1;decoy_207;C[C@@H](O)C(=O)Nc1ccc(Cl)cc1-c1cccc(Cl)c1
22;52;0.332986;0.611127;0.428571;0.486825;22;52;1;decoy_190;O=C(N[C@@H]1CCC[C@H]1O)c1cccc(-c2c(F)cccc2F)c1
23;102;0.331802;0.563689;0.500000;0.486610;23;102;1;decoy_426;N[C@H](C(=O)N[C@@H]1CC[C@H]2C[C@H]2C1)c1cccc(Br)c1
24;66;0.427915;0.565670;0.400000;0.481530;24;66;1;decoy_439;C[C@H]1C[C@@](C(=O)O[C@@H]2CCCNC2=O)(c2cccc(Cl)c2)C1
25;19;0.422128;0.637853;0.285714;0.478280;25;19;1;decoy_279;CC(C)CS(=O)(=O)Nc1cc(-c2cccc(F)c2)ccn1
26;151;0.333529;0.542785;0.500000;0.477635;26;151;1;decoy_240;NC(=O)[C@]12C[C@H]1CCN2C(=O)c1ccccc1-c1cccc(F)c1
27;16;0.247573;0.698416;0.333333;0.476180;27;16;1;decoy_288;CCCc1cc(C(=O)N[C@H]2CC[C@@H](C(=O)[O-])C2)ccc1Cl
28;17;0.387294;0.651387;0.285714;0.475662;28;17;1;decoy_59;Nc1ccc(F)cc1-c1ccc2c(c1)NC(=O)C21CCOCC1
29;77;0.298800;0.603782;0.428571;0.474973;29;77;1;decoy_270;O=C(NC1CC1)c1ccc(Nc2cccc(F)c2CO)cc1
30;72;0.336095;0.599669;0.400000;0.473875;30;72;1;decoy_245;N#CC1(NC(=O)[C@H]2C[C@@H]2c2cccc(Br)c2)CC1
31;115;0.466136;0.522126;0.400000;0.471491;31;115;1;decoy_370;CCO[C@H]1CC[C@@H](NS(=O)(=O)c2ccccc2Cl)CC1
32;200;0.326818;0.529654;0.500000;0.470049;32;200;1;decoy_438;COc1cc(C(=O)N[C@H]2C[C@@H](C)C2)cc(Cl)c1OCC(C)C
33;175;0.274190;0.556350;0.500000;0.468905;33;175;1;decoy_187;C[C@H](NC(=O)c1ccc(Cl)cc1)[C@@H]1COc2ccccc2O1
34;5;0.361856;0.729521;0.166667;0.468748;34;5;1;decoy_209;COC(=O)c1cccc(F)c1-c1cccc(C(=O)N(C)OC)c1
35;21;0.327829;0.669037;0.285714;0.468738;35;21;1;decoy_300;CN(CC(N)=O)C(=O)c1ccc(-c2ccc(Cl)cc2)cc1F
36;84;0.323317;0.593670;0.400000;0.467981;36;84;1;decoy_220;CC(C)N(Cc1cccc(Cl)c1)C(=O)[C@H]1NC(=O)O[C@H]1C
37;59;0.355287;0.609471;0.333333;0.463084;37;59;1;decoy_22;CC(C)(NC(=O)c1ccc(Br)c(Cl)c1)C(=O)[O-]
38;45;0.276332;0.652174;0.333333;0.462561;38;45;1;decoy_46;Cc1ccc(Cl)cc1C(=O)NC1(CO)CCSCC1
39;10;0.341727;0.700045;0.200000;0.460452;39;10;1;decoy_48;C[C@H]1CO[C@H](c2cccc(Cl)c2)CN1S(=O)(=O)C1CC1
40;12;0.395606;0.667306;0.200000;0.459189;40;12;1;decoy_427;[NH3+][C@H]1CCC[C@H](NC(=O)c2ccc(Cl)cc2C(F)(F)F)C1
41;255;0.265259;0.539399;0.500000;0.459044;41;255;1;decoy_256;C[C@@H](CO)NC(=O)c1ccc(NCc2cccc(Cl)c2)cc1
42;101;0.252149;0.609959;0.400000;0.457519;42;101;1;decoy_71;O=C(N[C@@H]1CC[C@@H](F)C1)c1ccccc1COC1CCOCC1
43;38;0.313735;0.651364;0.285714;0.457262;43;38;1;decoy_295;COC(=O)[C@](C)(N)Cc1cccc(-c2cc(F)cc(OC)c2)c1
44;109;0.411147;0.556373;0.333333;0.453155;44;109;1;decoy_450;C[C@@H]1CC[C@@H](NS(=O)(=O)c2cc(Cl)ccc2F)C[C@H]1C
45;142;0.282867;0.582854;0.400000;0.453001;45;142;1;decoy_134;O=C(OC1CCCC1)[C@@H](O)c1cccc(Br)c1
46;62;0.319165;0.626422;0.285714;0.447395;46;62;1;decoy_131;C[C@@H]1CC(=O)NN1C(=O)c1cccc(-c2c(F)cccc2F)c1
47;178;0.304177;0.558519;0.400000;0.447378;47;178;1;decoy_335;CC(C)C(=O)N[C@@H]1C[C@H](C)N(C(=O)Cc2cccc(Cl)c2)C1
48;355;0.256431;0.515297;0.500000;0.445991;48;355;1;decoy_120;C#C[C@@H](NC(=O)c1cccc(COC2CCOCC2)c1)C(C)C
49;31;0.226399;0.698300;0.250000;0.445835;49;31;1;decoy_375;O=C(NC1CC1)c1cccc(NCc2cc(O)cc(F)c2)c1
50;122;0.339418;0.578832;0.333333;0.445329;50;122;1;decoy_339;CC(=O)N[C@@H]1CCCN(C(=O)N[C@H](C)c2cccc(Cl)c2)C1
51;23;0.382410;0.662122;0.166667;0.443557;51;23;1;decoy_124;CSc1ncc(-c2cccc(S(C)(=O)=O)c2)cc1Cl
52;124;0.302596;0.592285;0.333333;0.442177;52;124;1;decoy_271;CCc1ccc(F)cc1C(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(C)=O)C2
53;279;0.344125;0.519030;0.400000;0.439595;53;279;1;decoy_433;CCC(CC)[C@H]1C[C@@H](NC(=O)c2cc(F)ccc2OC)CCO1
54;425;0.291431;0.478905;0.500000;0.438365;54;425;1;decoy_496;C[C@@H]1CCC[C@@H](NC(=O)c2ccc(OC3CCOCC3)cc2)C1
55;143;0.296063;0.587086;0.333333;0.438205;55;143;1;decoy_319;CC(C)NC(=O)c1cccc(NC(=O)c2ccccc2Cl)c1
56;14;0.237257;0.730859;0.166667;0.438201;56;14;1;decoy_19;O=C1NCCC[C@H]1C(=O)N1CCC(c2cccc(Cl)c2)CC1
57;11;0.263728;0.729747;0.142857;0.437175;57;11;1;decoy_128;CO[C@H]1C[C@H](NC(=O)c2c(-c3cccc(F)c3)noc2C)C1
