PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;1.000000;1.000000;1.000000;1.000000;1;1;1;ref_1;NC1=[NH+][C@@H]2CC[C@H](NC(=O)c3cccc(Cl)c3)C[C@@H]2CS1
2;8;0.459167;0.736742;0.666667;0.646326;2;8;1;decoy_456;COc1cc(Cl)cc(C(=O)N[C@H]2C[C@@H](C[NH2+]C(C)C)C2)c1
3;2;0.451883;0.724569;0.666667;0.639027;3;2;1;ref_0;C[C@]1(c2cccc(-c3cccc(Cl)c3)c2)[NH+]=C(N)CCO1
4;6;0.344526;0.768401;0.571429;0.603340;4;6;1;decoy_98;O=C(N[C@H]1CC[C@H](CO)CC1)c1cc(Cl)nc(Cl)c1
5;272;0.362401;0.581194;0.833333;0.602137;5;272;1;decoy_294;C[C@H]([NH3+])c1ccc(C(=O)N[C@H]2Cc3ccc(Cl)cc3C2)cc1
6;15;0.436945;0.704261;0.571429;0.597582;6;15;1;decoy_418;CC1(C)CC[C@H](CNC(=O)c2cccc(Cl)c2)[N@H+](CCO)C1
7;190;0.327018;0.696069;0.666667;0.594985;7;190;1;decoy_5;C[C@H]1C[C@@H]1C(=O)N[C@H]1C[C@H](NC(=O)c2cccc(C3CC3)c2)C1
8;18;0.595649;0.698788;0.428571;0.591938;8;18;1;decoy_480;Cc1cccc(C(=O)N[C@H]2CC[C@@H]([NH2+]C[C@@H]3CCOC3)CC2)c1
9;77;0.353020;0.655787;0.666667;0.583359;9;77;1;decoy_339;CC(=O)N[C@@H]1CCCN(C(=O)N[C@H](C)c2cccc(Cl)c2)C1
10;3;0.335714;0.688669;0.625000;0.581330;10;3;1;decoy_248;[NH3+]C[C@H]1CC[C@H](NC(=O)c2cc(F)c(Cl)cc2F)CC1
11;384;0.391208;0.618910;0.666667;0.576311;11;384;1;decoy_405;CC(C)NC(=O)c1ccc(Cl)c(NC(=O)[C@@H](C)C2CC2)c1
12;288;0.328870;0.647350;0.666667;0.573525;12;288;1;decoy_255;C[C@H]1CC[C@H](CNC(=O)[C@H]2C[C@@](O)(c3cccc(Cl)c3)C2)O1
13;12;0.378917;0.682633;0.571429;0.573343;13;12;1;decoy_307;N#Cc1ccccc1C[N@H+]1C[C@@H](CNC(=O)c2cccc(F)c2)C1
14;53;0.401940;0.665462;0.571429;0.571372;14;53;1;decoy_185;C[C@@H](O)C[N@H+]1CC[C@H]([C@@H](C)NC(=O)c2ccc(Cl)cc2)CC1
15;4;0.385512;0.679235;0.555556;0.568700;15;4;1;decoy_427;[NH3+][C@H]1CCC[C@H](NC(=O)c2ccc(Cl)cc2C(F)(F)F)C1
16;99;0.315491;0.684253;0.571429;0.558215;16;99;1;decoy_295;COC(=O)[C@](C)(N)Cc1cccc(-c2cc(F)cc(OC)c2)c1
17;35;0.408442;0.711616;0.444444;0.555671;17;35;1;decoy_343;O=C(N[C@H]1CC[C@H](O)CC1)c1ccc(Cl)c(C(F)(F)F)c1
18;365;0.428190;0.612784;0.571429;0.554229;18;365;1;decoy_281;CCOc1cc(C(=O)N[C@@H]2CC[C@H](F)C2)cc(Cl)c1O
19;60;0.480313;0.670222;0.428571;0.550250;19;60;1;decoy_146;CC[C@@H](NC(=O)[C@@H]1C[C@H](C)CC(=O)N1)c1cccc(Cl)c1
