PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;0.999999;0.999997;1.000000;0.999998;1;1;1;ref_1;NC1=[NH+][C@@H]2CC[C@H](NC(=O)c3cccc(Cl)c3)C[C@@H]2CS1
2;76;0.824909;0.845245;1.000000;0.886588;2;76;1;decoy_409;Cc1c(Cl)cccc1C(=O)N[C@H](C1CC1)[C@@H]1COCCO1
3;94;0.757256;0.844094;1.000000;0.869156;3;94;1;decoy_69;C=C(C)[C@@H]1OCC[C@@H]1CNC(=O)c1cc(Cl)cc(OC)c1
4;63;0.764016;0.828086;1.000000;0.863643;4;63;1;decoy_249;COc1c(Br)cccc1C(=O)NC1CCC(=O)CC1
5;216;0.709451;0.846123;1.000000;0.858118;5;216;1;decoy_236;CO[C@H]1CC[C@@H](NC(=O)[C@H]2COc3ccc(Cl)cc3C2)CC1
6;439;0.840186;0.769118;1.000000;0.856150;6;439;1;decoy_438;COc1cc(C(=O)N[C@H]2C[C@@H](C)C2)cc(Cl)c1OCC(C)C
7;8;0.649908;0.870676;1.000000;0.854281;7;8;1;decoy_456;COc1cc(Cl)cc(C(=O)N[C@H]2C[C@@H](C[NH2+]C(C)C)C2)c1
8;77;0.732143;0.813767;1.000000;0.849231;8;77;1;decoy_339;CC(=O)N[C@@H]1CCCN(C(=O)N[C@H](C)c2cccc(Cl)c2)C1
9;2;0.687261;0.833032;1.000000;0.846680;9;2;1;ref_0;C[C@]1(c2cccc(-c3cccc(Cl)c3)c2)[NH+]=C(N)CCO1
10;190;0.657558;0.834799;1.000000;0.840049;10;190;1;decoy_5;C[C@H]1C[C@@H]1C(=O)N[C@H]1C[C@H](NC(=O)c2cccc(C3CC3)c2)C1
11;111;0.679411;0.813862;1.000000;0.836091;11;111;1;decoy_187;C[C@H](NC(=O)c1ccc(Cl)cc1)[C@@H]1COc2ccccc2O1
12;482;0.807407;0.734520;1.000000;0.832386;12;482;1;decoy_235;O=C(N[C@H]1CCCOCC1)c1cccc(OC2CCCCC2)c1
13;239;0.573912;0.862875;1.000000;0.831772;13;239;1;decoy_299;CCOC(=O)[C@H]1CC[C@@H](NC(=O)c2cccc(N(C)C)c2)CC1
14;299;0.551555;0.873468;1.000000;0.830949;14;299;1;decoy_122;CC(C)O[C@H]1CC[C@@H](NC(=O)c2cccc3c2OCCO3)CC1
15;288;0.722681;0.769062;1.000000;0.826748;15;288;1;decoy_255;C[C@H]1CC[C@H](CNC(=O)[C@H]2C[C@@](O)(c3cccc(Cl)c3)C2)O1
16;384;0.805824;0.722708;1.000000;0.826675;16;384;1;decoy_405;CC(C)NC(=O)c1ccc(Cl)c(NC(=O)[C@@H](C)C2CC2)c1
17;316;0.695874;0.779597;1.000000;0.824787;17;316;1;decoy_25;CO[C@@H]1CC[C@@H](NC(=O)c2oc3c(Cl)cccc3c2C)C1
18;6;0.718125;0.881694;0.800000;0.816293;18;6;1;decoy_98;O=C(N[C@H]1CC[C@H](CO)CC1)c1cc(Cl)nc(Cl)c1
19;399;0.663597;0.777857;1.000000;0.815935;19;399;1;decoy_198;C/C(=C\c1cccc(Cl)c1)C(=O)NCC1CC2(C1)OCCO2
