PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;1.000000;1.000000;1.000000;1.000000;1;1;1;ref_0;Cc1nc(N)c2cccc(C(=O)Nc3cc[nH]n3)c2n1
2;2;0.755456;0.812250;0.888889;0.821043;2;2;1;ref_1;Cc1nc(N)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1
3;12;0.664086;0.720873;0.875000;0.752914;3;12;1;decoy_431;CC(C)Oc1cc(C(N)=O)ccc1NC(=O)c1cn[nH]c1
4;3;0.610649;0.717955;0.875000;0.738242;4;3;1;decoy_236;COc1c(NC(=O)c2[nH+]c([O-])c(C)s2)cccc1C(N)=O
5;112;0.514399;0.595175;1.000000;0.696428;5;112;1;decoy_105;C[C@@H](NC(=O)c1ccc(C(N)=O)cn1)c1nc2ccccc2[nH]1
6;18;0.513159;0.699666;0.777778;0.676473;6;18;1;decoy_388;Cc1[nH]nc2ncc(NC(=O)c3cc(N)ccn3)cc12
7;157;0.549903;0.660735;0.777778;0.668140;7;157;1;decoy_373;CNC(=O)Nc1ccc(C(=O)Nc2nc(SC)n[nH]2)cc1
8;4;0.571079;0.707949;0.666667;0.661347;8;4;1;decoy_371;NC(=O)c1ccc(C(=O)Nc2cc3cc[nH]c3cn2)o1
9;37;0.477584;0.681351;0.777778;0.659337;9;37;1;decoy_322;Cc1cc(C(=O)N[C@H](C)c2nnc(C)[nH]2)c2c(C)n[nH]c2n1
10;23;0.704568;0.738435;0.500000;0.658438;10;23;1;decoy_499;N#Cc1c[nH]nc1NC(=O)c1ccc(C2CC2)[nH]c1=O
11;257;0.516246;0.587344;0.875000;0.655866;11;257;1;decoy_246;COc1cc[nH]c(=O)c1C(=O)N[C@@H](C)c1n[nH]c(C(C)C)n1
12;13;0.556322;0.747109;0.600000;0.655280;12;13;1;decoy_306;Cc1ncc([N+](=O)[O-])cc1Nc1ncccc1C(N)=O
13;10;0.569781;0.736579;0.600000;0.653906;13;10;1;decoy_346;CC(=O)Nc1cc(NC(=O)c2cnc3[nH]ncc3c2)ccn1
14;111;0.522178;0.642053;0.777778;0.652802;14;111;1;decoy_417;Cc1[nH]nc2ccc(Nc3cnc(C(N)=O)nc3)cc12
15;34;0.536599;0.750491;0.600000;0.651871;15;34;1;decoy_370;Nc1ccc2ccc(-c3cccc(S(N)(=O)=O)c3)nc2n1
16;42;0.468734;0.664698;0.777778;0.649631;16;42;1;decoy_336;COC(=O)c1n[nH]c(C)c1NC(=O)c1cc(O)cnc1Cl
17;76;0.496435;0.648627;0.777778;0.649324;17;76;1;decoy_143;Cc1cc2cc(Nc3cnc(C(N)=O)cn3)cnc2[nH]1
18;85;0.682161;0.662718;0.600000;0.648763;18;85;1;decoy_340;Cc1cccc(NC(=O)Nc2cnc(C(N)=O)cn2)c1
19;19;0.530828;0.738118;0.600000;0.644860;19;19;1;decoy_416;NC(=O)Nc1cccc(C(=O)Nc2ccc[nH]c2=O)c1
20;32;0.560043;0.674148;0.666667;0.643377;20;32;1;decoy_468;CCOC(=O)c1c(NC(=O)c2c(C)cc[nH]c2=O)n[nH]c1C
21;14;0.675812;0.711711;0.500000;0.639223;21;14;1;decoy_92;CNC(=O)c1ccccc1NC(=O)c1ccc([N+](=O)[O-])[nH]1
22;55;0.648883;0.754770;0.454545;0.638231;22;55;1;decoy_260;CC(=O)Nc1cccc(C(=O)Nc2ccc3nn[nH]c3c2)n1
23;75;0.548938;0.668483;0.666667;0.638052;23;75;1;decoy_61;COc1ccc2cc(C(=O)Nc3oncc3C(N)=O)[nH]c2c1
24;43;0.439111;0.681412;0.700000;0.626413;24;43;1;decoy_202;Cc1cnc(Cl)nc1C(=O)Nc1cc(O)cc(C(N)=O)c1
25;50;0.526202;0.697199;0.600000;0.625290;25;50;1;decoy_387;CC(=O)Nc1cc(NC(=O)c2ccc3cc[nH]c3n2)ncn1
26;61;0.491298;0.715405;0.600000;0.624756;26;61;1;decoy_73;Cc1cc(O)c(C(C)C)cc1NC(=O)c1nc(=O)[nH][nH]1
27;71;0.630113;0.727892;0.454545;0.621443;27;71;1;decoy_486;CC(C)S(=O)(=O)c1cccc(C(=O)Nc2c[nH]nc2O)c1
28;96;0.424745;0.698777;0.666667;0.620636;28;96;1;decoy_452;Cc1nc(C(=O)Nc2ccc(C)c(S(N)(=O)=O)c2)c(C)o1
29;117;0.520097;0.640158;0.666667;0.618096;29;117;1;decoy_97;NC(=O)[C@@H](Cc1ccccc1)Nc1ccc([N+](=O)[O-])cn1
30;86;0.546588;0.668186;0.600000;0.617331;30;86;1;decoy_378;Cc1nc(N)nc(C)c1C(=O)N[C@H](C)c1c(C)n[nH]c1C
31;29;0.517466;0.683998;0.600000;0.617166;31;29;1;decoy_148;Cc1n[nH]c(=O)c(C(=O)Nc2cc(C(N)=O)sc2C)c1C
32;346;0.633639;0.570940;0.666667;0.615333;32;346;1;decoy_435;Cc1nc(CNC(=O)c2coc(C(N)=O)c2)nc2ccccc12
33;229;0.502088;0.636744;0.666667;0.612057;33;229;1;decoy_85;NC(=O)c1ccc(C(=O)Nc2ccc3occc(=O)c3c2)nc1
34;89;0.414182;0.794060;0.500000;0.610873;34;89;1;decoy_182;CNC(=O)c1cccc(NC(=O)c2cc([N+](=O)[O-])c[n-]2)c1
35;47;0.560841;0.707571;0.500000;0.608617;35;47;1;decoy_311;Cc1onc(CO)c1C(=O)Nc1ccc2oc(=O)[nH]c2c1
36;9;0.588215;0.803435;0.333333;0.608600;36;9;1;decoy_91;Cc1ccc(C(=O)O)cc1NC(=O)c1ns[nH]c1=O
37;143;0.423210;0.712842;0.600000;0.606582;37;143;1;decoy_333;Cc1[nH]nc(C(=O)Nc2ccc3c(c2)C[NH2+]CC3)c1[N+](=O)[O-]
38;11;0.496678;0.768002;0.454545;0.606134;38;11;1;decoy_101;COc1nc(-c2ccc3[nH]nc(N)c3c2)nc2[nH]cnc12
39;53;0.613543;0.672463;0.500000;0.605994;39;53;1;decoy_327;CSc1nc(NC(=O)c2ccc(C)c(=O)[nH]2)cc(=O)[nH]1
40;39;0.655577;0.704347;0.416667;0.605850;40;39;1;decoy_330;Cc1nc(Cl)nc(NCC(=O)c2ccc(O)c(O)c2)n1
41;22;0.420672;0.711478;0.600000;0.605333;41;22;1;decoy_496;Nc1cccnc1NC(=O)c1ccc2[nH][nH]c(=O)c2c1
42;199;0.587338;0.615913;0.600000;0.603996;42;199;1;decoy_173;NC(=O)C(=O)Nc1ccc(-c2nc(-c3ccccc3)n[nH]2)cc1
43;282;0.689164;0.622207;0.500000;0.602284;43;282;1;decoy_280;CCCc1cc(NC(=O)Nc2cc(C(=O)OC)n(C)n2)n[nH]1
44;274;0.394866;0.599342;0.777778;0.601754;44;274;1;decoy_492;CCOC(=O)c1cc(NC(=O)c2ccc(C)c(O)c2[O-])n[nH]1
45;70;0.449066;0.684459;0.600000;0.600273;45;70;1;decoy_213;Cc1[nH]c(=O)[nH]c(=O)c1NC(=O)[C@H](O)c1ccc(Cl)cc1
46;52;0.519116;0.674049;0.555556;0.599768;46;52;1;decoy_186;CCOC(=O)c1nc(NC(=O)c2csc(=O)[nH]2)oc1C
47;273;0.599120;0.599857;0.600000;0.599716;47;273;1;decoy_405;NC(=O)c1ccccc1CNc1nc(Cl)ccc1C(N)=O
48;108;0.514815;0.681159;0.545455;0.598862;48;108;1;decoy_500;NC(=O)c1cccc(NC(=O)c2ccc3c(N)ncnc3c2)c1
49;83;0.381460;0.718193;0.600000;0.598552;49;83;1;decoy_232;Cc1ccc(C(=O)Nc2cccc(-c3nc(=O)[nH][nH]3)c2)nn1
50;92;0.470487;0.666226;0.600000;0.597423;50;92;1;decoy_247;COC(=O)c1ccc(Nc2cc(NC(C)=O)ncn2)cc1N
51;62;0.516921;0.668202;0.555556;0.596588;51;62;1;decoy_479;COc1cccc(C(=O)NCc2c[nH]nc2C)c1[N+](=O)[O-]
52;242;0.519810;0.589142;0.666667;0.595067;52;242;1;decoy_176;Cc1noc(C)c1N(C)C(=O)Nc1nc(C(N)=O)cs1
53;227;0.577418;0.636757;0.545455;0.594532;53;227;1;decoy_126;Cc1[nH]nnc1C(=O)Nc1cnc(-c2cccc(O)c2)nc1
54;235;0.490697;0.603178;0.666667;0.594104;54;235;1;decoy_418;NC(=O)c1ccccc1C(=O)Nc1cc(OCC2CC2)n[nH]1
55;21;0.669090;0.705256;0.363636;0.593729;55;21;1;decoy_170;CCOC(=O)c1[nH]c(C)c(C(=O)Nc2nn[nH]c2C)c1C
56;48;0.419721;0.752070;0.500000;0.593362;56;48;1;decoy_205;CN(C(N)=O)c1cccc(NC(=O)c2c[nH+]cc([O-])c2)c1
57;202;0.491090;0.601203;0.666667;0.593314;57;202;1;decoy_288;NC(=O)c1cccc(NC(=O)Cc2noc3ccccc23)n1
58;63;0.583196;0.686613;0.454545;0.591139;58;63;1;decoy_23;NC(=O)CSc1ccccc1NC(=O)c1cc(N)ccn1
59;136;0.533178;0.616087;0.600000;0.590533;59;136;1;decoy_102;CCNC(=O)Nc1ccc(-n2nc(N)c3nccnc32)cc1
60;38;0.566888;0.752288;0.363636;0.589342;60;38;1;decoy_402;NC(=O)c1cnoc1NC(=O)c1cnc2ccccc2c1
61;142;0.476357;0.639915;0.600000;0.587051;61;142;1;decoy_286;CC(=O)Nc1ccc(NC(=O)c2cnc3[nH]cnc3c2)nc1
62;27;0.483490;0.702300;0.500000;0.586907;62;27;1;decoy_344;Cc1nc(=O)[nH]cc1C(=O)Nc1cc(Cl)c[nH]c1=O
63;68;0.591039;0.670111;0.454545;0.585673;63;68;1;decoy_326;N#C[C@@H](Nc1nc(-c2ccccn2)nc2sccc12)C(N)=O
64;40;0.638981;0.724101;0.333333;0.585591;64;40;1;decoy_487;Cc1n[nH]c2cc(NC(=O)c3cncnc3N)ccc12
