PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;0.999998;0.999994;1.000000;0.999997;1;1;1;ref_0;Cc1nc(N)c2cccc(C(=O)Nc3cc[nH]n3)c2n1
2;2;0.763198;0.728720;0.888889;0.785390;2;2;1;ref_1;Cc1nc(N)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1
3;3;0.605669;0.695615;0.875000;0.726944;3;3;1;decoy_236;COc1c(NC(=O)c2[nH+]c([O-])c(C)s2)cccc1C(N)=O
4;12;0.632140;0.630977;0.875000;0.704475;4;12;1;decoy_431;CC(C)Oc1cc(C(N)=O)ccc1NC(=O)c1cn[nH]c1
5;4;0.670046;0.687304;0.666667;0.676798;5;4;1;decoy_371;NC(=O)c1ccc(C(=O)Nc2cc3cc[nH]c3cn2)o1
6;112;0.607963;0.478674;1.000000;0.667394;6;112;1;decoy_105;C[C@@H](NC(=O)c1ccc(C(N)=O)cn1)c1nc2ccccc2[nH]1
7;18;0.570252;0.644559;0.777778;0.665948;7;18;1;decoy_388;Cc1[nH]nc2ncc(NC(=O)c3cc(N)ccn3)cc12
8;37;0.534758;0.619129;0.777778;0.645631;8;37;1;decoy_322;Cc1cc(C(=O)N[C@H](C)c2nnc(C)[nH]2)c2c(C)n[nH]c2n1
9;42;0.548721;0.610491;0.777778;0.645235;9;42;1;decoy_336;COC(=O)c1n[nH]c(C)c1NC(=O)c1cc(O)cnc1Cl
10;10;0.597807;0.690089;0.600000;0.639992;10;10;1;decoy_346;CC(=O)Nc1cc(NC(=O)c2cnc3[nH]ncc3c2)ccn1
11;32;0.656284;0.600688;0.666667;0.634380;11;32;1;decoy_468;CCOC(=O)c1c(NC(=O)c2c(C)cc[nH]c2=O)n[nH]c1C
12;13;0.509341;0.713468;0.600000;0.628396;12;13;1;decoy_306;Cc1ncc([N+](=O)[O-])cc1Nc1ncccc1C(N)=O
13;76;0.551585;0.566535;0.777778;0.626170;13;76;1;decoy_143;Cc1cc2cc(Nc3cnc(C(N)=O)cn3)cnc2[nH]1
14;19;0.568645;0.674736;0.600000;0.625792;14;19;1;decoy_416;NC(=O)Nc1cccc(C(=O)Nc2ccc[nH]c2=O)c1
15;43;0.459709;0.654248;0.700000;0.619339;15;43;1;decoy_202;Cc1cnc(Cl)nc1C(=O)Nc1cc(O)cc(C(N)=O)c1
16;29;0.625022;0.626628;0.600000;0.618238;16;29;1;decoy_148;Cc1n[nH]c(=O)c(C(=O)Nc2cc(C(N)=O)sc2C)c1C
17;14;0.653203;0.673360;0.500000;0.616313;17;14;1;decoy_92;CNC(=O)c1ccccc1NC(=O)c1ccc([N+](=O)[O-])[nH]1
18;22;0.463080;0.704834;0.600000;0.612945;18;22;1;decoy_496;Nc1cccnc1NC(=O)c1ccc2[nH][nH]c(=O)c2c1
19;111;0.514121;0.551317;0.777778;0.609956;19;111;1;decoy_417;Cc1[nH]nc2ccc(Nc3cnc(C(N)=O)nc3)cc12
20;257;0.561906;0.452911;0.875000;0.606787;20;257;1;decoy_246;COc1cc[nH]c(=O)c1C(=O)N[C@@H](C)c1n[nH]c(C(C)C)n1
21;34;0.499694;0.669705;0.600000;0.606291;21;34;1;decoy_370;Nc1ccc2ccc(-c3cccc(S(N)(=O)=O)c3)nc2n1
22;50;0.585447;0.615181;0.600000;0.603193;22;50;1;decoy_387;CC(=O)Nc1cc(NC(=O)c2ccc3cc[nH]c3n2)ncn1
23;11;0.563638;0.722584;0.454545;0.602436;23;11;1;decoy_101;COc1nc(-c2ccc3[nH]nc(N)c3c2)nc2[nH]cnc12
24;75;0.556162;0.585019;0.666667;0.602299;24;75;1;decoy_61;COc1ccc2cc(C(=O)Nc3oncc3C(N)=O)[nH]c2c1
25;16;0.541742;0.702960;0.500000;0.601767;25;16;1;decoy_341;Cc1ccc(C(=O)Nc2cn[nH]c(=O)c2Cl)c(=O)[nH]1
26;157;0.517425;0.530580;0.777778;0.601451;26;157;1;decoy_373;CNC(=O)Nc1ccc(C(=O)Nc2nc(SC)n[nH]2)cc1
27;23;0.613398;0.662042;0.500000;0.601269;27;23;1;decoy_499;N#Cc1c[nH]nc1NC(=O)c1ccc(C2CC2)[nH]c1=O
28;6;0.558441;0.758847;0.400000;0.601092;28;6;1;decoy_94;COC(=O)c1[nH]c(C)cc1NC(=O)c1cc(C#N)c[nH]1
29;52;0.562621;0.630839;0.555556;0.591200;29;52;1;decoy_186;CCOC(=O)c1nc(NC(=O)c2csc(=O)[nH]2)oc1C
30;5;0.500182;0.791807;0.363636;0.590450;30;5;1;decoy_217;N#Cc1ncn(-c2ccccc2NC(=O)c2ccc(=O)[nH]c2)n1
31;27;0.506319;0.696546;0.500000;0.590025;31;27;1;decoy_344;Cc1nc(=O)[nH]cc1C(=O)Nc1cc(Cl)c[nH]c1=O
32;85;0.653643;0.543602;0.600000;0.588032;32;85;1;decoy_340;Cc1cccc(NC(=O)Nc2cnc(C(N)=O)cn2)c1
33;62;0.588088;0.607120;0.555556;0.586893;33;62;1;decoy_479;COc1cccc(C(=O)NCc2c[nH]nc2C)c1[N+](=O)[O-]
34;53;0.680648;0.592199;0.500000;0.586651;34;53;1;decoy_327;CSc1nc(NC(=O)c2ccc(C)c(=O)[nH]2)cc(=O)[nH]1
35;61;0.444788;0.655232;0.600000;0.586051;35;61;1;decoy_73;Cc1cc(O)c(C(C)C)cc1NC(=O)c1nc(=O)[nH][nH]1
36;47;0.632106;0.617235;0.500000;0.585782;36;47;1;decoy_311;Cc1onc(CO)c1C(=O)Nc1ccc2oc(=O)[nH]c2c1
37;70;0.474280;0.634703;0.600000;0.584186;37;70;1;decoy_213;Cc1[nH]c(=O)[nH]c(=O)c1NC(=O)[C@H](O)c1ccc(Cl)cc1
38;8;0.502144;0.776368;0.363636;0.583992;38;8;1;decoy_482;NC(=O)c1cc(NC(=O)c2cnco2)nc2ccccc12
39;86;0.595111;0.567080;0.600000;0.583964;39;86;1;decoy_378;Cc1nc(N)nc(C)c1C(=O)N[C@H](C)c1c(C)n[nH]c1C
40;117;0.530098;0.558164;0.666667;0.583699;40;117;1;decoy_97;NC(=O)[C@@H](Cc1ccccc1)Nc1ccc([N+](=O)[O-])cn1
41;96;0.440545;0.605414;0.666667;0.582573;41;96;1;decoy_452;Cc1nc(C(=O)Nc2ccc(C)c(S(N)(=O)=O)c2)c(C)o1
42;21;0.744173;0.634022;0.363636;0.580444;42;21;1;decoy_170;CCOC(=O)c1[nH]c(C)c(C(=O)Nc2nn[nH]c2C)c1C
43;92;0.569693;0.570483;0.600000;0.579141;43;92;1;decoy_247;COC(=O)c1ccc(Nc2cc(NC(C)=O)ncn2)cc1N
44;25;0.478237;0.717753;0.454545;0.578912;44;25;1;decoy_310;O=C(Nc1cccc2[nH]c(=O)ccc12)c1snnc1CO
45;9;0.519363;0.767492;0.333333;0.575212;45;9;1;decoy_91;Cc1ccc(C(=O)O)cc1NC(=O)c1ns[nH]c1=O
46;94;0.512732;0.590216;0.600000;0.573780;46;94;1;decoy_395;CC(=O)Nc1cc(NC(=O)c2cnc3cc[nH]c3c2)ncn1
47;202;0.599699;0.494619;0.666667;0.572503;47;202;1;decoy_288;NC(=O)c1cccc(NC(=O)Cc2noc3ccccc23)n1
48;274;0.452312;0.502238;0.777778;0.572418;48;274;1;decoy_492;CCOC(=O)c1cc(NC(=O)c2ccc(C)c(O)c2[O-])n[nH]1
49;83;0.437338;0.628005;0.600000;0.571937;49;83;1;decoy_232;Cc1ccc(C(=O)Nc2cccc(-c3nc(=O)[nH][nH]3)c2)nn1
50;15;0.561462;0.734782;0.333333;0.571017;50;15;1;decoy_270;Cc1c(C(=O)Nc2c[nH]nc2O)[nH]c2c1C(=O)CCC2
51;136;0.600138;0.533358;0.600000;0.570046;51;136;1;decoy_102;CCNC(=O)Nc1ccc(-n2nc(N)c3nccnc32)cc1
52;45;0.551563;0.656581;0.454545;0.569716;52;45;1;decoy_391;CC(=O)c1ccnc(C(=O)Nc2nc(N)cnc2Cl)c1
53;48;0.426493;0.693616;0.500000;0.568750;53;48;1;decoy_205;CN(C(N)=O)c1cccc(NC(=O)c2c[nH+]cc([O-])c2)c1
54;142;0.581433;0.538680;0.600000;0.567764;54;142;1;decoy_286;CC(=O)Nc1ccc(NC(=O)c2cnc3[nH]cnc3c2)nc1
55;39;0.613564;0.642155;0.416667;0.567361;55;39;1;decoy_330;Cc1nc(Cl)nc(NCC(=O)c2ccc(O)c(O)c2)n1
56;20;0.535886;0.718159;0.363636;0.566234;56;20;1;decoy_30;COc1ncc(Nc2cc(=O)[nH]c(C)n2)cc1[N+](=O)[O-]
57;7;0.576058;0.771478;0.250000;0.566180;57;7;1;decoy_363;Cc1c(C(=O)Nc2nonc2N)nc2c(Cl)cccn12
58;55;0.554384;0.644793;0.454545;0.565116;58;55;1;decoy_260;CC(=O)Nc1cccc(C(=O)Nc2ccc3nn[nH]c3c2)n1
59;242;0.600881;0.475947;0.666667;0.564396;59;242;1;decoy_176;Cc1noc(C)c1N(C)C(=O)Nc1nc(C(N)=O)cs1
60;63;0.600266;0.616431;0.454545;0.563824;60;63;1;decoy_23;NC(=O)CSc1ccccc1NC(=O)c1cc(N)ccn1
61;24;0.523936;0.717068;0.363636;0.562756;61;24;1;decoy_174;Cc1cc(C)c([N+](=O)[O-])cc1NC(=O)c1ccc(=O)[nH]n1
62;68;0.615504;0.604917;0.454545;0.562452;62;68;1;decoy_326;N#C[C@@H](Nc1nc(-c2ccccn2)nc2sccc12)C(N)=O
63;229;0.525505;0.512927;0.666667;0.562194;63;229;1;decoy_85;NC(=O)c1ccc(C(=O)Nc2ccc3occc(=O)c3c2)nc1
64;59;0.428597;0.677553;0.500000;0.562048;64;59;1;decoy_392;COC(=O)c1ccnc(NC(=O)c2cccc(O)c2[O-])c1
65;71;0.628687;0.595503;0.454545;0.561512;65;71;1;decoy_486;CC(C)S(=O)(=O)c1cccc(C(=O)Nc2c[nH]nc2O)c1
66;108;0.578582;0.562567;0.545455;0.561437;66;108;1;decoy_500;NC(=O)c1cccc(NC(=O)c2ccc3c(N)ncnc3c2)c1
67;33;0.694824;0.636126;0.333333;0.559963;67;33;1;decoy_397;CCc1n[nH]cc1C(=O)Nc1nc(Cl)c2c[nH]nc2n1
68;235;0.516693;0.511870;0.666667;0.559515;68;235;1;decoy_418;NC(=O)c1ccccc1C(=O)Nc1cc(OCC2CC2)n[nH]1
69;28;0.538214;0.697210;0.363636;0.557389;69;28;1;decoy_430;Cc1cc(NC(=O)c2cc([N+](=O)[O-])ccc2C)nc(=O)[nH]1
70;199;0.599819;0.504931;0.600000;0.557174;70;199;1;decoy_173;NC(=O)C(=O)Nc1ccc(-c2nc(-c3ccccc3)n[nH]2)cc1
71;17;0.541965;0.730270;0.307692;0.556421;71;17;1;decoy_338;O=C(Nc1ncccc1OC(F)F)c1cc([N+](=O)[O-])n[nH]1
72;155;0.446645;0.586147;0.600000;0.555427;72;155;1;decoy_436;CSc1n[nH]/c(=N/C(=O)c2cccc(-c3nc[nH]n3)c2)[nH]1
73;26;0.462269;0.734624;0.363636;0.555239;73;26;1;decoy_175;N#C[C@@H](Nc1cc([N+](=O)[O-])c2ccccc2c1)C(N)=O
74;143;0.403178;0.606820;0.600000;0.553864;74;143;1;decoy_333;Cc1[nH]nc(C(=O)Nc2ccc3c(c2)C[NH2+]CC3)c1[N+](=O)[O-]
75;169;0.455023;0.578017;0.600000;0.553863;75;169;1;decoy_124;Cc1[nH]nc(O)c1NC(=O)c1nnn(-c2ccccc2)c1C
76;100;0.402218;0.636036;0.555556;0.553437;76;100;1;decoy_304;COc1cc(C(=O)Nc2ccc3[nH][nH]c(=O)c3c2)on1
77;30;0.221270;0.802809;0.454545;0.552945;77;30;1;decoy_426;Cc1cc(C)c(-c2nn[n-]n2)c(NC(=O)c2cccnc2)n1
78;224;0.551355;0.515029;0.600000;0.549602;78;224;1;decoy_27;Cc1cc(C)c(CNc2ncnc(Cl)c2C(N)=O)c(=O)[nH]1
79;38;0.521984;0.688883;0.363636;0.549584;79;38;1;decoy_402;NC(=O)c1cnoc1NC(=O)c1cnc2ccccc2c1
80;40;0.618338;0.651991;0.333333;0.547980;80;40;1;decoy_487;Cc1n[nH]c2cc(NC(=O)c3cncnc3N)ccc12
81;252;0.601409;0.483198;0.600000;0.547792;81;252;1;decoy_394;NC(=O)c1cc(CNCc2c[nH]nc2-c2cccs2)on1
82;60;0.492964;0.665646;0.416667;0.547782;82;60;1;decoy_179;NC(=O)c1cc(NC(=O)c2cc3nn[nH]c3cc2F)cs1
83;73;0.294566;0.715428;0.500000;0.545584;83;73;1;decoy_495;Cc1nc2ccc(C(=O)Nc3c[nH]nc3C(=O)[O-])cc2n1C
84;74;0.437487;0.666313;0.454545;0.545576;84;74;1;decoy_5;NC(=O)c1ccc(NC(=O)Nc2cccnc2)cc1[O-]
85;80;0.481116;0.641908;0.454545;0.545501;85;80;1;decoy_316;Cc1ccc(Nc2nccnc2C(N)=O)cc1[N+](=O)[O-]
