PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;0.999999;0.999997;1.000000;0.999998;1;1;1;ref_0;Cc1nc(N)c2cccc(C(=O)Nc3cc[nH]n3)c2n1
2;2;0.883648;0.891006;1.000000;0.921865;2;2;1;ref_1;Cc1nc(N)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1
3;3;0.828712;0.872723;1.000000;0.899903;3;3;1;decoy_236;COc1c(NC(=O)c2[nH+]c([O-])c(C)s2)cccc1C(N)=O
4;12;0.843949;0.851127;1.000000;0.893994;4;12;1;decoy_431;CC(C)Oc1cc(C(N)=O)ccc1NC(=O)c1cn[nH]c1
5;4;0.806947;0.832998;0.857143;0.833729;5;4;1;decoy_371;NC(=O)c1ccc(C(=O)Nc2cc3cc[nH]c3cn2)o1
6;32;0.799098;0.834163;0.857143;0.832291;6;32;1;decoy_468;CCOC(=O)c1c(NC(=O)c2c(C)cc[nH]c2=O)n[nH]c1C
7;37;0.713917;0.868967;0.875000;0.832014;7;37;1;decoy_322;Cc1cc(C(=O)N[C@H](C)c2nnc(C)[nH]2)c2c(C)n[nH]c2n1
8;257;0.814824;0.726691;1.000000;0.830717;8;257;1;decoy_246;COc1cc[nH]c(=O)c1C(=O)N[C@@H](C)c1n[nH]c(C(C)C)n1
9;13;0.914676;0.836657;0.750000;0.830165;9;13;1;decoy_306;Cc1ncc([N+](=O)[O-])cc1Nc1ncccc1C(N)=O
10;14;0.952882;0.833883;0.714286;0.827754;10;14;1;decoy_92;CNC(=O)c1ccccc1NC(=O)c1ccc([N+](=O)[O-])[nH]1
11;112;0.812995;0.714247;1.000000;0.824660;11;112;1;decoy_105;C[C@@H](NC(=O)c1ccc(C(N)=O)cn1)c1nc2ccccc2[nH]1
12;117;0.859771;0.767325;0.857143;0.817382;12;117;1;decoy_97;NC(=O)[C@@H](Cc1ccccc1)Nc1ccc([N+](=O)[O-])cn1
13;42;0.814977;0.778650;0.875000;0.816637;13;42;1;decoy_336;COC(=O)c1n[nH]c(C)c1NC(=O)c1cc(O)cnc1Cl
14;75;0.843128;0.770005;0.857143;0.814427;14;75;1;decoy_61;COc1ccc2cc(C(=O)Nc3oncc3C(N)=O)[nH]c2c1
15;52;0.814300;0.795629;0.833333;0.811608;15;52;1;decoy_186;CCOC(=O)c1nc(NC(=O)c2csc(=O)[nH]2)oc1C
16;6;0.836363;0.891998;0.666667;0.810490;16;6;1;decoy_94;COC(=O)c1[nH]c(C)cc1NC(=O)c1cc(C#N)c[nH]1
17;29;0.864169;0.815833;0.750000;0.808167;17;29;1;decoy_148;Cc1n[nH]c(=O)c(C(=O)Nc2cc(C(N)=O)sc2C)c1C
18;86;0.808678;0.844791;0.750000;0.807325;18;86;1;decoy_378;Cc1nc(N)nc(C)c1C(=O)N[C@H](C)c1c(C)n[nH]c1C
19;62;0.769855;0.808079;0.833333;0.806099;19;62;1;decoy_479;COc1cccc(C(=O)NCc2c[nH]nc2C)c1[N+](=O)[O-]
20;18;0.755584;0.784970;0.875000;0.804633;20;18;1;decoy_388;Cc1[nH]nc2ncc(NC(=O)c3cc(N)ccn3)cc12
21;16;0.762574;0.877877;0.714286;0.799974;21;16;1;decoy_341;Cc1ccc(C(=O)Nc2cn[nH]c(=O)c2Cl)c(=O)[nH]1
22;43;0.704125;0.796958;0.875000;0.797162;22;43;1;decoy_202;Cc1cnc(Cl)nc1C(=O)Nc1cc(O)cc(C(N)=O)c1
23;96;0.676536;0.822487;0.857143;0.796396;23;96;1;decoy_452;Cc1nc(C(=O)Nc2ccc(C)c(S(N)(=O)=O)c2)c(C)o1
24;143;0.777044;0.837532;0.750000;0.796151;24;143;1;decoy_333;Cc1[nH]nc(C(=O)Nc2ccc3c(c2)C[NH2+]CC3)c1[N+](=O)[O-]
25;95;0.868043;0.838986;0.666667;0.794555;25;95;1;decoy_245;COCc1nocc1C(=O)Nc1cccc(C(=O)OC)c1O
26;10;0.758170;0.842732;0.750000;0.793772;26;10;1;decoy_346;CC(=O)Nc1cc(NC(=O)c2cnc3[nH]ncc3c2)ccn1
27;76;0.800170;0.725782;0.875000;0.789145;27;76;1;decoy_143;Cc1cc2cc(Nc3cnc(C(N)=O)cn3)cnc2[nH]1
28;202;0.870452;0.689589;0.857143;0.785071;28;202;1;decoy_288;NC(=O)c1cccc(NC(=O)Cc2noc3ccccc23)n1
29;162;0.882586;0.772650;0.714286;0.782625;29;162;1;decoy_328;COC(=O)c1ccc(-c2cnc(C(N)=O)c(C)c2)cc1N
30;274;0.758938;0.733605;0.875000;0.782356;30;274;1;decoy_492;CCOC(=O)c1cc(NC(=O)c2ccc(C)c(O)c2[O-])n[nH]1
31;47;0.889349;0.768004;0.714286;0.782225;31;47;1;decoy_311;Cc1onc(CO)c1C(=O)Nc1ccc2oc(=O)[nH]c2c1
32;92;0.793965;0.795830;0.750000;0.781615;32;92;1;decoy_247;COC(=O)c1ccc(Nc2cc(NC(C)=O)ncn2)cc1N
33;50;0.803165;0.789270;0.750000;0.780963;33;50;1;decoy_387;CC(=O)Nc1cc(NC(=O)c2ccc3cc[nH]c3n2)ncn1
34;150;0.865193;0.835730;0.625000;0.779877;34;150;1;decoy_238;CNc1nc(C)cc(C(=O)Nc2cc(C)ccc2C(N)=O)n1
35;34;0.748250;0.816624;0.750000;0.779543;35;34;1;decoy_370;Nc1ccc2ccc(-c3cccc(S(N)(=O)=O)c3)nc2n1
36;71;0.898720;0.815874;0.625000;0.779323;36;71;1;decoy_486;CC(C)S(=O)(=O)c1cccc(C(=O)Nc2c[nH]nc2O)c1
37;21;0.856939;0.873946;0.571429;0.778939;37;21;1;decoy_170;CCOC(=O)c1[nH]c(C)c(C(=O)Nc2nn[nH]c2C)c1C
