PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;2;1.000000;1.000000;1.000000;1.000000;1;2;1;ref_1;C[C@H](CNc1nc2ncccc2[nH]1)C[NH2+]Cc1cc(Cl)cc(Cl)c1
2;1;0.745693;0.699207;0.833333;0.751066;2;1;1;ref_0;O=C(NCCC[NH2+]Cc1cc(Cl)cc(Cl)c1)Nc1ccccc1
3;10;0.356213;0.639023;0.666667;0.576614;3;10;1;decoy_93;CCOc1ccc(Cl)cc1C[NH2+]CC(C)(C)NC(=O)OC(C)(C)C
4;20;0.420133;0.599039;0.666667;0.574601;4;20;1;decoy_40;CC[C@@H]([NH2+]CCC(=O)Nc1ccc2c(c1)OCO2)c1ccc(Cl)cc1
5;39;0.426838;0.620934;0.571429;0.557559;5;39;1;decoy_353;C[C@@H]1C[C@@H](C)C[NH+](CCCCNC(=O)Nc2ccc3ncsc3c2)C1
6;137;0.482011;0.630981;0.500000;0.554444;6;137;1;decoy_173;C[C@H](NC(=O)NCCC[NH2+]C1CCCCC1)c1cc2cccc(F)c2o1
7;65;0.544678;0.592393;0.500000;0.552746;7;65;1;decoy_257;C[C@@H](CCCCO)[NH2+]Cc1cccc(NC(=O)c2ccccc2Cl)c1
8;6;0.341264;0.618747;0.571429;0.535181;8;6;1;decoy_54;C[C@@H]([NH2+]C1(CNC(=O)c2cc(Cl)ccn2)CCCC1)c1ccccc1
9;342;0.501269;0.561043;0.500000;0.527787;9;342;1;decoy_282;CC(C)(C)[NH2+]CCC(=O)Nc1ccc(Cl)cc1[C@H](O)c1ccccc1
10;55;0.386874;0.616110;0.500000;0.523968;10;55;1;decoy_495;CC(C)[C@@H](O)CC[NH2+]Cc1cccc(NC(=O)c2ccc(Cl)cc2)c1
11;4;0.409377;0.613456;0.428571;0.506971;11;4;1;decoy_3;COc1ccc(Cl)cc1C[NH2+][C@@H](C)CCCNC(=O)OC(C)(C)C
12;21;0.357563;0.582899;0.500000;0.501696;12;21;1;decoy_104;O=C(C[NH2+]Cc1c(Cl)oc2ccccc12)Nc1ccc(F)c(F)c1
13;116;0.563226;0.601495;0.300000;0.501479;13;116;1;decoy_348;C[C@H]([NH2+]CCCCCCO)c1ccc(NC(=O)c2ccc(F)cc2)cc1
14;96;0.358276;0.624895;0.428571;0.499343;14;96;1;decoy_191;CC(C)(C)C(=O)NCCC(=O)Nc1c(Cl)cc(Cl)cc1Cl
15;67;0.310546;0.602476;0.500000;0.498751;15;67;1;decoy_464;COC(CCCNC(=O)Nc1c(Cl)cc(Cl)cc1Cl)OC
16;243;0.313597;0.643616;0.428571;0.496598;16;243;1;decoy_337;Cc1cccc(NC(=O)NCC(=O)N(C)[C@H]2CC[C@@H](C(C)(C)C)CC2)c1
17;425;0.329638;0.586370;0.500000;0.496276;17;425;1;decoy_440;COC(C)(C)CCNC(=O)Nc1cccc(OCCc2ccccc2)c1
18;291;0.350953;0.568141;0.500000;0.493402;18;291;1;decoy_318;CC(C)n1cc2cc(NC(=O)NCCc3ccc(F)cc3F)ccc2n1
19;23;0.431390;0.605780;0.375000;0.492949;19;23;1;decoy_101;C[C@@H]([NH2+]CCCSCC#N)c1cccc(NC(=O)c2ccccc2)c1
20;208;0.312844;0.581013;0.500000;0.489667;20;208;1;decoy_122;CCCn1cc(CCNC(=O)Nc2c(F)cccc2F)c2cccnc21
21;24;0.426619;0.625314;0.333333;0.488046;21;24;1;decoy_75;CC(C)C[C@H](CNC(=O)NCCC(C)(C)F)[NH2+][C@@H](C)c1ccccc1
22;223;0.362342;0.596239;0.428571;0.487465;22;223;1;decoy_216;CCSc1ccc(Cl)cc1C(=O)N[C@H](C)C(=O)Nc1ccccc1
23;27;0.385334;0.615832;0.375000;0.485958;23;27;1;decoy_347;N#Cc1cccc(NC(=O)CC[NH2+]C2(c3ccc(Cl)cc3)CCC2)c1
24;35;0.315502;0.613741;0.428571;0.483630;24;35;1;decoy_207;COc1cc(C[NH2+]CCC[C@H](Cc2ccccc2)C(=O)[O-])ccc1Cl
25;199;0.401598;0.561819;0.428571;0.481790;25;199;1;decoy_443;O=C(NCCc1nc2c(s1)CCC2)Nc1cc(Cl)cc(Cl)c1
26;118;0.370026;0.611756;0.375000;0.480297;26;118;1;decoy_129;O=C(CCCC(=O)N[C@@H](c1ccccc1F)C1CC1)Nc1ccccc1
27;230;0.299957;0.566066;0.500000;0.479719;27;230;1;decoy_389;COc1cccc(NC(=O)NCCc2cn(C)c3cc(Cl)ccc23)c1
28;189;0.389663;0.590252;0.375000;0.475529;28;189;1;decoy_311;CCc1cc(NC(=O)NC[C@@H](c2ccc(C)o2)[NH+]2CCCC2)ccc1F
29;164;0.406128;0.576897;0.375000;0.473636;29;164;1;decoy_223;CCC(O)(CC)C(C)(C)NC(=O)Nc1cccc(Br)c1C
30;80;0.388891;0.586074;0.375000;0.473456;30;80;1;decoy_193;O=C(NCCNc1nc2ccccc2s1)Nc1ccsc1Cl
31;241;0.341325;0.609615;0.375000;0.472158;31;241;1;decoy_280;CCC(CC)[C@H](CNC(=O)Nc1ccc(-c2ccccn2)cc1)[NH+](C)C
32;103;0.494797;0.606365;0.250000;0.471563;32;103;1;decoy_433;COc1c(Cl)cc(NC(=O)NCCC[N@H+](C)CC(C)C)cc1Cl
33;293;0.317475;0.578428;0.428571;0.468233;33;293;1;decoy_336;CC1CCN(c2cccc(NC(=O)NCCNc3ccccc3)c2)CC1
34;144;0.449067;0.567426;0.333333;0.467608;34;144;1;decoy_325;CC(C)NC(=O)Nc1ccc(C[NH2+][C@H](C)CCCc2cccnc2)cc1
35;395;0.359420;0.553388;0.428571;0.467451;35;395;1;decoy_196;CO[C@@H](C)CNC(=O)Nc1ccc(-c2ccc(Cl)cc2Cl)nc1
36;271;0.318927;0.609898;0.375000;0.466686;36;271;1;decoy_258;O=C(CNCc1cc(Cl)ccc1Cl)Nc1cccc2cccnc12
37;165;0.304042;0.581181;0.428571;0.466113;37;165;1;decoy_181;Cn1nc(CCNC(=O)Nc2ccc(Cl)c(Cl)c2)c2ccccc21
38;11;0.403833;0.603062;0.300000;0.462336;38;11;1;decoy_33;C[C@H]([NH2+]CCCNC(=O)OC(C)(C)C)c1cccc(OC(F)(F)F)c1
39;12;0.502557;0.580524;0.250000;0.461875;39;12;1;decoy_267;O=C(NC[C@H]([NH2+]Cc1ccccc1)c1ccco1)c1ccc(Cl)cc1
40;123;0.284408;0.645570;0.333333;0.461608;40;123;1;decoy_83;C[C@H](C[C@@H](O)c1ccc(F)cc1)NC(=O)NCC[C@@H](C)c1ccccc1
41;51;0.301058;0.607229;0.375000;0.461018;41;51;1;decoy_111;CC(C)n1ncc2c1[C@@H]([NH2+]CCC(=O)Nc1ccc(Cl)cc1)CCC2
42;138;0.294562;0.574556;0.428571;0.460762;42;138;1;decoy_350;Cc1cc(NC(=O)NCC[C@@H]2COc3ccccc3O2)c(Cl)cc1F
43;225;0.417995;0.599637;0.285714;0.460050;43;225;1;decoy_276;Cc1cccc(NC(=O)NCCc2cc(Cl)c3c(c2)OCCO3)c1C
44;312;0.342662;0.606188;0.333333;0.458450;44;312;1;decoy_430;CC(C)c1[nH+]ccn1Cc1cccc(NC(=O)NCCCC(F)F)c1
45;5;0.323518;0.616130;0.333333;0.458138;45;5;1;decoy_203;C[C@@H](CC(=O)Nc1ccccc1)[NH2+]CCCc1c[nH]c2ccc(F)cc12
46;174;0.339735;0.561007;0.400000;0.457387;46;174;1;decoy_266;Cc1ccc(Oc2ccc(NC(=O)NCC(F)(F)C(F)F)cc2)nc1
47;393;0.440041;0.566989;0.300000;0.455156;47;393;1;decoy_105;C[C@H](CC1CC1)NC(=O)Nc1cccc(-n2cc(C(F)(F)F)cn2)c1
48;498;0.288088;0.564113;0.428571;0.454444;48;498;1;decoy_185;Cc1ncc(CCNC(=O)Nc2ccc(COC3CCCC3)cc2)s1
49;82;0.381200;0.545714;0.375000;0.453371;49;82;1;decoy_501;Cc1ccc(NC(=O)NCC2(c3ccccc3Cl)CC[NH2+]CC2)cc1
50;3;0.321470;0.637014;0.272727;0.448842;50;3;1;decoy_10;CCC(CC)(CNC(=O)N[C@@H](C)C(F)(F)F)[NH2+][C@H](C)c1ccccc1
51;147;0.410858;0.576435;0.285714;0.447824;51;147;1;decoy_287;COc1cccc(NC(=O)NCC2(Sc3ccccc3)CC2)c1OC
52;7;0.398020;0.638542;0.200000;0.446849;52;7;1;decoy_278;Cc1ccc(NC(=O)C2(C[NH2+]Cc3ccncc3F)CCCC2)cc1C
53;117;0.451878;0.571969;0.250000;0.445355;53;117;1;decoy_294;CCOc1ccc(NC(=O)N[C@H](C[NH+](C)C)c2ccc(Cl)cc2)cc1
54;8;0.379952;0.628015;0.222222;0.444262;54;8;1;decoy_73;CCS(=O)(=O)Nc1ccc([C@H](C)[NH2+]CC[C@@H](C)c2ccccc2)cc1
55;106;0.504203;0.632262;0.111111;0.443902;55;106;1;decoy_56;Cc1ccc(C(C)(C)CNC(=O)NC2(c3cccc(Cl)c3)CC2)nc1
56;261;0.239855;0.566908;0.428571;0.443644;56;261;1;decoy_150;CC(C)CNC(=O)C(=O)Nc1cccc(Sc2ccc(Cl)cc2)c1
57;187;0.301438;0.595823;0.333333;0.443480;57;187;1;decoy_180;Cc1cccc(Oc2ccccc2NC(=O)NCCN(C)CC(F)F)c1
58;253;0.310139;0.615503;0.285714;0.440226;58;253;1;decoy_414;COc1ccc(NC(=O)NCCCO[C@@H]2CCCc3ccccc32)cc1
59;305;0.324734;0.544916;0.375000;0.438896;59;305;1;decoy_174;COc1cc(OC)c(NC(=O)NCC(F)(F)C(C)(C)C)cc1Cl
