PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;2;1.000000;1.000000;1.000000;1.000000;1;2;1;ref_1;C[C@H](CNc1nc2ncccc2[nH]1)C[NH2+]Cc1cc(Cl)cc(Cl)c1
2;1;0.631280;0.612565;0.833333;0.683474;2;1;1;ref_0;O=C(NCCC[NH2+]Cc1cc(Cl)cc(Cl)c1)Nc1ccccc1
3;20;0.438846;0.488256;0.666667;0.529427;3;20;1;decoy_40;CC[C@@H]([NH2+]CCC(=O)Nc1ccc2c(c1)OCO2)c1ccc(Cl)cc1
4;10;0.330547;0.515356;0.666667;0.514547;4;10;1;decoy_93;CCOc1ccc(Cl)cc1C[NH2+]CC(C)(C)NC(=O)OC(C)(C)C
5;39;0.418419;0.462156;0.571429;0.484004;5;39;1;decoy_353;C[C@@H]1C[C@@H](C)C[NH+](CCCCNC(=O)Nc2ccc3ncsc3c2)C1
6;137;0.466306;0.471889;0.500000;0.478926;6;137;1;decoy_173;C[C@H](NC(=O)NCCC[NH2+]C1CCCCC1)c1cc2cccc(F)c2o1
7;6;0.268531;0.474693;0.571429;0.452173;7;6;1;decoy_54;C[C@@H]([NH2+]C1(CNC(=O)c2cc(Cl)ccn2)CCCC1)c1ccccc1
8;55;0.338824;0.480531;0.500000;0.450945;8;55;1;decoy_495;CC(C)[C@@H](O)CC[NH2+]Cc1cccc(NC(=O)c2ccc(Cl)cc2)c1
9;65;0.381879;0.451463;0.500000;0.448628;9;65;1;decoy_257;C[C@@H](CCCCO)[NH2+]Cc1cccc(NC(=O)c2ccccc2Cl)c1
10;67;0.258451;0.491662;0.500000;0.435861;10;67;1;decoy_464;COC(CCCNC(=O)Nc1c(Cl)cc(Cl)cc1Cl)OC
11;21;0.341503;0.442978;0.500000;0.434716;11;21;1;decoy_104;O=C(C[NH2+]Cc1c(Cl)oc2ccccc12)Nc1ccc(F)c(F)c1
12;4;0.336504;0.488873;0.428571;0.432690;12;4;1;decoy_3;COc1ccc(Cl)cc1C[NH2+][C@@H](C)CCCNC(=O)OC(C)(C)C
13;96;0.246422;0.526122;0.428571;0.426932;13;96;1;decoy_191;CC(C)(C)C(=O)NCCC(=O)Nc1c(Cl)cc(Cl)cc1Cl
14;243;0.231986;0.523218;0.428571;0.422016;14;243;1;decoy_337;Cc1cccc(NC(=O)NCC(=O)N(C)[C@H]2CC[C@@H](C(C)(C)C)CC2)c1
15;35;0.273413;0.478646;0.428571;0.412315;15;35;1;decoy_207;COc1cc(C[NH2+]CCC[C@H](Cc2ccccc2)C(=O)[O-])ccc1Cl
16;23;0.335694;0.477968;0.375000;0.411509;16;23;1;decoy_101;C[C@@H]([NH2+]CCCSCC#N)c1cccc(NC(=O)c2ccccc2)c1
17;27;0.360589;0.462633;0.375000;0.410832;17;27;1;decoy_347;N#Cc1cccc(NC(=O)CC[NH2+]C2(c3ccc(Cl)cc3)CCC2)c1
18;103;0.494432;0.470128;0.250000;0.410165;18;103;1;decoy_433;COc1c(Cl)cc(NC(=O)NCCC[N@H+](C)CC(C)C)cc1Cl
19;223;0.268016;0.474827;0.428571;0.409247;19;223;1;decoy_216;CCSc1ccc(Cl)cc1C(=O)N[C@H](C)C(=O)Nc1ccccc1
20;342;0.341515;0.385147;0.500000;0.408695;20;342;1;decoy_282;CC(C)(C)[NH2+]CCC(=O)Nc1ccc(Cl)cc1[C@H](O)c1ccccc1
21;189;0.377698;0.448122;0.375000;0.408579;21;189;1;decoy_311;CCc1cc(NC(=O)NC[C@@H](c2ccc(C)o2)[NH+]2CCCC2)ccc1F
22;208;0.212151;0.449775;0.500000;0.405437;22;208;1;decoy_122;CCCn1cc(CCNC(=O)Nc2c(F)cccc2F)c2cccnc21
23;241;0.358474;0.450656;0.375000;0.404913;23;241;1;decoy_280;CCC(CC)[C@H](CNC(=O)Nc1ccc(-c2ccccn2)cc1)[NH+](C)C
24;291;0.256403;0.423119;0.500000;0.404504;24;291;1;decoy_318;CC(C)n1cc2cc(NC(=O)NCCc3ccc(F)cc3F)ccc2n1
25;24;0.354971;0.478578;0.333333;0.404103;25;24;1;decoy_75;CC(C)C[C@H](CNC(=O)NCCC(C)(C)F)[NH2+][C@@H](C)c1ccccc1
26;123;0.245902;0.532226;0.333333;0.400977;26;123;1;decoy_83;C[C@H](C[C@@H](O)c1ccc(F)cc1)NC(=O)NCC[C@@H](C)c1ccccc1
27;230;0.214386;0.426437;0.500000;0.395493;27;230;1;decoy_389;COc1cccc(NC(=O)NCCc2cn(C)c3cc(Cl)ccc23)c1
28;425;0.222213;0.418133;0.500000;0.393713;28;425;1;decoy_440;COC(C)(C)CCNC(=O)Nc1cccc(OCCc2ccccc2)c1
29;51;0.275469;0.471735;0.375000;0.393648;29;51;1;decoy_111;CC(C)n1ncc2c1[C@@H]([NH2+]CCC(=O)Nc1ccc(Cl)cc1)CCC2
30;5;0.326749;0.467293;0.333333;0.391969;30;5;1;decoy_203;C[C@@H](CC(=O)Nc1ccccc1)[NH2+]CCCc1c[nH]c2ccc(F)cc12
31;11;0.375573;0.456851;0.300000;0.389476;31;11;1;decoy_33;C[C@H]([NH2+]CCCNC(=O)OC(C)(C)C)c1cccc(OC(F)(F)F)c1
32;118;0.239437;0.480362;0.375000;0.388522;32;118;1;decoy_129;O=C(CCCC(=O)N[C@@H](c1ccccc1F)C1CC1)Nc1ccccc1
33;271;0.200338;0.497855;0.375000;0.386619;33;271;1;decoy_258;O=C(CNCc1cc(Cl)ccc1Cl)Nc1cccc2cccnc12
34;144;0.407200;0.407885;0.333333;0.385348;34;144;1;decoy_325;CC(C)NC(=O)Nc1ccc(C[NH2+][C@H](C)CCCc2cccnc2)cc1
35;116;0.371905;0.448907;0.300000;0.384985;35;116;1;decoy_348;C[C@H]([NH2+]CCCCCCO)c1ccc(NC(=O)c2ccc(F)cc2)cc1
36;165;0.230384;0.441283;0.428571;0.384745;36;165;1;decoy_181;Cn1nc(CCNC(=O)Nc2ccc(Cl)c(Cl)c2)c2ccccc21
37;312;0.305071;0.462581;0.333333;0.384429;37;312;1;decoy_430;CC(C)c1[nH+]ccn1Cc1cccc(NC(=O)NCCCC(F)F)c1
38;293;0.233520;0.429241;0.428571;0.380110;38;293;1;decoy_336;CC1CCN(c2cccc(NC(=O)NCCNc3ccccc3)c2)CC1
39;7;0.366641;0.506349;0.200000;0.379517;39;7;1;decoy_278;Cc1ccc(NC(=O)C2(C[NH2+]Cc3ccncc3F)CCCC2)cc1C
40;80;0.240728;0.447916;0.375000;0.374244;40;80;1;decoy_193;O=C(NCCNc1nc2ccccc2s1)Nc1ccsc1Cl
41;169;0.323493;0.480301;0.250000;0.372009;41;169;1;decoy_143;CCCc1ccccc1NC(=O)NCCc1[nH+]ccn1Cc1ccccc1
42;12;0.367271;0.452407;0.250000;0.370401;42;12;1;decoy_267;O=C(NC[C@H]([NH2+]Cc1ccccc1)c1ccco1)c1ccc(Cl)cc1
43;3;0.262407;0.490370;0.272727;0.368086;43;3;1;decoy_10;CCC(CC)(CNC(=O)N[C@@H](C)C(F)(F)F)[NH2+][C@H](C)c1ccccc1
44;199;0.217184;0.406137;0.428571;0.365629;44;199;1;decoy_443;O=C(NCCc1nc2c(s1)CCC2)Nc1cc(Cl)cc(Cl)c1
45;57;0.287860;0.516225;0.200000;0.364266;45;57;1;decoy_164;OCC[C@@H]([NH2+]CC[C@H](O)c1ccccc1)c1cc(Cl)cc(Cl)c1
46;174;0.242804;0.407120;0.400000;0.363905;46;174;1;decoy_266;Cc1ccc(Oc2ccc(NC(=O)NCC(F)(F)C(F)F)cc2)nc1
47;498;0.212309;0.402653;0.428571;0.362842;47;498;1;decoy_185;Cc1ncc(CCNC(=O)Nc2ccc(COC3CCCC3)cc2)s1
48;138;0.195036;0.408873;0.428571;0.361323;48;138;1;decoy_350;Cc1cc(NC(=O)NCC[C@@H]2COc3ccccc3O2)c(Cl)cc1F
