PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;2;1.000000;1.000000;1.000000;1.000000;1;2;1;ref_1;C[C@H](CNc1nc2ncccc2[nH]1)C[NH2+]Cc1cc(Cl)cc(Cl)c1
2;1;0.812656;0.760713;1.000000;0.845485;2;1;1;ref_0;O=C(NCCC[NH2+]Cc1cc(Cl)cc(Cl)c1)Nc1ccccc1
3;67;0.718165;0.689335;1.000000;0.789742;3;67;1;decoy_464;COC(CCCNC(=O)Nc1c(Cl)cc(Cl)cc1Cl)OC
4;10;0.568437;0.771789;1.000000;0.789414;4;10;1;decoy_93;CCOc1ccc(Cl)cc1C[NH2+]CC(C)(C)NC(=O)OC(C)(C)C
5;20;0.721087;0.677120;1.000000;0.784976;5;20;1;decoy_40;CC[C@@H]([NH2+]CCC(=O)Nc1ccc2c(c1)OCO2)c1ccc(Cl)cc1
6;425;0.699190;0.655087;1.000000;0.769587;6;425;1;decoy_440;COC(C)(C)CCNC(=O)Nc1cccc(OCCc2ccccc2)c1
7;96;0.787706;0.719238;0.750000;0.745584;7;96;1;decoy_191;CC(C)(C)C(=O)NCCC(=O)Nc1c(Cl)cc(Cl)cc1Cl
8;230;0.689823;0.602831;1.000000;0.743730;8;230;1;decoy_389;COc1cccc(NC(=O)NCCc2cn(C)c3cc(Cl)ccc23)c1
9;243;0.644255;0.782411;0.750000;0.738149;9;243;1;decoy_337;Cc1cccc(NC(=O)NCC(=O)N(C)[C@H]2CC[C@@H](C(C)(C)C)CC2)c1
10;39;0.679169;0.692977;0.800000;0.721632;10;39;1;decoy_353;C[C@@H]1C[C@@H](C)C[NH+](CCCCNC(=O)Nc2ccc3ncsc3c2)C1
11;223;0.804481;0.647006;0.750000;0.717273;11;223;1;decoy_216;CCSc1ccc(Cl)cc1C(=O)N[C@H](C)C(=O)Nc1ccccc1
12;4;0.632997;0.732415;0.750000;0.712836;12;4;1;decoy_3;COc1ccc(Cl)cc1C[NH2+][C@@H](C)CCCNC(=O)OC(C)(C)C
13;35;0.679353;0.695621;0.750000;0.707867;13;35;1;decoy_207;COc1cc(C[NH2+]CCC[C@H](Cc2ccccc2)C(=O)[O-])ccc1Cl
14;271;0.835892;0.707307;0.600000;0.707261;14;271;1;decoy_258;O=C(CNCc1cc(Cl)ccc1Cl)Nc1cccc2cccnc12
