PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;1.000000;1.000000;1.000000;1.000000;1;1;1;ref_0;Nc1ncc2cc(-c3ccccc3)c(N3CC=CC3)nc2n1
2;12;0.644104;0.631250;1.000000;0.745089;2;12;1;decoy_178;Nc1ncnc(SCc2ccc(-c3ccccc3)cc2)n1
3;18;0.721387;0.652204;0.833333;0.723839;3;18;1;decoy_342;Nc1ncc2c(n1)CCCC2=NNc1c(Cl)cccc1Cl
4;2;0.544113;0.636779;1.000000;0.722579;4;2;1;ref_1;Cc1nc(-c2ccnc(N)n2)cn1Cc1c(Cl)cccc1Cl
5;39;0.608284;0.581368;1.000000;0.713687;5;39;1;decoy_447;C[C@H](Sc1ncnc(N)n1)c1ccccc1Br
6;13;0.507554;0.628844;1.000000;0.709868;6;13;1;decoy_487;Cc1nc(N)nc(C)c1C(=O)N1CC(C)(C)c2c(Cl)cccc21
7;11;0.391701;0.666392;1.000000;0.697802;7;11;1;decoy_454;Nc1ncc2cc(-c3cccn(Cc4ccccc4)c3=O)ccc2n1
8;51;0.524092;0.585700;1.000000;0.694588;8;51;1;decoy_385;CCc1nc(N)nc(S[C@H]2CCc3c(Cl)cccc32)n1
9;15;0.642549;0.647273;0.800000;0.691910;9;15;1;decoy_463;CO[C@H]1CC[C@@H](Oc2ccccc2-c2ccnc(N)n2)CC1
10;23;0.657296;0.629357;0.800000;0.687535;10;23;1;decoy_182;C[C@@H](Oc1ccc2nc(N)nn2c1)c1ccccc1Cl
11;54;0.472298;0.590415;1.000000;0.683761;11;54;1;decoy_79;CC(C)Cn1c(-c2cnc(N)nc2)nc2cc(Cl)ccc21
12;91;0.493804;0.576351;1.000000;0.682809;12;91;1;decoy_398;Cc1nc(N)ncc1-c1nccc2ccn(Cc3ccccc3)c12
13;6;0.700294;0.651063;0.714286;0.682338;13;6;1;decoy_485;CC(=NNc1cc(Cl)nc(N)n1)c1c(F)cccc1Cl
14;100;0.414232;0.590398;1.000000;0.669237;14;100;1;decoy_120;Cc1nc(N)nc(C)c1C(=O)N(C)c1ccc(-c2ccccc2)cc1
15;21;0.527453;0.629193;0.833333;0.665000;15;21;1;decoy_381;Cn1c(-c2ccccc2-c2cnc(N)nc2)nc2ccc(F)cc21
16;49;0.579926;0.610320;0.800000;0.659626;16;49;1;decoy_42;COC(=O)c1c(N)ccc2cn(-c3cccc(Cl)c3C)nc12
17;63;0.524561;0.638870;0.800000;0.658632;17;63;1;decoy_452;COc1c(OCc2ccccc2)cccc1-c1ccnc(N)n1
18;27;0.677093;0.641267;0.666667;0.657843;18;27;1;decoy_456;Nc1nc(Cl)cc(NCc2ccccc2Br)n1
19;61;0.489714;0.648791;0.800000;0.654385;19;61;1;decoy_216;COC(=O)c1cc(-c2ccc(Cl)c(C)c2C)ncc1N
20;29;0.700670;0.618907;0.666667;0.653676;20;29;1;decoy_282;C[C@@H](Nc1ccnc(N)n1)c1ccc(Br)s1
21;10;0.594485;0.675213;0.666667;0.652467;21;10;1;decoy_225;CCc1cc(Br)cc(Nc2cnc(N)nc2)c1
22;7;0.691673;0.683005;0.571429;0.651699;22;7;1;decoy_482;Cc1nc(N)ncc1Nc1cc(F)cc(Br)c1C
23;20;0.389039;0.669744;0.833333;0.648644;23;20;1;decoy_369;N#Cc1c(-c2ccccc2)ccnc1-c1cnc(N)c(F)c1
24;3;0.566953;0.699902;0.625000;0.644194;24;3;1;decoy_278;Cc1nc(N)ncc1-c1cc(C2(C(F)(F)F)CC2)ccn1
25;40;0.470533;0.614043;0.833333;0.643953;25;40;1;decoy_473;N#Cc1cnc(SCc2c(F)cccc2Cl)nc1N
26;188;0.560764;0.574500;0.800000;0.638716;26;188;1;decoy_165;Cc1cccc(Cl)c1NS(=O)(=O)c1cn(C)c(C(C)C)n1
27;33;0.626650;0.626442;0.666667;0.638561;27;33;1;decoy_59;Cc1cc(Nc2scnc2C(N)=O)cc(Cl)c1Cl
28;45;0.725687;0.621614;0.571429;0.632577;28;45;1;decoy_49;Nc1nc2n(n1)[C@H](c1cccs1)C[C@H](c1ccc(F)cc1)N2
29;30;0.665874;0.642841;0.571429;0.627175;29;30;1;decoy_171;Nc1nc(Cl)cc(N[C@@H]2CCSc3c(F)cccc32)n1
30;85;0.603131;0.610950;0.666667;0.625710;30;85;1;decoy_26;Cc1cc(C)c(Cl)c(-n2ncc3c(Cl)nc(N)nc32)c1
31;115;0.433031;0.593830;0.833333;0.625481;31;115;1;decoy_326;Nc1nn(-c2ccc(-c3ccccc3)c(F)c2)c2nccnc12
32;203;0.444433;0.581553;0.833333;0.622807;32;203;1;decoy_362;Cc1nc(N)ncc1-c1ccc(OCc2cccc(F)c2)nc1
33;4;0.560010;0.685606;0.571429;0.619954;33;4;1;decoy_179;CCC(CC)Oc1ccc(F)cc1Nc1cnc(N)nc1
34;28;0.469047;0.667550;0.666667;0.617659;34;28;1;decoy_353;CCOc1cc(Nc2cnc(N)nc2C)ccc1Br
35;56;0.626093;0.640821;0.571429;0.616321;35;56;1;decoy_227;Cc1c(Cl)ccc(Nc2nc(Cl)cnc2N)c1F
36;32;0.625334;0.688172;0.500000;0.616011;36;32;1;decoy_421;CCc1cc(Br)ccc1-c1noc(-c2ccncn2)n1
37;38;0.597396;0.697987;0.500000;0.613443;37;38;1;decoy_403;Cc1nccc(-c2nnc([C@H](C)Oc3cccc(Cl)c3)o2)n1
38;47;0.574707;0.624519;0.625000;0.612210;38;47;1;decoy_29;Cc1nc(N)ncc1-c1nc2ccccc2cc1C(F)(F)F
39;186;0.656261;0.576199;0.625000;0.610855;39;186;1;decoy_299;Cc1cccc2c(-c3cnc(N)nc3C(F)(F)F)ccnc12
40;31;0.494375;0.700909;0.571429;0.610431;40;31;1;decoy_462;Cc1nc(N)sc1-c1ccnc(-c2ccccc2F)n1
41;90;0.476052;0.607218;0.714286;0.606547;41;90;1;decoy_387;Cc1cc(-c2ccccc2F)nnc1-c1cnc(N)c(F)c1
42;8;0.503746;0.733915;0.500000;0.606198;42;8;1;decoy_448;Cc1cnc(-c2cncc(N)c2)nc1-c1c(F)cccc1F
43;17;0.605817;0.674883;0.500000;0.605151;43;17;1;decoy_210;C[C@H](Cc1ccccc1Cl)c1nc(-c2ccncn2)no1
44;140;0.667555;0.639260;0.500000;0.604556;44;140;1;decoy_293;Cc1nccc(-c2nc(Cc3cccc4ccccc34)no2)n1
45;64;0.539805;0.661598;0.571429;0.604099;45;64;1;decoy_480;Nc1cnc2c(cnn2-c2cc(-c3ccccc3)cnc2F)c1
46;26;0.613007;0.666838;0.500000;0.603329;46;26;1;decoy_418;COC(=O)c1nccc(N[C@H](C)c2ccccc2Cl)n1
47;96;0.569961;0.640350;0.571429;0.602076;47;96;1;decoy_162;Cc1cc(F)c(F)cc1-c1noc(-c2sccc2N)n1
48;50;0.463658;0.635814;0.666667;0.602031;48;50;1;decoy_405;COc1ncc(-c2ccccc2)cc1-c1cnc(N)nc1C
49;81;0.459128;0.636071;0.666667;0.601014;49;81;1;decoy_71;Cc1cc(-c2ccnc(CCc3ccccc3)n2)cnc1N
50;116;0.468685;0.541100;0.800000;0.600666;50;116;1;decoy_105;CNC(=O)Cc1noc(-c2sc3cccc(C)c3c2Cl)n1
51;228;0.453879;0.546004;0.800000;0.599172;51;228;1;decoy_25;COC(=O)c1c(Cl)cccc1-c1ccnc(NC(C)=O)c1
52;9;0.489447;0.723724;0.500000;0.598038;52;9;1;decoy_155;Cc1noc(-c2nc(C(C)C)n(-c3ccccc3Cl)n2)n1
53;80;0.541796;0.642863;0.571429;0.596166;53;80;1;decoy_478;Nc1ncc2cc(-c3cnc4ccc(F)cc4c3)ccc2n1
54;125;0.474855;0.616304;0.666667;0.596051;54;125;1;decoy_99;Nc1nc(Cl)cc(N2CCC(OCc3ccccc3F)CC2)n1
55;72;0.413455;0.647885;0.666667;0.594912;55;72;1;decoy_279;COc1cccc(-c2ccc(Nc3cnc(N)nc3)cc2)c1
56;154;0.599831;0.654810;0.500000;0.594622;56;154;1;decoy_186;O=C([O-])c1ccc(N2CCO[C@@H](c3c(F)cccc3Cl)C2)nc1
57;183;0.433829;0.634379;0.666667;0.593928;57;183;1;decoy_315;Cc1cc(Cl)cc(C(=O)N2CCC[C@H](c3ccnc(N)n3)C2)c1
58;22;0.570010;0.666687;0.500000;0.592512;58;22;1;decoy_132;Clc1ccccc1CC1(c2nc(-c3ncccn3)no2)CC1
59;60;0.463778;0.613162;0.666667;0.591867;59;60;1;decoy_121;Cn1c(N)nc(Cl)c1C=NNc1c(Cl)cccc1Cl
60;65;0.572730;0.663358;0.500000;0.591694;60;65;1;decoy_161;Cc1cc(-c2nc(-c3ccncn3)no2)ccc1Br
61;254;0.483654;0.566970;0.714286;0.590336;61;254;1;decoy_201;Cc1cc(-c2noc(C3(N)Cc4ccccc4C3)n2)c(F)cc1F
62;35;0.582816;0.654674;0.500000;0.590307;62;35;1;decoy_354;Nc1ncc(-c2nc3ccccc3n2-c2c(F)cccc2F)cn1
63;370;0.450845;0.526962;0.800000;0.589844;63;370;1;decoy_373;CCOc1cnc(N[C@@](C)(C#N)c2ccccc2Cl)nc1
64;52;0.583362;0.650881;0.500000;0.588737;64;52;1;decoy_432;Brc1ccccc1CCc1noc(-c2ncccn2)n1
65;25;0.609139;0.669648;0.444444;0.586959;65;25;1;decoy_322;Cn1c(-c2cnc(N)nc2C(F)(F)F)nc2cccc(Cl)c21
66;55;0.540109;0.669356;0.500000;0.586238;66;55;1;decoy_173;COc1cc(-n2cc(N)c(C(C)=O)n2)ccc1-c1ccccc1
67;69;0.410234;0.619995;0.666667;0.581556;67;69;1;decoy_184;N#Cc1ccccc1-c1ccc(Cc2cnc(N)nc2)cc1
68;303;0.686075;0.576441;0.500000;0.580917;68;303;1;decoy_346;CC(C)n1cnc(-c2nc(COc3cccc(F)c3)no2)c1
69;84;0.616274;0.662165;0.428571;0.580614;69;84;1;decoy_496;Cc1nccc(-c2nc(C3(c4ccc(F)cc4)CC3)no2)n1
70;246;0.603626;0.552172;0.600000;0.579384;70;246;1;decoy_188;Clc1ccccc1Cc1nnc(NCc2ccco2)o1
71;202;0.490238;0.570080;0.666667;0.579095;71;202;1;decoy_40;Cc1ccc(C(=O)Nc2nccc(-c3cnn(C)c3)n2)c(Cl)c1
72;37;0.646506;0.658780;0.400000;0.578078;72;37;1;decoy_359;Nc1ncc(Nc2cccc(F)c2Cl)c(C(F)(F)F)n1
73;237;0.458804;0.582877;0.666667;0.576996;73;237;1;decoy_98;Cc1cc(N2CCCCC2)ncc1-c1ccc2nc(N)ncc2c1
74;117;0.366170;0.625718;0.666667;0.573116;74;117;1;decoy_397;COc1cccc2c(-c3ccc4nc(N)ncc4c3)ccnc12
75;287;0.461346;0.567373;0.666667;0.570654;75;287;1;decoy_109;Cc1c(F)cccc1NS(=O)(=O)c1cn2c(n1)CCC[C@@H]2C
76;41;0.498527;0.694221;0.444444;0.570364;76;41;1;decoy_390;Cc1nc(N)sc1-c1ccnc(C(C)(C)C(F)(F)F)n1
77;191;0.560079;0.571876;0.571429;0.568793;77;191;1;decoy_47;C[C@@H](Nc1ccnc(N)n1)c1ccc(OCC2CC2)c(F)c1
78;57;0.547937;0.673732;0.428571;0.568735;78;57;1;decoy_174;C[C@@H](c1nc(-c2ccnc3ccnn23)no1)c1ccccc1F
79;198;0.567799;0.612462;0.500000;0.567558;79;198;1;decoy_488;Brc1ccccc1CNc1nnc(-c2ccon2)s1
80;165;0.421006;0.582061;0.666667;0.567179;80;165;1;decoy_196;CNC(=O)Cc1noc(-c2cc(C)c(-c3ccc(F)cc3)s2)n1
81;14;0.626622;0.762353;0.222222;0.566381;81;14;1;decoy_239;Cc1nc(-c2ccccn2)nc(-c2cc(F)ccc2N)c1C
82;233;0.513380;0.591355;0.571429;0.565883;82;233;1;decoy_43;COc1cccc(-c2nc(-c3cc(F)c(C)cc3F)no2)c1N
