PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;0.999998;0.999993;1.000000;0.999996;1;1;1;ref_0;Nc1ncc2cc(-c3ccccc3)c(N3CC=CC3)nc2n1
2;12;0.645877;0.537436;1.000000;0.703315;2;12;1;decoy_178;Nc1ncnc(SCc2ccc(-c3ccccc3)cc2)n1
3;13;0.595469;0.552183;1.000000;0.697350;3;13;1;decoy_487;Cc1nc(N)nc(C)c1C(=O)N1CC(C)(C)c2c(Cl)cccc21
4;2;0.582291;0.552611;1.000000;0.694248;4;2;1;ref_1;Cc1nc(-c2ccnc(N)n2)cn1Cc1c(Cl)cccc1Cl
5;11;0.467322;0.606948;1.000000;0.689957;5;11;1;decoy_454;Nc1ncc2cc(-c3cccn(Cc4ccccc4)c3=O)ccc2n1
6;39;0.598505;0.504215;1.000000;0.676523;6;39;1;decoy_447;C[C@H](Sc1ncnc(N)n1)c1ccccc1Br
7;51;0.616214;0.477894;1.000000;0.669106;7;51;1;decoy_385;CCc1nc(N)nc(S[C@H]2CCc3c(Cl)cccc32)n1
8;54;0.563392;0.489843;1.000000;0.661277;8;54;1;decoy_79;CC(C)Cn1c(-c2cnc(N)nc2)nc2cc(Cl)ccc21
9;18;0.612222;0.563219;0.833333;0.656504;9;18;1;decoy_342;Nc1ncc2c(n1)CCCC2=NNc1c(Cl)cccc1Cl
10;21;0.624604;0.554420;0.833333;0.655640;10;21;1;decoy_381;Cn1c(-c2ccccc2-c2cnc(N)nc2)nc2ccc(F)cc21
11;15;0.667281;0.550416;0.800000;0.654507;11;15;1;decoy_463;CO[C@H]1CC[C@@H](Oc2ccccc2-c2ccnc(N)n2)CC1
12;23;0.673741;0.540146;0.800000;0.651501;12;23;1;decoy_182;C[C@@H](Oc1ccc2nc(N)nn2c1)c1ccccc1Cl
13;6;0.663463;0.599611;0.714286;0.649976;13;6;1;decoy_485;CC(=NNc1cc(Cl)nc(N)n1)c1c(F)cccc1Cl
14;20;0.476850;0.611997;0.833333;0.644611;14;20;1;decoy_369;N#Cc1c(-c2ccccc2)ccnc1-c1cnc(N)c(F)c1
15;91;0.585811;0.439911;1.000000;0.644413;15;91;1;decoy_398;Cc1nc(N)ncc1-c1nccc2ccn(Cc3ccccc3)c12
16;100;0.529531;0.456872;1.000000;0.637975;16;100;1;decoy_120;Cc1nc(N)nc(C)c1C(=O)N(C)c1ccc(-c2ccccc2)cc1
17;3;0.602238;0.665416;0.625000;0.637497;17;3;1;decoy_278;Cc1nc(N)ncc1-c1cc(C2(C(F)(F)F)CC2)ccn1
18;40;0.537064;0.547419;0.833333;0.630605;18;40;1;decoy_473;N#Cc1cnc(SCc2c(F)cccc2Cl)nc1N
19;10;0.606637;0.607817;0.666667;0.625177;19;10;1;decoy_225;CCc1cc(Br)cc(Nc2cnc(N)nc2)c1
20;4;0.630160;0.656213;0.571429;0.624265;20;4;1;decoy_179;CCC(CC)Oc1ccc(F)cc1Nc1cnc(N)nc1
21;49;0.626526;0.504684;0.800000;0.623739;21;49;1;decoy_42;COC(=O)c1c(N)ccc2cn(-c3cccc(Cl)c3C)nc12
22;29;0.699765;0.533021;0.666667;0.614801;22;29;1;decoy_282;C[C@@H](Nc1ccnc(N)n1)c1ccc(Br)s1
23;27;0.637541;0.560584;0.666667;0.611648;23;27;1;decoy_456;Nc1nc(Cl)cc(NCc2ccccc2Br)n1
24;7;0.616684;0.629643;0.571429;0.608939;24;7;1;decoy_482;Cc1nc(N)ncc1Nc1cc(F)cc(Br)c1C
25;63;0.517212;0.530735;0.800000;0.608134;25;63;1;decoy_452;COc1c(OCc2ccccc2)cccc1-c1ccnc(N)n1
26;61;0.451731;0.559629;0.800000;0.604766;26;61;1;decoy_216;COC(=O)c1cc(-c2ccc(Cl)c(C)c2C)ncc1N
27;33;0.580329;0.570326;0.666667;0.601729;27;33;1;decoy_59;Cc1cc(Nc2scnc2C(N)=O)cc(Cl)c1Cl
28;28;0.500152;0.613515;0.666667;0.601120;28;28;1;decoy_353;CCOc1cc(Nc2cnc(N)nc2C)ccc1Br
29;116;0.642623;0.431299;0.800000;0.594740;29;116;1;decoy_105;CNC(=O)Cc1noc(-c2sc3cccc(C)c3c2Cl)n1
30;115;0.469553;0.494229;0.833333;0.589791;30;115;1;decoy_326;Nc1nn(-c2ccc(-c3ccccc3)c(F)c2)c2nccnc12
31;50;0.574495;0.545033;0.666667;0.588888;31;50;1;decoy_405;COc1ncc(-c2ccccc2)cc1-c1cnc(N)nc1C
32;47;0.619767;0.537327;0.625000;0.584239;32;47;1;decoy_29;Cc1nc(N)ncc1-c1nc2ccccc2cc1C(F)(F)F
33;60;0.577625;0.532722;0.666667;0.584131;33;60;1;decoy_121;Cn1c(N)nc(Cl)c1C=NNc1c(Cl)cccc1Cl
34;30;0.576265;0.593985;0.571429;0.582788;34;30;1;decoy_171;Nc1nc(Cl)cc(N[C@@H]2CCSc3c(F)cccc32)n1
35;8;0.495932;0.685328;0.500000;0.582381;35;8;1;decoy_448;Cc1cnc(-c2cncc(N)c2)nc1-c1c(F)cccc1F
36;45;0.733744;0.501546;0.571429;0.580560;36;45;1;decoy_49;Nc1nc2n(n1)[C@H](c1cccs1)C[C@H](c1ccc(F)cc1)N2
37;26;0.692507;0.567141;0.500000;0.578340;37;26;1;decoy_418;COC(=O)c1nccc(N[C@H](C)c2ccccc2Cl)n1
38;9;0.446684;0.701178;0.500000;0.577201;38;9;1;decoy_155;Cc1noc(-c2nc(C(C)C)n(-c3ccccc3Cl)n2)n1
39;5;0.618961;0.686854;0.375000;0.576325;39;5;1;decoy_191;O=C(Nc1ncn[nH]1)c1cc2ccccc2n1Cc1ccccc1F
40;90;0.501248;0.515794;0.714286;0.571705;40;90;1;decoy_387;Cc1cc(-c2ccccc2F)nnc1-c1cnc(N)c(F)c1
41;17;0.497966;0.659628;0.500000;0.571324;41;17;1;decoy_210;C[C@H](Cc1ccccc1Cl)c1nc(-c2ccncn2)no1
42;203;0.466306;0.454389;0.833333;0.571052;42;203;1;decoy_362;Cc1nc(N)ncc1-c1ccc(OCc2cccc(F)c2)nc1
43;31;0.421501;0.652962;0.571429;0.570637;43;31;1;decoy_462;Cc1nc(N)sc1-c1ccnc(-c2ccccc2F)n1
44;69;0.519229;0.534332;0.666667;0.570256;44;69;1;decoy_184;N#Cc1ccccc1-c1ccc(Cc2cnc(N)nc2)cc1
45;188;0.532845;0.437500;0.800000;0.570086;45;188;1;decoy_165;Cc1cccc(Cl)c1NS(=O)(=O)c1cn(C)c(C(C)C)n1
46;22;0.509631;0.649750;0.500000;0.569795;46;22;1;decoy_132;Clc1ccccc1CC1(c2nc(-c3ncccn3)no2)CC1
47;85;0.556509;0.506965;0.666667;0.567261;47;85;1;decoy_26;Cc1cc(C)c(Cl)c(-n2ncc3c(Cl)nc(N)nc32)c1
48;228;0.560581;0.412691;0.800000;0.565856;48;228;1;decoy_25;COC(=O)c1c(Cl)cccc1-c1ccnc(NC(C)=O)c1
49;72;0.452172;0.558806;0.666667;0.564506;49;72;1;decoy_279;COc1cccc(-c2ccc(Nc3cnc(N)nc3)cc2)c1
50;81;0.503963;0.528805;0.666667;0.563953;50;81;1;decoy_71;Cc1cc(-c2ccnc(CCc3ccccc3)n2)cnc1N
51;56;0.575357;0.551055;0.571429;0.563243;51;56;1;decoy_227;Cc1c(Cl)ccc(Nc2nc(Cl)cnc2N)c1F
52;25;0.591580;0.621197;0.444444;0.560767;52;25;1;decoy_322;Cn1c(-c2cnc(N)nc2C(F)(F)F)nc2cccc(Cl)c21
53;35;0.549409;0.604090;0.500000;0.559193;53;35;1;decoy_354;Nc1ncc(-c2nc3ccccc3n2-c2c(F)cccc2F)cn1
