PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;0.999999;0.999996;1.000000;0.999998;1;1;1;ref_0;Nc1ncc2cc(-c3ccccc3)c(N3CC=CC3)nc2n1
2;3;0.837097;0.820940;1.000000;0.878697;2;3;1;decoy_278;Cc1nc(N)ncc1-c1cc(C2(C(F)(F)F)CC2)ccn1
3;39;0.940332;0.754481;1.000000;0.874599;3;39;1;decoy_447;C[C@H](Sc1ncnc(N)n1)c1ccccc1Br
4;15;0.897498;0.768320;1.000000;0.870118;4;15;1;decoy_463;CO[C@H]1CC[C@@H](Oc2ccccc2-c2ccnc(N)n2)CC1
5;40;0.837812;0.795304;1.000000;0.867340;5;40;1;decoy_473;N#Cc1cnc(SCc2c(F)cccc2Cl)nc1N
6;6;0.804306;0.799622;1.000000;0.860906;6;6;1;decoy_485;CC(=NNc1cc(Cl)nc(N)n1)c1c(F)cccc1Cl
7;23;0.909580;0.739465;1.000000;0.860154;7;23;1;decoy_182;C[C@@H](Oc1ccc2nc(N)nn2c1)c1ccccc1Cl
8;37;0.918232;0.858051;0.800000;0.855681;8;37;1;decoy_359;Nc1ncc(Nc2cccc(F)c2Cl)c(C(F)(F)F)n1
9;18;0.858242;0.749176;1.000000;0.851690;9;18;1;decoy_342;Nc1ncc2c(n1)CCCC2=NNc1c(Cl)cccc1Cl
10;7;0.924528;0.843913;0.800000;0.850893;10;7;1;decoy_482;Cc1nc(N)ncc1Nc1cc(F)cc(Br)c1C
11;61;0.888796;0.727658;1.000000;0.849645;11;61;1;decoy_216;COC(=O)c1cc(-c2ccc(Cl)c(C)c2C)ncc1N
12;13;0.806830;0.770076;1.000000;0.848242;12;13;1;decoy_487;Cc1nc(N)nc(C)c1C(=O)N1CC(C)(C)c2c(Cl)cccc21
13;47;0.875833;0.725062;1.000000;0.845236;13;47;1;decoy_29;Cc1nc(N)ncc1-c1nc2ccccc2cc1C(F)(F)F
14;20;0.742777;0.794053;1.000000;0.843018;14;20;1;decoy_369;N#Cc1c(-c2ccccc2)ccnc1-c1cnc(N)c(F)c1
15;32;0.955822;0.841169;0.750000;0.842481;15;32;1;decoy_421;CCc1cc(Br)ccc1-c1noc(-c2ccncn2)n1
16;56;0.922610;0.822388;0.800000;0.840727;16;56;1;decoy_227;Cc1c(Cl)ccc(Nc2nc(Cl)cnc2N)c1F
17;33;0.913147;0.820695;0.800000;0.837599;17;33;1;decoy_59;Cc1cc(Nc2scnc2C(N)=O)cc(Cl)c1Cl
18;12;0.870536;0.707845;1.000000;0.836164;18;12;1;decoy_178;Nc1ncnc(SCc2ccc(-c3ccccc3)cc2)n1
19;27;0.894977;0.821835;0.800000;0.833570;19;27;1;decoy_456;Nc1nc(Cl)cc(NCc2ccccc2Br)n1
20;65;0.933020;0.828928;0.750000;0.831273;20;65;1;decoy_161;Cc1cc(-c2nc(-c3ccncn3)no2)ccc1Br
21;29;0.919926;0.797228;0.800000;0.828734;21;29;1;decoy_282;C[C@@H](Nc1ccnc(N)n1)c1ccc(Br)s1
22;4;0.837000;0.839733;0.800000;0.827130;22;4;1;decoy_179;CCC(CC)Oc1ccc(F)cc1Nc1cnc(N)nc1
23;21;0.803547;0.718708;1.000000;0.824306;23;21;1;decoy_381;Cn1c(-c2ccccc2-c2cnc(N)nc2)nc2ccc(F)cc21
24;25;0.835123;0.831488;0.800000;0.822950;24;25;1;decoy_322;Cn1c(-c2cnc(N)nc2C(F)(F)F)nc2cccc(Cl)c21
25;2;0.781819;0.719561;1.000000;0.819257;25;2;1;ref_1;Cc1nc(-c2ccnc(N)n2)cn1Cc1c(Cl)cccc1Cl
26;11;0.640507;0.797788;1.000000;0.819131;26;11;1;decoy_454;Nc1ncc2cc(-c3cccn(Cc4ccccc4)c3=O)ccc2n1
27;63;0.753778;0.729886;1.000000;0.816893;27;63;1;decoy_452;COc1c(OCc2ccccc2)cccc1-c1ccnc(N)n1
28;269;0.783538;0.708484;1.000000;0.814702;28;269;1;decoy_101;COc1ccc(Cl)c(Cn2cc(C(=O)[O-])nc2C2CC2)c1
29;188;0.873107;0.656081;1.000000;0.813513;29;188;1;decoy_165;Cc1cccc(Cl)c1NS(=O)(=O)c1cn(C)c(C(C)C)n1
30;10;0.823407;0.816588;0.800000;0.813316;30;10;1;decoy_225;CCc1cc(Br)cc(Nc2cnc(N)nc2)c1
31;49;0.831343;0.674866;1.000000;0.811526;31;49;1;decoy_42;COC(=O)c1c(N)ccc2cn(-c3cccc(Cl)c3C)nc12
32;51;0.875991;0.648278;1.000000;0.810723;32;51;1;decoy_385;CCc1nc(N)nc(S[C@H]2CCc3c(Cl)cccc32)n1
33;246;0.903772;0.627297;1.000000;0.808227;33;246;1;decoy_188;Clc1ccccc1Cc1nnc(NCc2ccco2)o1
34;31;0.731911;0.850937;0.800000;0.805899;34;31;1;decoy_462;Cc1nc(N)sc1-c1ccnc(-c2ccccc2F)n1
35;115;0.798988;0.679222;1.000000;0.805397;35;115;1;decoy_326;Nc1nn(-c2ccc(-c3ccccc3)c(F)c2)c2nccnc12
36;90;0.755698;0.703138;1.000000;0.805337;36;90;1;decoy_387;Cc1cc(-c2ccccc2F)nnc1-c1cnc(N)c(F)c1
