PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;2;1.000000;1.000000;1.000000;1.000000;1;2;1;ref_0;Cc1ccc(C(=O)NO)cc1NCc1ccccc1
2;15;0.663691;0.699084;0.833333;0.730511;2;15;1;decoy_450;C[C@@H]1CC(C)(C)C[C@H]1Nc1cccc(C(=O)NC(N)=O)c1
3;67;0.623718;0.575770;1.000000;0.715026;3;67;1;decoy_90;CC[C@@H](CO)NC(=O)c1cccc(N[C@@H](C)C(C)C)c1C
4;16;0.459365;0.655912;1.000000;0.710001;4;16;1;decoy_274;C[C@H](Nc1ccc(S(N)(=O)=O)cc1)[C@@H](C)c1ccccc1
5;6;0.665897;0.674101;0.800000;0.709820;5;6;1;decoy_311;O=C(NO)c1ccc(-c2ccccc2Br)o1
6;23;0.426873;0.652607;1.000000;0.700392;6;23;1;decoy_15;COc1ccc(NCC(C)(C)c2ccccc2)cc1S(N)(=O)=O
7;51;0.439094;0.629665;1.000000;0.693123;7;51;1;decoy_154;CCCCNc1ccccc1C(=O)N[C@@H](CC)[C@H](C)O
8;36;0.551253;0.648570;0.833333;0.679670;8;36;1;decoy_61;Cc1ccccc1-n1nccc1CNc1ccc(C)c(S(N)(=O)=O)c1
9;108;0.488188;0.687580;0.800000;0.671458;9;108;1;decoy_349;Cc1cc(NCc2ccccc2N2CCO[C@H](C)C2)ccc1C(N)=O
10;4;0.666064;0.675814;0.666667;0.670632;10;4;1;decoy_30;NC(=O)c1cc(NCC2(c3ccccc3)CCC2)ccn1
11;142;0.434412;0.563079;1.000000;0.661988;11;142;1;decoy_292;O=C(NCC1(O)CCCC1)c1ccccc1NCc1ccco1
12;144;0.709903;0.705094;0.500000;0.644768;12;144;1;decoy_454;CCOC(=O)c1ccc(CNc2cc(N3CCNC3=O)ccc2C)o1
13;19;0.390126;0.682264;0.800000;0.644550;13;19;1;decoy_17;COc1ccc(CCNc2ccc(C(N)=O)cc2C)cc1
14;44;0.543161;0.679865;0.666667;0.641729;14;44;1;decoy_47;COc1c(NCc2csc(C3CC3)n2)cccc1C(N)=O
15;166;0.461385;0.612466;0.833333;0.640956;15;166;1;decoy_251;Cc1ccccc1[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(C)C
