PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;2;0.999988;0.999994;1.000000;0.999994;1;2;1;ref_0;Cc1ccc(C(=O)NO)cc1NCc1ccccc1
2;36;0.938602;0.835247;1.000000;0.910512;2;36;1;decoy_61;Cc1ccccc1-n1nccc1CNc1ccc(C)c(S(N)(=O)=O)c1
3;15;0.952050;0.825303;1.000000;0.909399;3;15;1;decoy_450;C[C@@H]1CC(C)(C)C[C@H]1Nc1cccc(C(=O)NC(N)=O)c1
4;6;0.804150;0.903151;1.000000;0.907455;4;6;1;decoy_311;O=C(NO)c1ccc(-c2ccccc2Br)o1
5;16;0.928015;0.808123;1.000000;0.895659;5;16;1;decoy_274;C[C@H](Nc1ccc(S(N)(=O)=O)cc1)[C@@H](C)c1ccccc1
6;23;0.869368;0.835339;1.000000;0.893245;6;23;1;decoy_15;COc1ccc(NCC(C)(C)c2ccccc2)cc1S(N)(=O)=O
7;166;0.944834;0.774523;1.000000;0.884744;7;166;1;decoy_251;Cc1ccccc1[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(C)C
8;147;0.889131;0.780260;1.000000;0.873400;8;147;1;decoy_39;Cc1c(CS(C)(=O)=O)cccc1NCc1cccc2c1OCCO2
9;19;0.735256;0.834373;1.000000;0.859282;9;19;1;decoy_17;COc1ccc(CCNc2ccc(C(N)=O)cc2C)cc1
10;108;0.716542;0.836892;1.000000;0.855737;10;108;1;decoy_349;Cc1cc(NCc2ccccc2N2CCO[C@H](C)C2)ccc1C(N)=O
11;153;0.924086;0.854222;0.800000;0.855421;11;153;1;decoy_381;CC(C)c1cccc(C[NH2+]Cc2cccc(S(N)(=O)=O)c2)c1
12;246;0.704102;0.835275;1.000000;0.851899;12;246;1;decoy_224;CNC(=O)c1ccc(NCc2ccc3c(c2)C[C@H](C)O3)c(OC)c1
13;32;0.963519;0.819727;0.800000;0.849757;13;32;1;decoy_305;Cc1ccc(NCc2cc3ccccc3[nH]2)cc1S(N)(=O)=O
14;158;0.821058;0.891592;0.800000;0.846481;14;158;1;decoy_481;C[S@](=O)c1ccc(CNc2ccc3c(c2)N(C(N)=O)CCC3)cc1
15;43;0.929555;0.814038;0.800000;0.838706;15;43;1;decoy_348;Cc1ccc(CNc2ccc(S(N)(=O)=O)c3cccnc23)cc1F
16;67;0.821239;0.738993;1.000000;0.837857;16;67;1;decoy_90;CC[C@@H](CO)NC(=O)c1cccc(N[C@@H](C)C(C)C)c1C
17;51;0.708204;0.800958;1.000000;0.837482;17;51;1;decoy_154;CCCCNc1ccccc1C(=O)N[C@@H](CC)[C@H](C)O
18;196;0.809405;0.744279;1.000000;0.837277;18;196;1;decoy_469;CC(C)c1cccc(CNc2cnn(CC(=O)NC3CC3)c2)c1
19;90;0.936075;0.835807;0.750000;0.835132;19;90;1;decoy_323;Cc1ccc(C(=O)N[C@H](C)c2ccccc2)cc1N(C)S(C)(=O)=O
20;75;0.772525;0.748864;1.000000;0.830120;20;75;1;decoy_441;CN1CC[C@@H](NC(=O)c2ccccc2NCc2ccccc2Cl)C1=O
21;63;0.867600;0.858580;0.750000;0.828261;21;63;1;decoy_256;NC(=O)COc1cccc(NCc2ccc(N3CCCC3)cc2)c1
22;186;0.793031;0.728956;1.000000;0.826288;22;186;1;decoy_362;COc1cc(CNc2ccccc2C[S@](C)=O)cc2c1OCO2
23;3;0.905949;0.831761;0.750000;0.825779;23;3;1;decoy_298;CNS(=O)(=O)c1ccc(C)c(NCC2=Cc3ccccc3OC2)c1
24;144;0.855132;0.853458;0.750000;0.822839;24;144;1;decoy_454;CCOC(=O)c1ccc(CNc2cc(N3CCNC3=O)ccc2C)o1
25;285;0.758039;0.737179;1.000000;0.821240;25;285;1;decoy_303;CCNC(=O)c1ccc(NCc2ccc3c(c2)OCCO3)cc1
26;7;0.815851;0.836436;0.800000;0.820359;26;7;1;decoy_366;NS(=O)(=O)c1ccccc1N[C@H]1C[C@H](c2cccc(F)c2)C1
27;61;0.772068;0.721296;1.000000;0.817600;27;61;1;decoy_122;COc1cc(C(N)=O)ccc1NCc1cc2ccccc2n1C
28;4;0.837911;0.811894;0.800000;0.814830;28;4;1;decoy_30;NC(=O)c1cc(NCC2(c3ccccc3)CCC2)ccn1
29;20;0.818840;0.819541;0.800000;0.813503;29;20;1;decoy_201;CC(C)(CNc1ccccc1S(N)(=O)=O)c1cccs1
30;29;0.793423;0.833434;0.800000;0.813401;30;29;1;decoy_59;COc1ccc(C(N)=O)cc1Nc1ccnn1Cc1ccccc1
31;44;0.830575;0.809520;0.800000;0.811928;31;44;1;decoy_47;COc1c(NCc2csc(C3CC3)n2)cccc1C(N)=O
32;73;0.909898;0.795579;0.750000;0.810485;32;73;1;decoy_64;COc1cc(S(C)(=O)=O)ccc1NCc1ccccc1-n1cccn1
33;42;0.793022;0.853878;0.750000;0.807500;33;42;1;decoy_339;Cn1nncc1C(=O)Nc1cc(Cl)ccc1N1CCCCC1
34;202;0.913686;0.751310;0.800000;0.806511;34;202;1;decoy_490;CC[C@@H](CO)[NH2+]Cc1cccc(C(=O)Nc2ccccc2)c1
35;56;0.754590;0.832941;0.800000;0.803471;35;56;1;decoy_263;CCOc1ncc(Nc2cc(C(N)=O)ccc2C)cc1C
36;140;0.774795;0.688170;1.000000;0.803375;36;140;1;decoy_359;NC(=O)c1ccc(NCc2cc(Br)c3c(c2)OCO3)cc1
37;52;0.783149;0.815713;0.800000;0.802858;37;52;1;decoy_49;Cc1ccc(C(N)=O)cc1Nc1ccc2nn(C)cc2c1
38;8;0.880489;0.889869;0.600000;0.800563;38;8;1;decoy_244;CCC(CC)CNc1cc(S(N)(=O)=O)cc(C)c1C
39;142;0.759593;0.687484;1.000000;0.799266;39;142;1;decoy_292;O=C(NCC1(O)CCCC1)c1ccccc1NCc1ccco1
40;227;0.830383;0.813102;0.750000;0.798492;40;227;1;decoy_58;CC(C)CC(=O)N1CCN(c2ccc(NCc3ccccc3)nn2)CC1
41;193;0.873930;0.753918;0.800000;0.797745;41;193;1;decoy_198;CC1(C)C[C@]1(NCc1ccc(S(N)(=O)=O)cc1)c1ccccc1
42;122;0.906980;0.768169;0.750000;0.797421;42;122;1;decoy_306;CNS(=O)(=O)c1ccc(CNc2cccc3c2OC(C)(C)C3)cc1
43;59;0.919737;0.726704;0.800000;0.796951;43;59;1;decoy_23;CSc1c(F)cccc1NC(=O)c1ccc(S(N)(=O)=O)c(C)c1
44;85;0.764156;0.812310;0.800000;0.796578;44;85;1;decoy_62;COc1c(NCc2ccc3ncccc3c2)cccc1C(N)=O
45;66;0.716078;0.705179;1.000000;0.796350;45;66;1;decoy_304;COc1cccc(C)c1N/C=C1\C(=O)NC(=O)c2ccccc21
46;231;0.734286;0.692394;1.000000;0.795149;46;231;1;decoy_108;Cc1ccc(NC(=O)c2ccccc2)cc1NC(=O)[C@@H](O)C1CC1
47;14;0.760960;0.808138;0.800000;0.793902;47;14;1;decoy_375;Cc1ccc(C(N)=O)cc1NC(=O)C(F)(F)c1ccccc1
48;30;0.741012;0.817698;0.800000;0.793217;48;30;1;decoy_203;C[C@@](O)(CNc1c(Br)cccc1C(N)=O)c1ccccc1
49;170;0.707691;0.832692;0.800000;0.791634;49;170;1;decoy_365;O=C(NO)c1ccc(CNC(=O)[C@H]2CC[C@@H](C(F)(F)F)CC2)cc1
50;18;0.652611;0.726402;1.000000;0.790033;50;18;1;decoy_463;COc1ccc(Nc2cccc(C(N)=O)c2)cc1C
51;84;0.910928;0.748241;0.750000;0.789441;51;84;1;decoy_11;CCS(=O)(=O)NCc1cc(Oc2cccc(Cl)c2)ccn1
52;65;0.824402;0.793793;0.750000;0.788307;52;65;1;decoy_492;C[S@](=O)c1ccc(CNc2cccc3[nH]c(=O)oc23)cc1
53;175;0.869322;0.733995;0.800000;0.787628;53;175;1;decoy_72;Cn1cc(C(=O)Nc2ccc(Cl)c(C(=O)Nc3ccccc3)c2)nn1
54;41;0.930226;0.733446;0.750000;0.787607;54;41;1;decoy_245;CCS(=O)(=O)c1cccc(NC(=O)c2ccccc2)c1
55;109;0.861303;0.771241;0.750000;0.787384;55;109;1;decoy_121;Cc1ccccc1N[C@@H]1CCN(c2sccc2C(=O)[O-])C1=O
56;412;0.855730;0.739894;0.800000;0.786885;56;412;1;decoy_249;[NH3+]C1(CNCc2ccc(C(=O)Nc3ccccc3)cc2)CCC1
57;204;0.845952;0.776707;0.750000;0.786006;57;204;1;decoy_206;Cc1nc(C)c(CNc2cccc(N3CCCS3(=O)=O)c2)s1
58;10;0.687271;0.857451;0.750000;0.782671;58;10;1;decoy_157;COc1cc(C(=O)NO)cc(Cl)c1OCCC(C)C
59;37;0.798400;0.762231;0.800000;0.782604;59;37;1;decoy_320;NC(=O)c1ccccc1CNc1cccc2c1OC(F)(F)O2
60;115;0.741272;0.793421;0.800000;0.782357;60;115;1;decoy_405;CCOc1cc(C(N)=O)ccc1Nc1cc(CO)ccc1C
61;1;0.854767;0.727325;0.800000;0.780988;61;1;1;ref_1;O=C(NO)c1cn(-c2cc(Cl)ccc2Oc2ccc(F)cc2)nn1
62;88;0.715472;0.803316;0.800000;0.780360;62;88;1;decoy_367;CC(=O)Nc1cccc(NC(=O)c2ccc(F)c(N)c2)c1C
63;132;0.876374;0.846406;0.600000;0.779976;63;132;1;decoy_124;Cc1ccc(CNC(=O)c2ccccc2NCc2nnc(C)n2C)cc1
64;70;0.880738;0.843404;0.600000;0.779716;64;70;1;decoy_265;CO[C@H](c1ccccc1F)[C@@H](C)Nc1cc(C)ccc1S(N)(=O)=O
65;120;0.718381;0.799733;0.800000;0.779475;65;120;1;decoy_496;Cc1c(NCc2cccc3[nH]ccc23)cccc1C(=O)NCCO
66;178;0.698027;0.807856;0.800000;0.778042;66;178;1;decoy_214;Cc1cc(NCc2[nH+]ccn2-c2ccccc2)cc(C(N)=O)c1
67;22;0.907917;0.821590;0.600000;0.776695;67;22;1;decoy_374;CC[C@@H](CNc1cccc(S(N)(=O)=O)c1)c1ccccc1
68;399;0.719547;0.658380;1.000000;0.776158;68;399;1;decoy_250;O=C([O-])c1ccc(CNc2ccc3c(c2)OCCO3)cc1
69;136;0.756499;0.802603;0.750000;0.775296;69;136;1;decoy_4;COC(=O)c1cccc(CNc2cc3c(cc2OC)CCC(=O)N3)c1
70;203;0.843974;0.853844;0.600000;0.775223;70;203;1;decoy_322;CCN(CC)C(=O)c1ccccc1NC(=O)c1cccc(C[NH3+])c1
71;288;0.844715;0.753195;0.750000;0.775116;71;288;1;decoy_168;CC[NH2+]Cc1cccc(NC(=O)c2ccc3c(c2)OCCO3)c1
72;13;0.731137;0.781855;0.800000;0.774619;72;13;1;decoy_326;Cc1cccc(Nc2cc(O)cc(C(N)=O)c2)c1C
73;38;0.870205;0.837191;0.600000;0.774287;73;38;1;decoy_370;NS(=O)(=O)c1ccccc1NCC[C@H]1CCc2ccccc21
74;81;0.883370;0.729667;0.750000;0.774193;74;81;1;decoy_196;Cc1ccccc1NC(=O)c1ccc(CS(C)(=O)=O)cc1
75;139;0.764849;0.753547;0.800000;0.770308;75;139;1;decoy_459;O=C1NCCC[C@@H]1C(=O)NCc1ccc(Oc2ccc(F)cc2)cc1
76;35;0.790260;0.739351;0.800000;0.770273;76;35;1;decoy_272;Cc1ccccc1CNc1ccc2nc(C(N)=O)oc2c1
77;50;0.686630;0.829676;0.750000;0.770012;77;50;1;decoy_107;CC(C)(C)c1nc(CNc2cccc3c2C(=O)NC3)co1
78;79;0.880307;0.819127;0.600000;0.768684;78;79;1;decoy_351;Cc1ccc(CNc2ccc3c(c2)C(=O)NCC3)cc1[N+](=O)[O-]
79;24;0.746009;0.791534;0.750000;0.767693;79;24;1;decoy_33;COc1ccccc1C[C@@H](C)Nc1cccc(C(N)=O)c1
80;134;0.839367;0.838199;0.600000;0.767031;80;134;1;decoy_431;COc1ccc(CNc2cccc(CN3CCC[C@@H]3C(N)=O)c2)cc1
81;154;0.717162;0.805902;0.750000;0.766946;81;154;1;decoy_117;CCn1nc(C)c(CNc2ccc(N3CCNC3=O)cc2C)c1C
82;91;0.693860;0.817650;0.750000;0.766408;82;91;1;decoy_50;CNC(=O)c1cc(C)ccc1NCCc1ccccc1C(=O)OC
83;27;0.870192;0.812677;0.600000;0.763252;83;27;1;decoy_297;Cc1[nH]c(=O)ccc1C(=O)NC(C)(C)c1ccc(F)cc1
84;98;0.821027;0.737438;0.750000;0.762104;84;98;1;decoy_113;Cc1n[nH]c(=O)c(C(=O)Oc2ccc(Br)cc2)c1C
85;103;0.786029;0.723084;0.800000;0.761895;85;103;1;decoy_205;NC(=O)c1ccccc1CNc1ccnc(-c2ccccc2)n1
86;106;0.723089;0.758003;0.800000;0.761874;86;106;1;decoy_406;NC(=O)c1cccc(CNc2nccnc2-c2ccccc2)c1
87;195;0.773659;0.729538;0.800000;0.761707;87;195;1;decoy_280;CC[C@](C)(NC(=O)c1csc(CO)n1)c1ccc(F)cc1
88;31;0.707158;0.764687;0.800000;0.760898;88;31;1;decoy_301;Cc1oc2ccccc2c1CNc1ccnc(C(N)=O)c1
89;259;0.844460;0.821736;0.600000;0.760896;89;259;1;decoy_99;Cc1cccc(NC(=O)c2ccc(C[NH3+])cc2)c1C(=O)N1CCCC1
90;121;0.771168;0.728054;0.800000;0.760416;90;121;1;decoy_319;Cc1ccc(-c2cc(C(=O)NO)c3ccccc3n2)o1
