PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;1.000000;0.999999;1.000000;0.999999;1;1;1;ref_1;O=C(NO)c1cn(-c2cc(Cl)ccc2Oc2ccc(F)cc2)nn1
2;6;0.667786;0.616125;0.500000;0.594203;2;6;1;decoy_30;NC(=O)c1cc(NCC2(c3ccccc3)CCC2)ccn1
3;13;0.563644;0.595173;0.571429;0.580168;3;13;1;decoy_311;O=C(NO)c1ccc(-c2ccccc2Br)o1
4;15;0.563100;0.576003;0.571429;0.571405;4;15;1;decoy_157;COc1cc(C(=O)NO)cc(Cl)c1OCCC(C)C
5;7;0.480924;0.669531;0.444444;0.554854;5;7;1;decoy_18;CCCOc1cc(F)ccc1NC(=O)c1ccc(O)cn1
6;14;0.624267;0.549844;0.500000;0.553496;6;14;1;decoy_13;CC(C)Oc1ccc(Cl)cc1C(=O)Nc1ccc(=O)[nH]n1
7;5;0.495352;0.703925;0.375000;0.553104;7;5;1;decoy_339;Cn1nncc1C(=O)Nc1cc(Cl)ccc1N1CCCCC1
8;4;0.522383;0.688288;0.375000;0.552825;8;4;1;decoy_435;Cn1cc(C(=O)Nc2ccccc2Oc2ccccc2)nn1
9;42;0.668173;0.513645;0.500000;0.548184;9;42;1;decoy_65;C[C@@H](NC(=O)c1ccc(Oc2cccc(Cl)c2)cc1)C(N)=O
10;56;0.484691;0.531244;0.625000;0.547732;10;56;1;decoy_24;NC1=CCN(C(=O)c2ccc(Sc3ccc(Cl)cc3)o2)N1
11;181;0.536164;0.441588;0.714286;0.547041;11;181;1;decoy_449;CCc1ccccc1-n1cc(C(=O)Nc2ccn(C(C)C)n2)nn1
12;2;0.572505;0.562536;0.500000;0.546267;12;2;1;ref_0;Cc1ccc(C(=O)NO)cc1NCc1ccccc1
13;29;0.510367;0.590338;0.500000;0.543244;13;29;1;decoy_217;C[C@]1(c2ccccc2)C[C@H](Nc2cccc(C(=O)NCCO)c2)C1
14;143;0.554634;0.467575;0.625000;0.536567;14;143;1;decoy_84;O=C(NNc1c(F)cccc1Cl)c1cn(Cc2cccs2)nn1
15;48;0.630359;0.544937;0.444444;0.536144;15;48;1;decoy_188;O=C(Nc1ccc(Oc2cccc(F)c2)cc1)c1nc[nH]n1
16;28;0.591931;0.566241;0.444444;0.536124;16;28;1;decoy_450;C[C@@H]1CC(C)(C)C[C@H]1Nc1cccc(C(=O)NC(N)=O)c1
17;24;0.566154;0.540625;0.500000;0.534820;17;24;1;decoy_301;Cc1oc2ccccc2c1CNc1ccnc(C(N)=O)c1
18;3;0.582660;0.641500;0.333333;0.534340;18;3;1;decoy_12;CCCOc1ccc(F)cc1-c1ccnc(C(N)=O)c1
19;70;0.645477;0.492939;0.500000;0.533192;19;70;1;decoy_135;O=C(Nn1cn[nH]c1=O)c1ccc(Oc2ccccc2Cl)cc1
20;22;0.542051;0.549870;0.500000;0.532954;20;22;1;decoy_297;Cc1[nH]c(=O)ccc1C(=O)NC(C)(C)c1ccc(F)cc1
21;80;0.616868;0.507773;0.500000;0.532715;21;80;1;decoy_272;Cc1ccccc1CNc1ccc2nc(C(N)=O)oc2c1
22;32;0.534225;0.627777;0.375000;0.528556;22;32;1;decoy_67;CC[C@@H](C(=O)N(C)c1ccc(C(N)=O)cc1)c1ccccc1
23;9;0.442466;0.703304;0.333333;0.527103;23;9;1;decoy_422;CCCOc1ccc(F)cc1-n1ncc2cc(N)cnc21
