PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;1.000000;1.000000;1.000000;1.000000;1;1;1;ref_0;O=C([O-])c1ccccc1OCc1cccc2ccccc12
2;3;0.903346;0.722735;1.000000;0.851067;2;3;1;decoy_491;CC1(C)CCc2cc(-c3ccccc3C(=O)[O-])ccc2O1
3;5;0.733651;0.684567;1.000000;0.791468;3;5;1;decoy_488;CC(C)COCc1cccc(-c2ccccc2C(=O)[O-])c1
4;6;0.685883;0.679637;1.000000;0.777307;4;6;1;decoy_501;Cc1ccc(C(C)C)c(OCc2ccccc2C(=O)[O-])c1
5;8;0.711840;0.641073;1.000000;0.766443;5;8;1;decoy_471;COc1ccc2cc([C@H]3CCC[C@@]3(C)C(=O)[O-])ccc2c1
6;38;0.657810;0.551993;1.000000;0.712849;6;38;1;decoy_497;CC[C@@H](C)c1ccc(-c2cccc(C(=O)[O-])c2OC)cc1
7;13;0.494823;0.615778;1.000000;0.700806;7;13;1;decoy_498;COc1ccc(C(C)(C)C)cc1-c1ccccc1C(=O)[O-]
8;25;0.540455;0.564997;1.000000;0.689362;8;25;1;decoy_500;COc1cc2ccccc2cc1-c1cccc(C(=O)[O-])c1
9;99;0.645130;0.506650;1.000000;0.689275;9;99;1;decoy_493;CCCCOc1ccccc1-c1cc(C(=O)[O-])ccc1C
10;32;0.415346;0.612363;1.000000;0.679400;10;32;1;decoy_459;COc1ccc2c(c1)c(C(=O)[O-])c(C)n2C1CCCCC1
11;14;0.563194;0.724471;0.666667;0.666810;11;14;1;decoy_338;O=[N+]([O-])c1cc(F)ccc1O[C@@H](c1ccccc1)C1CC1
12;275;0.562978;0.468790;1.000000;0.651700;12;275;1;decoy_22;O=C([O-])/C=C/c1ccc(-c2ccc(Cl)cc2Cl)o1
13;58;0.256312;0.634664;1.000000;0.649677;13;58;1;decoy_21;CC(C)(C#N)CC(=O)Oc1ccc(-c2ccccc2)cc1
14;68;0.350571;0.529705;1.000000;0.626010;14;68;1;decoy_478;O=C([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1
15;57;0.684993;0.561219;0.666667;0.623797;15;57;1;decoy_363;O=C([O-])c1sccc1-c1cnccc1-c1ccccc1
16;103;0.347616;0.520203;1.000000;0.620995;16;103;1;decoy_489;CC(C)[C@@H](OCc1ccc(C(=O)[O-])cc1)c1ccccc1
17;364;0.330918;0.529150;1.000000;0.620847;17;364;1;decoy_203;C[C@@H](Oc1c(C#N)cccc1C(C)(C)C)c1ccncc1
18;98;0.352922;0.514466;1.000000;0.619740;18;98;1;decoy_468;COc1cc(C(=O)[O-])ccc1-c1ccc2ccsc2c1
19;175;0.728385;0.512947;0.666667;0.612922;19;175;1;decoy_455;CCc1ccc(C(=O)[O-])cc1NCc1cc(C)cc(C)c1
20;277;0.422032;0.451764;1.000000;0.608802;20;277;1;decoy_492;COc1ccc(-c2ccc3cc(C(=O)[O-])ccc3c2)cc1
21;172;0.342482;0.491996;1.000000;0.607019;21;172;1;decoy_475;Cc1cc(OC(C)C)c(-c2ccc(C(=O)[O-])cc2)cc1C
22;31;0.521212;0.614182;0.666667;0.606685;22;31;1;decoy_465;O=C([O-])c1cc(/C=C/c2cccs2)nc2ccccc12
23;217;0.380328;0.469805;1.000000;0.606494;23;217;1;decoy_499;COc1cc(-c2cccc(C3CCC3)c2)ccc1C(=O)[O-]
24;265;0.732113;0.490096;0.666667;0.603571;24;265;1;decoy_473;O=C([O-])c1ccc(-c2ccc3ccccc3n2)cc1Cl
