PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;1;1.000000;1.000000;1.000000;1.000000;1;1;1;ref_0;O=C([O-])c1ccccc1OCc1cccc2ccccc12
2;3;0.774297;0.589104;1.000000;0.758671;2;3;1;decoy_491;CC1(C)CCc2cc(-c3ccccc3C(=O)[O-])ccc2O1
3;5;0.725916;0.561458;1.000000;0.734135;3;5;1;decoy_488;CC(C)COCc1cccc(-c2ccccc2C(=O)[O-])c1
4;6;0.695686;0.554989;1.000000;0.723667;4;6;1;decoy_501;Cc1ccc(C(C)C)c(OCc2ccccc2C(=O)[O-])c1
5;8;0.693909;0.527040;1.000000;0.710645;5;8;1;decoy_471;COc1ccc2cc([C@H]3CCC[C@@]3(C)C(=O)[O-])ccc2c1
6;25;0.660108;0.426717;1.000000;0.657050;6;25;1;decoy_500;COc1cc2ccccc2cc1-c1cccc(C(=O)[O-])c1
7;13;0.449115;0.539027;1.000000;0.654841;7;13;1;decoy_498;COc1ccc(C(C)(C)C)cc1-c1ccccc1C(=O)[O-]
8;38;0.679770;0.395593;1.000000;0.647959;8;38;1;decoy_497;CC[C@@H](C)c1ccc(-c2cccc(C(=O)[O-])c2OC)cc1
9;32;0.479366;0.488110;1.000000;0.639491;9;32;1;decoy_459;COc1ccc2c(c1)c(C(=O)[O-])c(C)n2C1CCCCC1
10;68;0.535626;0.418216;1.000000;0.622103;10;68;1;decoy_478;O=C([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1
11;99;0.662319;0.343798;1.000000;0.620289;11;99;1;decoy_493;CCCCOc1ccccc1-c1cc(C(=O)[O-])ccc1C
12;4;0.703192;0.651588;0.500000;0.619012;12;4;1;decoy_476;Cc1ccc(Nc2c(F)cccc2Cl)cc1C(=O)[O-]
13;9;0.708831;0.527978;0.666667;0.614798;13;9;1;decoy_443;C/C(=C\c1ccccc1)CNc1ccc(C)c(C(=O)[O-])c1
14;98;0.563594;0.384665;1.000000;0.613998;14;98;1;decoy_468;COc1cc(C(=O)[O-])ccc1-c1ccc2ccsc2c1
15;103;0.557992;0.382875;1.000000;0.611792;15;103;1;decoy_489;CC(C)[C@@H](OCc1ccc(C(=O)[O-])cc1)c1ccccc1
16;58;0.208009;0.549817;1.000000;0.599420;16;58;1;decoy_21;CC(C)(C#N)CC(=O)Oc1ccc(-c2ccccc2)cc1
17;172;0.565682;0.343604;1.000000;0.596042;17;172;1;decoy_475;Cc1cc(OC(C)C)c(-c2ccc(C(=O)[O-])cc2)cc1C
18;217;0.570616;0.320738;1.000000;0.586986;18;217;1;decoy_499;COc1cc(-c2cccc(C3CCC3)c2)ccc1C(=O)[O-]
19;7;0.386881;0.742705;0.500000;0.580937;19;7;1;decoy_472;Cc1ccc(Cl)cc1Nc1cccc(C(=O)[O-])c1F
20;30;0.664402;0.468862;0.666667;0.577088;20;30;1;decoy_359;O=C([O-])C1(c2ccc(Nc3ccccc3Cl)cc2)CC1
21;275;0.568857;0.295636;1.000000;0.575250;21;275;1;decoy_22;O=C([O-])/C=C/c1ccc(-c2ccc(Cl)cc2Cl)o1
22;31;0.616968;0.488970;0.666667;0.574278;22;31;1;decoy_465;O=C([O-])c1cc(/C=C/c2cccs2)nc2ccccc12
23;277;0.524959;0.310414;1.000000;0.570926;23;277;1;decoy_492;COc1ccc(-c2ccc3cc(C(=O)[O-])ccc3c2)cc1
24;295;0.517011;0.307154;1.000000;0.567472;24;295;1;decoy_416;CCOc1ccc(C)cc1-c1ccc(CCC(=O)[O-])cc1
25;14;0.214028;0.679457;0.666667;0.559262;25;14;1;decoy_338;O=[N+]([O-])c1cc(F)ccc1O[C@@H](c1ccccc1)C1CC1
26;321;0.489078;0.303959;1.000000;0.559051;26;321;1;decoy_433;COc1cc(C)c(-c2ccc(/C=C/C(=O)[O-])cc2)c(C)c1
27;57;0.665404;0.426460;0.666667;0.558258;27;57;1;decoy_363;O=C([O-])c1sccc1-c1cnccc1-c1ccccc1
28;88;0.683592;0.393814;0.666667;0.548115;28;88;1;decoy_477;CC[C@@H](C)c1ccc(CNc2cccc(C(=O)[O-])c2)cc1
29;44;0.331384;0.569790;0.666667;0.539252;29;44;1;decoy_469;CCCSCc1cccc(-c2ncccc2C(=O)[O-])c1
30;364;0.249464;0.375834;1.000000;0.531491;30;364;1;decoy_203;C[C@@H](Oc1c(C#N)cccc1C(C)(C)C)c1ccncc1
31;175;0.698836;0.342640;0.666667;0.528897;31;175;1;decoy_455;CCc1ccc(C(=O)[O-])cc1NCc1cc(C)cc(C)c1
32;53;0.638152;0.465299;0.500000;0.518923;32;53;1;decoy_457;O=C([O-])c1cc(Nc2csc3ccccc23)ccc1F
33;2;0.426191;0.746841;0.250000;0.517626;33;2;1;ref_1;O=C([O-])c1cc2c(-c3cccc4ccccc34)cccc2[nH]1
34;436;0.176081;0.363501;1.000000;0.507596;34;436;1;decoy_263;Cc1ccc(OC(C)C)c(-c2cc(C)c(C#N)c(C)n2)c1
35;265;0.657625;0.317367;0.666667;0.507221;35;265;1;decoy_473;O=C([O-])c1ccc(-c2ccc3ccccc3n2)cc1Cl
36;97;0.643709;0.430471;0.500000;0.504639;36;97;1;decoy_250;Cc1cc(Nc2ccc(CCC(=O)[O-])cc2)cc(C)c1F
37;250;0.572052;0.358337;0.666667;0.504265;37;250;1;decoy_425;O=C([O-])c1cc(-c2ccccc2)nc2c(Cl)cccc12
38;243;0.513547;0.382704;0.666667;0.500603;38;243;1;decoy_485;CCc1cccc2c(C(=O)[O-])cc(-c3cccs3)nc12
39;20;0.550240;0.581755;0.333333;0.499350;39;20;1;decoy_452;Cc1ccc(C(C)C)cc1O[C@@H](C(=O)[O-])c1ccccc1
40;296;0.636639;0.310193;0.666667;0.498747;40;296;1;decoy_84;O=C(/C=C\c1coc2ccccc12)c1ccc([O-])c(F)c1
41;279;0.583293;0.337510;0.666667;0.497703;41;279;1;decoy_482;C=Cc1cc(F)ccc1-c1cc(C(=O)[O-])ccc1OCC
42;288;0.585344;0.335488;0.666667;0.497306;42;288;1;decoy_436;Cc1c(C(=O)[O-])ccc(-c2cccc(C3CC3)n2)c1Cl
43;18;0.208280;0.704838;0.400000;0.489247;43;18;1;decoy_299;Cc1cc(Nc2ccccc2OC(F)F)cc(C)c1N
44;167;0.621729;0.399932;0.500000;0.485402;44;167;1;decoy_424;Cc1csc2ccc(-c3cccc(C(=O)[O-])c3F)nc12
45;11;0.303746;0.726947;0.250000;0.478063;45;11;1;decoy_155;Cc1cnc(-c2cc3ccccc3[nH]c2=O)c2ccccc12
46;15;0.123827;0.762370;0.333333;0.474023;46;15;1;decoy_194;N#Cc1cc(Oc2ccc(Cl)c3ccccc23)ccn1
47;22;0.219293;0.705633;0.333333;0.472358;47;22;1;decoy_207;Cc1ccc2c(c1)[C@H](Oc1cccc(C)c1[N+](=O)[O-])CC2
48;241;0.541825;0.397445;0.500000;0.464307;48;241;1;decoy_387;Cc1c(F)cc(C(=O)[O-])cc1Nc1csc(Cl)c1
49;12;0.156524;0.775322;0.250000;0.463026;49;12;1;decoy_31;N#Cc1ccccc1Nc1ccc(Cl)c2cnccc12
50;432;0.508775;0.288103;0.666667;0.456840;50;432;1;decoy_128;CC1(C)CCNc2ccc(-c3ccc(C(=O)[O-])s3)cc21
51;445;0.517635;0.279053;0.666667;0.454982;51;445;1;decoy_356;Cc1ccc2cc(-c3ccc(C(=O)[O-])s3)cc(C)c2n1
52;10;0.130669;0.827141;0.166667;0.454881;52;10;1;decoy_346;N#Cc1ccc(F)c(F)c1Nc1cccc2cc[nH+]cc12
53;443;0.509434;0.282369;0.666667;0.454425;53;443;1;decoy_319;CC(C)(C)c1ccc(-c2cccc(/C=C/C(=O)[O-])c2)nc1
54;40;0.180476;0.686963;0.333333;0.454253;54;40;1;decoy_290;CC(=O)c1cc(C)ccc1O[C@H](CC#N)c1ccccc1
55;19;0.211671;0.724761;0.250000;0.454060;55;19;1;decoy_157;Cc1cccc2c1[C@@H](Oc1cccc(F)c1[N+](=O)[O-])CC2
56;17;0.146632;0.755528;0.250000;0.451646;56;17;1;decoy_141;N#Cc1ccc(Cl)c(Nc2cccc3ncccc23)c1
57;182;0.187202;0.559872;0.500000;0.448743;57;182;1;decoy_40;Cc1cocc1C(=O)N(C)[C@@H](C)c1cc2ccccc2o1
58;21;0.140892;0.750364;0.250000;0.447887;58;21;1;decoy_176;O=[N+]([O-])c1cc(O[C@@H]2CCCc3ccccc32)ccc1F
59;468;0.499615;0.272865;0.666667;0.447693;59;468;1;decoy_496;O=C([O-])c1cnc(/C=C/c2ccc3ccccc3c2)s1
60;28;0.224529;0.702155;0.250000;0.447102;60;28;1;decoy_109;COc1c(Cl)cccc1Nc1ccc2c(C)[nH]nc2c1
61;23;0.116133;0.755373;0.250000;0.443951;61;23;1;decoy_385;CC(=O)c1ccc(Nc2cccc3c(C#N)cccc23)cc1
62;47;0.121525;0.696808;0.333333;0.443945;62;47;1;decoy_222;Cc1cc(Cl)ccc1Oc1cccc(C(=O)CC#N)c1
63;33;0.209638;0.702605;0.250000;0.443582;63;33;1;decoy_80;COc1ccc(Nc2ccc(C)c3[nH]ncc23)c(Cl)c1
64;91;0.123852;0.649157;0.400000;0.443084;64;91;1;decoy_435;N#Cc1ccc2ccccc2c1Nc1cc(F)nc(F)c1
65;74;0.185883;0.650886;0.333333;0.439370;65;74;1;decoy_490;Cc1ccc(-c2cccc(C(=O)[O-])c2C)cc1OC(C)C
66;72;0.161176;0.660986;0.333333;0.437737;66;72;1;decoy_269;C[C@H](c1ccccc1[N+](=O)[O-])N1C[C@H](C)c2ccccc21
67;62;0.124027;0.679374;0.333333;0.436725;67;62;1;decoy_59;N#CCOc1ccccc1-c1cccc(-c2cccnc2)c1
68;16;0.166565;0.762937;0.166667;0.434963;68;16;1;decoy_41;Cc1cc(CO)cc(Nc2ccc(O)c3ccccc23)c1
69;76;0.132214;0.670894;0.333333;0.434956;69;76;1;decoy_378;Cc1ccc(C[C@@H](C#N)Sc2ccccc2C#N)cc1
70;80;0.140645;0.664499;0.333333;0.434186;70;80;1;decoy_233;N#CCc1cccnc1-c1ccc2oc3ccccc3c2c1
71;37;0.135219;0.722280;0.250000;0.433831;71;37;1;decoy_483;N#CCc1c[nH]c2cccc(-c3ccc4cccnc4c3)c12
72;73;0.336932;0.607180;0.250000;0.432464;72;73;1;decoy_444;O=C([O-])c1ccccc1-c1ccc(-c2cscn2)cc1
73;43;0.159838;0.703067;0.250000;0.431340;73;43;1;decoy_369;COc1cccc(C)c1Nc1ccc(Cl)c2cn[nH]c12
74;41;0.119622;0.722986;0.250000;0.430249;74;41;1;decoy_294;N#Cc1c(-c2ccnc3ccccc23)ncc2ccccc12
75;35;0.196630;0.711154;0.200000;0.429177;75;35;1;decoy_480;CC(C)c1ccccc1CNc1ccc(F)c(C(=O)[O-])c1
76;94;0.141475;0.651747;0.333333;0.428655;76;94;1;decoy_116;COc1ccnc(-c2cccc(-c3ccccc3)c2)c1C#N
77;104;0.177032;0.631348;0.333333;0.428365;77;104;1;decoy_101;CCc1cccc2c(/C=C\C(=O)c3ccc(C)o3)c[nH]c12
78;95;0.130499;0.655753;0.333333;0.427713;78;95;1;decoy_326;N#Cc1c(C(F)(F)F)ccnc1-c1ccc2[nH]ccc2c1
79;34;0.160619;0.726335;0.200000;0.427006;79;34;1;decoy_184;[O-]c1c(Cl)cc(Cl)cc1/C=N/c1ccccc1O
80;135;0.263775;0.579848;0.333333;0.426875;80;135;1;decoy_262;COc1cc(C)c(NC(=O)c2oc(C)cc2C)c(C)c1C
81;56;0.184082;0.677161;0.250000;0.425743;81;56;1;decoy_73;COc1ccc(C)cc1Nc1cc(Cl)cc2[nH]ncc12
82;51;0.146629;0.696193;0.250000;0.424944;82;51;1;decoy_195;Cc1nnc(-c2cccc(C3(C#N)CC3)c2)c2ccccc12
83;27;0.160317;0.742792;0.166667;0.424336;83;27;1;decoy_19;N#Cc1cc(F)cc(F)c1Nc1cncc2ccccc12
84;108;0.143071;0.641182;0.333333;0.424300;84;108;1;decoy_341;COc1ccc2cc(/C=C\c3ccncc3C#N)ccc2c1
85;107;0.123514;0.650281;0.333333;0.423505;85;107;1;decoy_405;CC[C@@H](C)c1ccccc1OC(=O)c1cccc(C#N)c1
86;48;0.107761;0.714469;0.250000;0.423451;86;48;1;decoy_100;Cc1cnc2cc(-c3cccc4[nH]c(=O)ccc34)ccc2c1
87;110;0.142147;0.639240;0.333333;0.423195;87;110;1;decoy_226;N#Cc1c(Cl)cccc1O[C@@H](c1cccnc1)C1CC1
88;70;0.212688;0.655078;0.250000;0.422957;88;70;1;decoy_249;Cc1ncc2ccccc2c1-c1ccc2cc[nH]c(=O)c2c1
89;119;0.160111;0.628224;0.333333;0.422728;89;119;1;decoy_78;CCOc1ccc(-c2ccccc2C2(C#N)CCC2)cn1
90;42;0.167657;0.709645;0.200000;0.421254;90;42;1;decoy_125;N#Cc1cccc(Cl)c1Nc1c(F)ccc2[nH]ccc12
91;65;0.158685;0.678044;0.250000;0.419791;91;65;1;decoy_255;N#CC1(c2cccc(Nc3cccc4cccnc34)c2)CC1
92;39;0.114962;0.735099;0.200000;0.419535;92;39;1;decoy_392;O=C([O-])c1ccc(Nc2cccc3sccc23)c(F)c1
93;132;0.156483;0.621941;0.333333;0.418994;93;132;1;decoy_325;COc1cc2cc[nH]c2cc1-c1cccc(Cl)c1C#N
94;66;0.139764;0.685315;0.250000;0.418333;94;66;1;decoy_243;COc1c(F)ccc(Nc2cccc3[nH]ccc23)c1OC
95;142;0.167687;0.613313;0.333333;0.417913;95;142;1;decoy_113;C=CC[C@H](Oc1nc(C)cc(C)c1C#N)c1ccccc1
