PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;2;1.000000;1.000000;1.000000;1.000000;1;2;1;ref_1;O=C([O-])c1cc2c(-c3cccc4ccccc34)cccc2[nH]1
2;8;0.855268;0.741733;1.000000;0.847597;2;8;1;decoy_501;Cc1ccc(C(C)C)c(OCc2ccccc2C(=O)[O-])c1
3;19;0.892489;0.682450;1.000000;0.830225;3;19;1;decoy_459;COc1ccc2c(c1)c(C(=O)[O-])c(C)n2C1CCCCC1
4;22;0.864442;0.698023;1.000000;0.830221;4;22;1;decoy_452;Cc1ccc(C(C)C)cc1O[C@@H](C(=O)[O-])c1ccccc1
5;20;0.831181;0.688033;1.000000;0.817410;5;20;1;decoy_416;CCOc1ccc(C)cc1-c1ccc(CCC(=O)[O-])cc1
6;106;0.657255;0.760753;1.000000;0.806653;6;106;1;decoy_286;CCCCOc1ccccc1/C=C/c1ccncc1C#N
7;33;0.666066;0.741023;1.000000;0.799977;7;33;1;decoy_313;N#Cc1ncccc1N[C@@H]1C[C@H]1c1ccc2ccccc2c1
8;64;0.799717;0.888416;0.666667;0.799717;8;64;1;decoy_62;CC[C@@H](C)C[C@H](CC)n1cc(C(=O)CN)c2ccccc21
9;21;0.613211;0.766980;1.000000;0.798444;9;21;1;decoy_488;CC(C)COCc1cccc(-c2ccccc2C(=O)[O-])c1
10;52;0.566724;0.770995;1.000000;0.788629;10;52;1;decoy_490;Cc1ccc(-c2cccc(C(=O)[O-])c2C)cc1OC(C)C
11;26;0.578745;0.763307;1.000000;0.788174;11;26;1;decoy_491;CC1(C)CCc2cc(-c3ccccc3C(=O)[O-])ccc2O1
12;54;0.681389;0.699215;1.000000;0.784994;12;54;1;decoy_475;Cc1cc(OC(C)C)c(-c2ccc(C(=O)[O-])cc2)cc1C
13;43;0.881221;0.586132;1.000000;0.784065;13;43;1;decoy_463;COc1ccc(-c2cccc(CC(=O)[O-])c2)cc1C(C)C
14;91;0.598652;0.742974;1.000000;0.784001;14;91;1;decoy_97;COc1ccc(-c2ccc3occc3c2)cc1NC(C)=O
15;5;0.802637;0.822744;0.666667;0.770894;15;5;1;decoy_482;C=Cc1cc(F)ccc1-c1cc(C(=O)[O-])ccc1OCC
16;121;0.655900;0.674635;1.000000;0.767561;16;121;1;decoy_489;CC(C)[C@@H](OCc1ccc(C(=O)[O-])cc1)c1ccccc1
17;3;0.761825;0.834680;0.666667;0.766062;17;3;1;decoy_439;Cc1c(F)cc(C(=O)[O-])cc1-c1ccc2cc[nH]c2c1C
18;246;0.582064;0.705944;1.000000;0.763191;18;246;1;decoy_48;Cc1c(COC(C)(C)C)cccc1NC(=O)c1ccoc1
19;136;0.606123;0.691487;1.000000;0.762700;19;136;1;decoy_55;Cc1cc(-c2cccc(Oc3ccccc3)c2)cnc1C#N
20;4;0.741968;0.833204;0.666667;0.760434;20;4;1;decoy_432;CCc1cccc(Oc2ccc(F)cc2/C=C/C(=O)[O-])c1
21;59;0.455062;0.768089;1.000000;0.759405;21;59;1;decoy_44;COc1cc(-c2c[nH]nc2C)ccc1Oc1ccccc1
22;18;0.713468;0.830666;0.666667;0.752167;22;18;1;decoy_387;Cc1c(F)cc(C(=O)[O-])cc1Nc1csc(Cl)c1
23;331;0.531798;0.709051;1.000000;0.752023;23;331;1;decoy_470;N#Cc1ccc(OCc2cc3ccccc3o2)c(Cl)c1
24;87;0.614513;0.656563;1.000000;0.749082;24;87;1;decoy_480;CC(C)c1ccccc1CNc1ccc(F)c(C(=O)[O-])c1
25;71;0.635417;0.641080;1.000000;0.747340;25;71;1;decoy_500;COc1cc2ccccc2cc1-c1cccc(C(=O)[O-])c1
26;6;0.829545;0.754760;0.666667;0.747028;26;6;1;decoy_443;C/C(=C\c1ccccc1)CNc1ccc(C)c(C(=O)[O-])c1
27;7;0.908218;0.710405;0.666667;0.746737;27;7;1;decoy_485;CCc1cccc2c(C(=O)[O-])cc(-c3cccs3)nc12
28;273;0.497214;0.715630;1.000000;0.746337;28;273;1;decoy_261;Cc1coc(C)c1C(=O)Nc1ccc(OC(C)(C)C)cc1
29;321;0.528497;0.697314;1.000000;0.745916;29;321;1;decoy_159;CCCCOc1ccc(NC(=O)c2ccc(C)o2)c(C)c1
30;11;0.897463;0.710142;0.666667;0.743930;30;11;1;decoy_465;O=C([O-])c1cc(/C=C/c2cccs2)nc2ccccc12
31;13;0.595737;0.864225;0.666667;0.737835;31;13;1;decoy_316;O=[N+]([O-])c1ccc(Oc2ccccc2)c(C(F)(F)F)c1
32;243;0.531737;0.676057;1.000000;0.737160;32;243;1;decoy_266;C=C(C)C(=O)Nc1cc2oc3ccccc3c2cc1OC
33;60;0.738116;0.782174;0.666667;0.736507;33;60;1;decoy_110;CCc1c[nH]c2ncnc(Oc3cccc(C(C)C)c3)c12
34;23;0.673131;0.814126;0.666667;0.734639;34;23;1;decoy_376;CCCc1nc(CC)c(C(=O)[O-])cc1-c1ccccc1F
35;160;0.645023;0.602660;1.000000;0.732453;35;160;1;decoy_433;COc1cc(C)c(-c2ccc(/C=C/C(=O)[O-])cc2)c(C)c1
36;32;0.878851;0.689683;0.666667;0.730070;36;32;1;decoy_309;CC(C)c1cccc(F)c1Nc1cccc(CC(=O)[O-])c1
37;168;0.330443;0.760117;1.000000;0.724663;37;168;1;decoy_104;N#Cc1ccc(-c2cc(C(F)(F)F)c3[nH]ccc3c2)cn1
38;148;0.725782;0.762155;0.666667;0.724416;38;148;1;decoy_306;CC(=O)c1c(O)cccc1O[C@@H](c1ccccc1)C(C)C
39;37;0.557147;0.843459;0.666667;0.718843;39;37;1;decoy_357;O=C([O-])c1cc(Cl)cc(Nc2ccc(Cl)s2)c1
40;17;0.774163;0.722556;0.666667;0.718691;40;17;1;decoy_436;Cc1c(C(=O)[O-])ccc(-c2cccc(C3CC3)n2)c1Cl
41;16;0.604704;0.806421;0.666667;0.714066;41;16;1;decoy_335;CC(C)c1ccc(Nc2cccc(/C=C/C(=O)[O-])c2)cc1
42;15;0.631191;0.791408;0.666667;0.713931;42;15;1;decoy_455;CCc1ccc(C(=O)[O-])cc1NCc1cc(C)cc(C)c1
43;12;0.772008;0.711722;0.666667;0.713277;43;12;1;decoy_411;CO/C=C/c1ccc(-c2cc(C(=O)[O-])cc(F)c2C)cc1
44;444;0.564059;0.601413;1.000000;0.711651;44;444;1;decoy_27;Cc1ccc(C(=O)Nc2cccc(OC3CCCC3)c2)o1
45;123;0.527284;0.838291;0.666667;0.709052;45;123;1;decoy_278;Oc1cc(O)cc(O[C@H]2CCCC[C@@H]2c2ccccc2)c1
46;25;0.750145;0.713745;0.666667;0.708721;46;25;1;decoy_319;CC(C)(C)c1ccc(-c2cccc(/C=C/C(=O)[O-])c2)nc1
47;31;0.682590;0.857865;0.500000;0.706687;47;31;1;decoy_365;Cc1ccccc1[C@@H](C)Oc1ccccc1C(=O)CC#N
48;24;0.734962;0.714182;0.666667;0.705123;48;24;1;decoy_366;O=C([O-])c1cc(-c2cccc(-c3cccnc3)c2)cs1
49;122;0.688319;0.738706;0.666667;0.704498;49;122;1;decoy_69;CC(C)OCc1cccc(Nc2cccc3c[nH]nc23)c1
50;422;0.450884;0.643385;1.000000;0.702244;50;422;1;decoy_56;COC(=O)Nc1cccc(-c2cc(C)c(C)cc2OC)c1
51;94;0.535609;0.803622;0.666667;0.695532;51;94;1;decoy_354;CCOc1ccc(C)c(Nc2ccccc2NC(C)=O)c1
52;55;0.630178;0.750111;0.666667;0.695095;52;55;1;decoy_425;O=C([O-])c1cc(-c2ccccc2)nc2c(Cl)cccc12
53;50;0.642460;0.742633;0.666667;0.694800;53;50;1;decoy_462;Cc1c[nH]c2ccc(-c3cc(F)c(F)c(C(=O)[O-])c3)cc12
54;1;0.633542;0.855643;0.500000;0.693425;54;1;1;ref_0;O=C([O-])c1ccccc1OCc1cccc2ccccc12
55;363;0.394662;0.652384;1.000000;0.692239;55;363;1;decoy_447;CCOC(=O)Nc1ccc(OCc2ccc(C)cc2)cc1
56;77;0.621823;0.747488;0.666667;0.691825;56;77;1;decoy_100;Cc1cnc2cc(-c3cccc4[nH]c(=O)ccc34)ccc2c1
57;9;0.500918;0.811907;0.666667;0.690588;57;9;1;decoy_476;Cc1ccc(Nc2c(F)cccc2Cl)cc1C(=O)[O-]
58;35;0.848622;0.603980;0.666667;0.683947;58;35;1;decoy_356;Cc1ccc2cc(-c3ccc(C(=O)[O-])s3)cc(C)c2n1
59;40;0.668045;0.702369;0.666667;0.683077;59;40;1;decoy_469;CCCSCc1cccc(-c2ncccc2C(=O)[O-])c1
60;28;0.720235;0.667796;0.666667;0.680567;60;28;1;decoy_474;O=C([O-])c1ccc(Cl)c(/N=C/C=C/c2ccccc2)c1
61;39;0.693267;0.682185;0.666667;0.680300;61;39;1;decoy_359;O=C([O-])C1(c2ccc(Nc3ccccc3Cl)cc2)CC1
62;75;0.714520;0.770235;0.500000;0.675235;62;75;1;decoy_22;O=C([O-])/C=C/c1ccc(-c2ccc(Cl)cc2Cl)o1
63;10;0.578050;0.837778;0.500000;0.671512;63;10;1;decoy_222;Cc1cc(Cl)ccc1Oc1cccc(C(=O)CC#N)c1
64;73;0.628142;0.693897;0.666667;0.669289;64;73;1;decoy_457;O=C([O-])c1cc(Nc2csc3ccccc23)ccc1F
65;58;0.844932;0.572207;0.666667;0.668726;65;58;1;decoy_128;CC1(C)CCNc2ccc(-c3ccc(C(=O)[O-])s3)cc21
66;107;0.857007;0.556937;0.666667;0.664874;66;107;1;decoy_363;O=C([O-])c1sccc1-c1cnccc1-c1ccccc1
67;141;0.865181;0.552179;0.666667;0.664776;67;141;1;decoy_307;CC[C@H](C)c1ccc(Nc2ccc(CC(=O)[O-])cc2)cc1
68;29;0.585836;0.817490;0.500000;0.664329;68;29;1;decoy_315;N#Cc1ccc2cccc(O[C@@H]3CCc4ccccc43)c2n1
69;36;0.573996;0.822502;0.500000;0.663625;69;36;1;decoy_497;CC[C@@H](C)c1ccc(-c2cccc(C(=O)[O-])c2OC)cc1
