PharmScreen Ranking

Pos;Molecule;HEleScore;HCavScore;HBondScore;SimilarityScore;Orig_Pos;Orig_Conf;Ref;Molecule_Name;Smiles
1;2;0.999997;0.999994;1.000000;0.999997;1;2;1;ref_1;NC(=O)c1cc(F)cc2[nH]c(-c3cc4c(o3)C[NH2+]CC4)nc12
2;15;0.444466;0.663822;0.875000;0.672336;2;15;1;decoy_350;O=C(Nc1ccncc1O)[C@@H]1C[C@H]1C1CC[NH2+]CC1
3;5;0.593903;0.703368;0.666667;0.664992;3;5;1;decoy_283;NC(=O)c1cccc(-c2ccc(O[C@@H]3CCC[NH2+]C3)nn2)c1
4;11;0.432309;0.732214;0.666667;0.637573;4;11;1;decoy_370;NS(=O)(=O)c1cccc(-c2ccc3c(c2)CC[NH2+]C3)n1
5;7;0.412234;0.776682;0.555556;0.619232;5;7;1;decoy_140;NC(=O)c1cccc(-c2ccc(OC3C[NH2+]C3)cn2)c1
6;1;0.458563;0.612460;0.750000;0.615248;6;1;1;ref_0;NC(=O)c1cccc2c1C(=O)N(C1CC[NH2+]CC1)C2
7;13;0.462284;0.710129;0.600000;0.615129;7;13;1;decoy_391;Nc1c(F)cccc1C(=O)N=S1(=O)CC[NH2+]CC1
8;6;0.481926;0.765310;0.500000;0.614871;8;6;1;decoy_223;NC(=O)Cc1nc(/C=C/C2CC[NH2+]CC2)nc2ccccc12
9;3;0.579430;0.840154;0.300000;0.612927;9;3;1;decoy_421;O=C(/C=C/c1ccccc1[N+](=O)[O-])N1CC[NH2+]CC1
10;21;0.559833;0.652939;0.555556;0.600448;10;21;1;decoy_15;N#Cc1ccc(N2CCC([C@H]3CC[NH2+]C3)CC2)nc1N
11;14;0.595021;0.668975;0.500000;0.599794;11;14;1;decoy_135;Nc1nccnc1C(=O)N1CCC([C@H]2CC[NH2+]C2)CC1
12;4;0.616274;0.811332;0.250000;0.594168;12;4;1;decoy_266;O=C(c1cc(-c2ccccc2O)[nH]n1)N1CC[NH2+]CC1
13;9;0.502772;0.751383;0.400000;0.583816;13;9;1;decoy_225;O=C1CN(C(=O)[C@@H]2C[C@H]2C2CC[NH2+]CC2)c2ccncc2N1
14;62;0.576999;0.584284;0.555556;0.573844;14;62;1;decoy_188;O=C(N=c1[nH]nc2ccccn12)N1[C@@H]2CC[NH2+]C[C@H]1CC2
15;34;0.491602;0.667947;0.500000;0.573477;15;34;1;decoy_159;C[C@@H]([NH3+])c1ccc(C(=O)N2CC[C@@](C)(C(N)=O)C2)cc1
16;24;0.367459;0.733610;0.500000;0.571989;16;24;1;decoy_195;N#Cc1ncc(-c2cc3c(nn2)CC[NH2+]C3)cc1F
17;8;0.388537;0.810148;0.363636;0.570792;17;8;1;decoy_253;O=C([O-])c1cc(F)cc(-c2ncc3c(n2)CC[NH2+]C3)c1
18;10;0.457057;0.770527;0.363636;0.570092;18;10;1;decoy_60;O=C([O-])c1cc(F)cc(-c2cc3c(nn2)C[NH2+]C3)c1
19;175;0.622407;0.471757;0.666667;0.567893;19;175;1;decoy_68;CC(C)[NH2+][C@H]1C[C@H]2C[C@@H](C1)N(C(=O)c1c[nH]c(C(N)=O)c1)C2
20;17;0.600407;0.678403;0.363636;0.564474;20;17;1;decoy_446;NC(=O)c1cccc(-c2nc(C3CC[NH2+]CC3)no2)c1
21;74;0.624499;0.563370;0.500000;0.559641;21;74;1;decoy_498;Nc1ccc(C(=O)N2[C@@H]3CC[NH2+]C[C@H]2CC3)c(O)c1
22;33;0.544531;0.664761;0.400000;0.555275;22;33;1;decoy_323;O=C(C1=NO[C@@]2(CC[NH2+]C2)C1)N1c2ccccc2C[C@@H]1CO
23;16;0.449681;0.738625;0.363636;0.553893;23;16;1;decoy_23;NS(=O)(=O)c1ccc(-c2cnc3c(c2)C[NH2+]CC3)cc1
24;44;0.669591;0.590130;0.400000;0.552956;24;44;1;decoy_44;C[C@@H]1CCN(C(=O)[C@H]2CCC[NH2+]CC2)[C@@H](C(N)=O)C1
25;52;0.424828;0.656495;0.500000;0.551630;25;52;1;decoy_431;NC(=O)[C@@H]1CCCCN1C(=O)c1ccc(CC[NH3+])cc1
26;89;0.610599;0.550137;0.500000;0.550211;26;89;1;decoy_452;CCc1c(C(=O)N2CC[C@@H]3C[NH2+]C[C@@H]32)[nH]c(C)c1C(N)=O
27;37;0.472193;0.688546;0.400000;0.547894;27;37;1;decoy_93;COc1cccc(C(=O)N2CC[C@H](CC[NH3+])C2)c1O
28;79;0.354080;0.648096;0.555556;0.546830;28;79;1;decoy_133;CC(C)[NH2+]C1CCN(C(=O)c2cc(C(N)=O)cn2C)CC1
29;119;0.669263;0.508327;0.500000;0.546063;29;119;1;decoy_180;CC[NH2+][C@H]1CCN(C(=O)c2cccnc2C(N)=O)C[C@@H]1C
