"Compound","Tanimoto_SC_ref0_AB","Tanimoto_SC_ref1_AB","Tversky_SC_ref0_AB","Tversky_SC_ref1_AB","Carbó_SC_ref0_AB","Carbó_SC_ref1_AB","Structure of SMILES [idcode]","SMILES"
"SC1","0.504247","0.459506","0.745317","0.663847","0.523681","0.502294","dcMHpAw`dDdLdLbdLTTt{URuR@@","Cc1cn[nH]c(=O)c1C(F)(F)F"
"SC10","0.48966","0.56694","0.652721","0.807583","0.49823","0.575608","dcmH@DxLbbTTRM\nmPLA@@@","Cc1nc2ccccc2c(=O)[nH]1"
"SC11","0.534152","0.448496","0.781154","0.670745","0.519511","0.448977","dmMH`NE`BLdTRbNJafiVjd@@","Cc1nc2ccsc2c(=O)[nH]1"
"SC12","0.560662","0.437676","0.762751","0.616254","0.533831","0.438661","dcmH`JgPBDiVudfFZjVih@@","Cc1nc2c(c(=O)[nH]1)CCSC2"
"SC13","0.607388","0.467319","0.850013","0.70746","0.63472","0.523962","dcmD@DxErJIQQHurzuLuU@@","Cc1nc2c(c(=O)[nH]1)COCC2"
"SC14","0.464231","0.551099","0.628139","0.799137","0.42239","0.507554","dk_H@DzPrJIQQHrnWVifjj@@","Cc1nc2c(c(=O)[nH]1)CCCN2C"
"SC15","0.710819","0.541901","0.909447","0.782201","0.64906","0.519025","dk]D@DpIRYem]ntvj`PH@@","Cn1c(=O)[nH]c(=O)c2ccccc21"
"SC16","0.710651","0.531829","0.899847","0.754877","0.650767","0.497828","dk]D`Agc@HRe[gTfeZjVjZ@@","Cn1c2c(c(=O)[nH]c1=O)CSCC2"
"SC17","0.70704","0.530381","0.899423","0.751464","0.700447","0.519529","dk]L@DpIMIfVuv{SZjYjh@@","Cn1c2c(c(=O)[nH]c1=O)COCC2"
"SC18","0.704132","0.504094","0.907315","0.769371","0.669726","0.491904","dg}D@DpIRYem][cmjifjh@@","Cn1c2c(c(=O)[nH]c1=O)CCCCC2"
"SC19","0.713412","0.520466","0.901672","0.76555","0.652165","0.495915","dg}D@DpIRYem][cmjifjd@@","Cn1c2c(c(=O)[nH]c1=O)CC=CCC2"
"SC2","0.673232","0.584564","0.902897","0.897288","0.651306","0.587318","dieH@DHLbbTQkfif`@","Cc1cc(C)c(=O)[nH]n1"
"SC20","0.693413","0.515229","0.893428","0.729492","0.643762","0.474913","dcmD@DpIRYemVy]ZjYj`@","Cn1c2c(c(=O)[nH]c1=O)CCC2"
"SC21","0.710862","0.522298","0.895154","0.763775","0.650437","0.511287","dk]D@DpIRYem]ntvjfZj@@","Cn1c2c(c(=O)[nH]c1=O)CCCC2"
"SC22","0.638155","0.648428","0.810445","0.843726","0.589589","0.636357","foAP`@DVAqIefW_hIQfhFAJ`DEH","CN/C=C1\C(=O)NC(=O)c2ccccc21"
"SC23","0.477622","0.550048","0.637265","0.798025","0.438806","0.507092","dcmH`FVPBDieugJEZYiZh@@","Cc1nc2c(C)scc2c(=O)[nH]1"
"SC24","0.490588","0.56216","0.648371","0.776488","0.449423","0.516691","dcoH@DzPrJIQQHutjuLtu@@","Cc1nc2c(ccn2C)c(=O)[nH]1"
"SC25","0.483912","0.55645","0.626764","0.784596","0.443007","0.515047","dcoH@Dk`rJIQQHutjuRuT`@","Cc1nn2c(C)ccc2c(=O)[nH]1"
"SC26","0.461356","0.528271","0.622436","0.758815","0.432716","0.492115","dcmH`NE`BLdTRbVITJuJuUH@@","Cc1nc2c(C)csc2c(=O)[nH]1"
"SC27","0.544431","0.39258","0.752112","0.521014","0.515523","0.40041","dmMH@DxDfVYZzUZfZj@@","Cc1nc2c(c(=O)[nH]1)CCC2"
"SC28","0.641605","0.517875","0.827528","0.811622","0.66387","0.605896","dk]H@DdLbbTTJRkeujX@J@@","Cc1cnc2cc(C)c(=O)[nH]c2c1"
"SC29","0.59919","0.537554","0.738536","0.737844","0.586472","0.566943","dg}H`BFpdLbbbRbTkRNpPLUI@@","Cc1cc(F)c2nc(C)c(=O)[nH]c2c1"
"SC3","0.710492","0.597921","0.901633","0.877037","0.700226","0.62189","deUH@DHDfVWkfifh@@","Cc1n[nH]c(=O)c(C)c1C"
"SC30","0.644097","0.545996","0.890416","0.891343","0.619441","0.608452","dk^H@DCHheEBdjy]Zf@B`@@","Cc1ccc2cc(C)c(=O)[nH]c2c1"
"SC31","0.625246","0.536174","0.898017","0.907342","0.63063","0.588426","dk^D@DBlbbTTJRkeujh@JHr@@","Cc1ccc2c(c1)NC(=O)[C@H](C)O2"
"SC32","0.618642","0.453983","0.818887","0.714752","0.632011","0.540407","dcoH@DzPrJIQPkUtjuMMT`@","Cc1cc2[nH]c(=O)c(C)cn2n1"
"SC33","0.575798","0.511132","0.784161","0.705294","0.609228","0.512137","dk]D@DXJrJIQPiInWVi`@h@@","Cc1ccc2[nH]c(=O)c(=O)[nH]c2c1"
"SC34","0.541297","0.391847","0.842092","0.680977","0.546234","0.423248","f`ia@@D@RYYeUvgEVLyjXJBJ`@@","Cc1ccc2c3c(c(=O)[nH]c2c1)CCCC3"
"SC35","0.615944","0.542828","0.902994","0.892771","0.565422","0.520403","f`i``@D@TdrsJkmNJlYsTpTDU@@@","Cc1ccc2c3c(c(=O)[nH]c2c1)COCC3"
"SC36","0.430023","0.528203","0.630601","0.837088","0.408717","0.515011","f`iQ@@DR@drsJkmNJlYsTpTDU@@@","Cc1ccc2c3c(c(=O)[nH]c2c1)CCCN3"
"SC37","0.60569","0.531419","0.894883","0.888062","0.559386","0.50543","f`iaB@A\@DIRmsjnQdeV]URu@E@@@","Cc1ccc2c3c(c(=O)[nH]c2c1)CSCC3"
"SC38","0.626214","0.554345","0.894007","0.916106","0.569687","0.529465","f`ia@@D@RYYeUvgEVLyj@@@J@@@","Cc1ccc2c(c1)[nH]c(=O)c1ccccc12"
"SC39","0.630719","0.56007","0.809142","0.826369","0.636032","0.617519","f`iQ@@DZ@drsJkmNJlYsT@@@T@@@","Cc1cnc2c(c1)[nH]c(=O)c1ccccc12"
"SC4","0.621586","0.522778","0.909815","0.894949","0.624518","0.552292","daEH@DHDfUzYjV`@","Cc1ccc(=O)[nH]n1"
