"Compound","Tanimoto_SC_ref0_DB","Tanimoto_SC_ref1_DB","Tversky_SC_ref0_DB","Tversky_SC_ref1_DB","Carbó_SC_ref0_DB","Carbó_SC_ref1_DB","DockingScore","Structure of SMILES [idcode]","SMILES"
"SC1","0.561625","0.566877","0.820564","0.789506","0.626378","0.647691","-8.367","dcMHpAw`dDdLdLbdLTTt{URuR@@","Cc1cn[nH]c(=O)c1C(F)(F)F"
"SC10","0.657051","0.560224","0.867998","0.85989","0.76046","0.685426","-9.362","dcmH@DxLbbTTRM\nmPLA@@@","Cc1nc2ccccc2c(=O)[nH]1"
"SC11","0.616023","0.515138","0.859386","0.850875","0.737194","0.642371","-9.599","dmMH`NE`BLdTRbNJafiVjd@@","Cc1nc2ccsc2c(=O)[nH]1"
"SC12","0.655288","0.556729","0.846905","0.850209","0.741154","0.65361","-9.39","dcmH`JgPBDiVudfFZjVih@@","Cc1nc2c(c(=O)[nH]1)CCSC2"
"SC13","0.64357","0.543846","0.839212","0.826998","0.734111","0.645082","-9.039","dcmD@DxErJIQQHurzuLuU@@","Cc1nc2c(c(=O)[nH]1)COCC2"
"SC14","0.691437","0.564467","0.879558","0.877148","0.773073","0.677744","-9.722","dk_H@DzPrJIQQHrnWVifjj@@","Cc1nc2c(c(=O)[nH]1)CCCN2C"
"SC15","0.711413","0.546913","0.905819","0.788544","0.769206","0.618975","-9.354","dk]D@DpIRYem]ntvj`PH@@","Cn1c(=O)[nH]c(=O)c2ccccc21"
"SC16","0.675854","0.520017","0.856326","0.762665","0.71082","0.57443","-9.082","dk]D`Agc@HRe[gTfeZjVjZ@@","Cn1c2c(c(=O)[nH]c1=O)CSCC2"
"SC17","0.683066","0.524793","0.871118","0.758683","0.733154","0.577645","-8.723","dk]L@DpIMIfVuv{SZjYjh@@","Cn1c2c(c(=O)[nH]c1=O)COCC2"
"SC18","0.438314","0.456032","0.626878","0.747241","0.526723","0.540866","-7.337","dg}D@DpIRYem][cmjifjh@@","Cn1c2c(c(=O)[nH]c1=O)CCCCC2"
"SC19","0.460859","0.47955","0.631157","0.752683","0.540488","0.561368","-7.817","dg}D@DpIRYem][cmjifjd@@","Cn1c2c(c(=O)[nH]c1=O)CC=CCC2"
"SC2","0.656563","0.560886","0.912429","0.905508","0.742488","0.655247","-8.372","dieH@DHLbbTQkfif`@","Cc1cc(C)c(=O)[nH]n1"
"SC20","0.674957","0.510603","0.859852","0.752719","0.727339","0.571678","-9.185","dcmD@DpIRYemVy]ZjYj`@","Cn1c2c(c(=O)[nH]c1=O)CCC2"
"SC21","0.694419","0.520116","0.872084","0.784261","0.751515","0.600028","-9.255","dk]D@DpIRYem]ntvjfZj@@","Cn1c2c(c(=O)[nH]c1=O)CCCC2"
"SC22","0.627335","0.527046","0.8079","0.711009","0.700638","0.60866","-9.137","foAP`@DVAqIefW_hIQfhFAJ`DEH","CN/C=C1\C(=O)NC(=O)c2ccccc21"
"SC23","0.664801","0.540366","0.871907","0.842702","0.765622","0.65208","-9.267","dcmH`FVPBDieugJEZYiZh@@","Cc1nc2c(C)scc2c(=O)[nH]1"
