smiles,origin,molecular_morgan|ref_0,molecular_morgan|ref_1,MACCSkeys|ref_0,MACCSkeys|ref_1,2D_pharmacophore|ref_0,2D_pharmacophore|ref_1,3D_pharmacophore_generated_conformers|ref_0,3D_pharmacophore_generated_conformers|ref_1,3D_shape_generated_conformers|ref_0,3D_shape_generated_conformers|ref_1,chemogenomics|ref_0,chemogenomics|ref_1
Cc1ccc2sc(COC3=C[C@@](O)(C(=O)[O-])C[C@@H](O)[C@@H]3O)cc2c1,ref_0,,328.0,,1.0,,43.0,,80.0,,130.5,,1.0
COc1ccc(C[C@@H]2C(=O)[C@@H](O)[C@H](O)C[C@]2(O)C(=O)[O-])cc1,ref_1,28.0,,1.0,,93.0,,28.0,,253.5,,4.0,
C[C@@H](O)[C@@H]1CN(C(=O)C(=O)Nc2ccccc2CC(=O)O)CCO1,decoy,123.0,454.0,446.0,392.5,82.0,101.0,165.0,136.0,283.0,174.5,454.0,381.0
COc1ccc(OC)c(C2=NO[C@@H](C(=O)N[C@@H]3C[C@H](O)[C@H](O)C3)C2)c1,decoy,460.5,454.0,279.0,157.0,465.0,479.0,299.5,153.5,113.0,451.5,86.0,137.5
COc1cc(-c2nn[nH]n2)ccc1C(=O)N1CC[C@@H](O)[C@@H](O)C1,decoy,357.5,454.0,345.0,354.0,487.0,493.0,358.5,353.0,314.0,117.5,311.0,172.0
CCc1cnc(CNS(=O)(=O)c2ccc(OCC(=O)O)cc2)[nH]1,decoy,239.0,454.0,250.0,453.0,392.0,315.0,366.0,453.5,494.0,420.0,225.0,342.5
COc1ccc(NC(=O)CN2CCC[C@H]2C(=O)NCC(=O)O)cc1,decoy,460.5,454.0,218.5,116.0,276.0,269.0,400.0,194.0,290.0,94.0,198.5,498.0
Cn1c(CO)nc2cc(C(=O)N3CCC(O)(C(=O)O)CC3)ccc21,decoy,51.0,454.0,30.0,191.0,178.0,320.0,83.0,311.5,141.0,152.0,300.5,95.0
CC[C@H]1CCc2nc(O)c(C(=O)N[C@@H](CO)C(=O)O)cc2C1,decoy,123.0,454.0,96.0,141.0,272.0,190.0,18.0,455.0,323.0,171.5,265.0,75.0
CC1(C)[C@H](O)C[C@H]1NCc1ccc(OCC(=O)O)c([N+](=O)[O-])c1,decoy,177.5,454.0,294.5,124.5,327.0,303.0,373.5,413.0,333.0,314.0,26.0,18.0
COc1c(Nc2ccc(OCCCO)cc2)ncnc1C(=O)O,decoy,357.5,454.0,72.0,103.0,431.0,464.0,337.0,226.0,19.0,284.5,217.0,396.5
COc1ccc(S(=O)(=O)Nc2cnc(O)cc2C)cc1CC(=O)O,decoy,177.5,454.0,437.5,386.5,239.0,352.0,283.0,457.5,257.5,247.0,401.0,193.0
COc1cccc([C@H](O)CNC2CC(CNC(=O)C(N)=O)C2)c1,decoy,484.0,454.0,307.5,20.5,498.0,484.0,376.5,379.0,338.5,317.5,309.5,348.5
O=C(NCCO)c1ccc(OCc2cccc(C(=O)O)n2)cc1,decoy,123.0,454.0,185.0,211.5,232.0,345.0,303.0,387.5,150.0,317.5,357.0,384.0
O=C(C1=C[C@@H](O)[C@@H](O)[C@H](O)C1)N(Cc1ccccc1)Cc1cnc[nH]1,decoy,177.5,454.0,17.5,285.5,472.0,443.0,37.0,63.5,302.5,79.5,48.0,33.0
CC(CO)(CO)NS(=O)(=O)c1ccc(OC(=O)C(C)(C)C)cc1,decoy,473.0,447.0,253.5,281.0,352.0,272.0,320.0,74.5,130.0,128.5,124.0,331.0
Cc1noc2nc(C(C)C)cc(C(=O)N[C@](C)(CO)C(=O)O)c12,decoy,44.5,478.0,127.5,456.0,406.0,392.0,334.0,467.0,338.5,92.0,378.0,114.0
O=C(NC1(C(=O)O)CCSCC1)c1cccc2oc(O)nc12,decoy,44.5,474.0,61.5,357.0,274.0,289.0,301.5,390.0,16.0,167.5,384.0,158.0
COC[C@H](O)CN1C[C@H](O)[C@H](NC(=O)c2cccc3oc(C)nc23)C1,decoy,42.5,496.0,70.5,361.5,461.0,463.0,32.0,475.0,166.5,370.5,246.0,117.0
CN(CC(=O)O)[C@@H]1CN(C(=O)c2cc(O)nc3ccccc23)C[C@H]1O,decoy,42.5,470.0,164.0,281.0,216.0,344.0,84.5,92.0,200.5,192.5,210.0,71.5
COc1ccc([C@@H](CN2CCCC2)N=c2[nH]c(=N)[nH]c(=N)[nH]2)cc1,decoy,492.5,444.0,498.0,493.0,499.0,499.0,455.0,372.5,498.0,487.5,259.0,457.0
COc1ccc(NC(=O)N2CCC(O)(CO)CC2)c([N+](=O)[O-])c1,decoy,492.5,444.0,405.5,247.0,225.0,287.0,465.0,292.5,429.0,381.0,138.0,265.5
COc1cccc([C@H](O)C(=O)Nc2ccc(C)c(S(N)(=O)=O)c2)c1,decoy,439.5,444.0,471.5,400.0,356.0,362.0,249.5,445.0,11.0,439.5,472.0,466.0
COc1ccc(CN(CCO)c2nc(N)nc(Cl)c2N)cc1,decoy,439.5,444.0,495.0,474.0,497.0,498.0,139.0,2.0,413.0,20.0,41.0,434.5
COC(=O)[C@H]1CC[C@@H](C(=O)O)CN1C(=O)c1ccc(O)cc1O,decoy,188.5,444.0,319.5,51.5,5.0,91.0,254.0,31.0,477.5,49.5,213.5,126.0
C[C@H]1C(=O)Nc2cc(C(=O)NC3(C(=O)O)CC(CO)C3)ccc2N1C,decoy,274.0,439.5,109.5,224.5,231.0,157.0,204.0,332.5,119.5,385.0,224.0,119.5
COc1ccc(O)c(C(=O)Nc2nc3n(c2C(=O)O)CCC3)c1,decoy,393.0,439.5,264.0,357.0,280.0,378.0,168.0,272.0,45.0,82.5,453.0,464.0
CCOc1nc2ccc(C(=O)N[C@]3(C(=O)O)C[C@H](O)C3)cc2[nH]1,decoy,49.0,439.5,9.0,116.0,183.0,200.0,120.0,277.5,51.0,234.0,244.5,59.0
CC[C@@H](O)Cn1cc(C(=O)Nc2cccc(CC(=O)O)c2)nn1,decoy,111.0,439.5,468.0,489.0,453.0,490.0,481.0,487.0,37.0,469.5,436.5,342.5
Cc1nn(C)cc1[C@@H](NCc1cccc2nc(O)oc12)C(=O)O,decoy,40.0,492.0,256.5,443.0,481.0,473.0,136.0,495.0,272.0,9.5,450.0,255.0
Cc1ccc(N)cc1S(=O)(=O)N1CCC([C@H](O)C(=O)O)CC1,decoy,134.0,434.5,487.5,476.0,195.0,253.0,101.0,157.5,236.0,35.0,345.0,110.0
Cc1ccc(S(=O)(=O)N2C[C@@H](O)[C@@H](CN)C2)cc1C(=O)O,decoy,134.0,434.5,300.0,417.0,366.0,331.0,29.0,288.5,318.5,145.0,79.0,16.0
COc1cc(CNC2(C(=O)O)CC2)cc(OC)c1OCC(N)=O,decoy,401.0,434.5,43.5,5.0,378.0,338.0,100.0,201.0,432.5,367.0,207.5,100.5
CC(C)Oc1cncc(S(=O)(=O)N[C@@](C)(CO)C(=O)O)c1,decoy,91.5,434.5,300.0,378.0,371.0,235.0,148.0,270.5,283.0,258.5,219.0,161.0
