smiles,origin,molecular_morgan|ref_0,molecular_morgan|ref_1,MACCSkeys|ref_0,MACCSkeys|ref_1,2D_pharmacophore|ref_0,2D_pharmacophore|ref_1,3D_pharmacophore_generated_conformers|ref_0,3D_pharmacophore_generated_conformers|ref_1,3D_shape_generated_conformers|ref_0,3D_shape_generated_conformers|ref_1,chemogenomics|ref_0,chemogenomics|ref_1
CS(=O)(=O)c1cccc(-c2cc(N3CC[C@H](c4cc(F)c(F)cc4F)[C@@H](N)C3)ncn2)c1,ref_0,,4.0,,1.0,,17.0,,93.0,,404.5,,1.0
CS(=O)(=O)c1ccc2c(c1)nc1n2C[C@H](N)[C@@H](c2cc(F)c(F)cc2F)C1,ref_1,4.0,,12.0,,122.0,,171.0,,178.0,,1.0,
COC(=O)c1cc(OC)cc(-c2ccc(S(C)(=O)=O)cc2C(F)(F)F)n1,decoy,397.5,314.0,471.0,344.5,277.0,152.0,258.0,359.5,454.0,410.0,14.0,170.0
Cc1cnc2c(c1)N(S(=O)(=O)c1cc(Br)c(C#N)cc1F)CCO2,decoy,397.5,261.0,255.5,259.5,379.0,157.0,379.5,54.0,420.5,287.0,71.0,224.5
C[C@H]1c2nnc(C3CCCC3)n2CCN1C(=O)c1ccc(Cl)c(S(C)(=O)=O)c1,decoy,450.0,136.5,103.5,38.5,479.0,483.0,83.5,108.0,151.5,30.5,241.0,383.0
Cc1ccc(S(=O)(=O)N2CCN(c3ccc(C(F)(F)F)c(C#N)n3)CC2)cc1,decoy,397.5,407.0,15.0,52.0,98.0,138.0,444.5,264.0,275.5,273.5,205.0,304.5
N#CC1(c2ccc(N3CC[C@H](S(=O)(=O)c4ccccc4)C3)nc2)CCOCC1,decoy,389.0,436.0,144.0,219.0,67.0,108.0,176.0,229.5,26.5,67.5,396.0,127.5
COc1cccc(O[C@@H]2CCN(S(=O)(=O)c3cc(Cl)cc(Cl)c3O)C2)n1,decoy,389.0,249.0,308.5,301.5,301.0,184.0,280.5,377.0,267.0,203.5,156.0,266.0
CC[C@@H]1CN(C)c2ccccc2CN1S(=O)(=O)c1ccc(C(=O)O)c(F)c1,decoy,389.0,249.0,240.0,274.5,473.0,401.0,439.0,187.0,440.0,414.5,142.0,307.0
Cc1nc(C(C)(C)C)nc(O)c1C(=O)N1CCN(c2nc(F)c(F)cc2F)CC1,decoy,389.0,346.5,364.0,456.5,65.0,161.0,434.0,477.0,103.0,226.0,123.0,248.0
CN(c1ccccc1NC1CCN(c2cnc3ccccc3n2)CC1)S(C)(=O)=O,decoy,389.0,249.0,25.0,50.0,61.0,231.0,206.0,139.5,262.0,385.5,409.0,301.5
COC(=O)c1ccc(-c2cnc(Cl)n2[C@@H]2CCCCO2)cc1S(C)(=O)=O,decoy,389.0,249.0,195.5,140.5,409.0,249.0,157.0,164.0,485.0,456.5,279.0,399.0
NC(=O)c1cc(F)c(Cl)nc1N1CCC2(CC1)C(=O)NC[C@@H]2c1ccccc1,decoy,389.0,346.5,266.5,336.0,176.0,194.0,403.0,394.0,382.5,330.5,271.0,384.0
CCOc1ncc(-c2cccc(S(=O)(=O)N3CCCC3)c2)cc1C(=O)OC,decoy,389.0,436.0,379.0,330.0,378.0,268.0,147.0,418.0,414.5,465.5,402.0,256.0
CS(=O)(=O)N1CCC(=NNc2ccc(-c3cccc(C(F)(F)F)c3)nn2)CC1,decoy,389.0,473.0,41.5,188.0,391.0,485.0,452.0,221.0,101.0,471.0,260.0,87.0
CC(=O)Nc1ccc(S(=O)(=O)N2CCN(c3ncccc3C)CC2)c(Cl)c1,decoy,389.0,300.5,47.5,122.0,200.0,238.0,346.0,386.0,160.5,268.0,426.0,471.0
CC[C@H]1CO[C@H](CC)CN1C(=O)c1cccc(-c2nn[nH]n2)c1Br,decoy,389.0,346.5,489.0,419.5,469.0,484.0,400.5,378.0,474.0,313.5,372.0,487.0
COc1ccc(CN2CC[C@H](N(c3ccncn3)[C@H]3CC[C@H](N)CC3)CC2=O)cc1,decoy,378.0,330.5,407.0,484.0,111.0,247.0,42.5,171.0,287.5,404.5,440.0,465.0
C[C@H]1CCC[C@]1(O)Cn1c(Cc2ccc(Cl)cc2)nnc1N1CC[C@H](N)C1,decoy,378.0,169.0,377.0,436.0,327.0,300.0,321.0,296.0,450.5,473.5,363.0,379.0
CCn1[nH]c(=NC(=O)N2CCN(c3ccc(C#N)cc3Cl)CC2)cc1C1CC1,decoy,378.0,287.5,375.0,439.5,232.0,151.0,258.0,373.0,10.0,320.5,414.0,490.0
N#Cc1cccc(S(=O)(=O)N2CCC(F)(F)[C@]3(CCN(c4ccccn4)C3)C2)c1,decoy,378.0,463.0,67.5,77.5,271.0,316.0,62.0,84.0,126.0,107.5,370.0,183.5
C[C@H](c1ccncc1)N1CCC(Nc2cc(N3CCC(C)(O)CC3)ncn2)CC1,decoy,378.0,480.5,447.0,496.0,196.0,370.0,413.0,170.0,119.0,263.0,480.0,344.0
CN(C)c1ccc([C@H]2CCCN2C(=O)c2ccc(-c3ccccc3)nc2O)nn1,decoy,378.0,420.5,468.5,458.5,292.0,386.0,379.5,269.0,257.0,382.5,485.0,455.0
CS(=O)(=O)c1cccc(N2CCN(Cc3cnc(-c4cccnc4)o3)CC2)c1,decoy,378.0,420.5,130.0,243.0,12.0,75.0,56.0,87.0,6.0,388.5,280.0,40.0
CS(=O)(=O)c1ccc(-c2nnc(Cc3ccccc3F)o2)cc1N1CCOCC1,decoy,378.0,287.5,97.5,169.0,283.0,87.0,167.0,95.0,437.0,449.5,203.0,110.5
CCn1cc(C(=O)N2CCN(c3snc(C)c3C#N)CC2)c(-c2ccccc2)n1,decoy,378.0,463.0,447.0,469.5,203.0,350.0,278.0,325.5,355.0,370.5,473.0,476.0
Cc1c(C)c2c(c(C)c1O)CC[C@](C)(C(=O)N1CCN(c3cc(F)ncn3)CC1)O2,decoy,372.5,448.5,434.0,468.0,155.0,311.0,482.0,494.0,60.0,239.5,377.0,227.0
CCn1ncc2c(C(=O)N3CCN(c4cnccn4)CC3)cc(-c3ccccc3)nc21,decoy,372.5,490.0,464.0,454.5,175.0,232.0,392.0,471.0,332.5,445.0,491.0,415.5
CS(=O)(=O)c1ccc(N2C(=O)N[C@H](c3ccc(Cl)cc3Cl)C2=O)cc1,decoy,437.0,133.0,285.0,178.0,498.0,498.0,436.0,114.5,160.5,41.0,53.0,208.0
O=[N+]([O-])c1cc(F)c(Br)cc1S(=O)(=O)N1CCc2ccccc21,decoy,400.0,133.0,377.0,291.5,491.0,472.0,495.0,251.0,480.0,394.0,117.0,199.0
CN1C(=O)CN(S(=O)(=O)c2cc(Br)cc(C#N)c2)c2ccccc21,decoy,418.0,133.0,319.0,212.0,488.0,478.0,60.5,105.0,466.5,488.0,138.0,249.5
O=C1c2ccc(Br)cc2S(=O)(=O)N1Cc1cnc2ccccc2n1,decoy,476.0,129.5,414.5,228.5,211.0,156.0,337.0,177.0,352.5,84.0,389.5,479.0
CS(=O)(=O)c1cc(S(=O)(=O)N2CC[C@@H](c3ccco3)C2)ccc1Cl,decoy,415.5,129.5,253.0,262.0,495.0,499.0,126.0,371.0,365.0,278.0,118.0,164.0
COCc1cc(=NCc2ccc(S(C)(=O)=O)c(Cl)c2)[nH]c(C(C)(C)C)n1,decoy,397.5,129.5,135.0,199.5,143.0,79.0,468.0,460.0,300.5,452.0,172.0,478.0
CS(=O)(=O)c1ccc2nc(-c3ccc(I)cc3O)[nH]c2c1,decoy,415.5,129.5,383.0,88.5,330.0,68.0,121.0,42.0,151.5,5.0,16.0,244.0
COC(=O)c1cc(Cl)cc(Cl)c1S(=O)(=O)N1C[C@@H](C)Oc2ncccc21,decoy,413.0,124.5,421.0,293.5,402.0,162.0,290.5,306.0,489.5,417.5,201.0,401.0
Cc1cnc(S(C)(=O)=O)nc1C(=O)N1CCc2c(Cl)cc(Cl)cc2[C@H]1C,decoy,434.5,124.5,199.5,143.5,401.0,408.0,255.0,120.5,442.5,424.0,101.0,276.5
CS(=O)(=O)c1cccc(Cn2nnc(-c3ccc(Br)cc3)n2)c1,decoy,371.0,253.5,170.0,37.0,474.0,473.0,7.0,28.0,317.0,360.5,224.0,92.0
CS(=O)(=O)Nc1cncc(C(=O)N2CCCC[C@H]2c2ccc(F)cc2F)c1,decoy,434.5,124.5,90.5,166.0,386.0,176.0,418.0,202.0,411.5,130.0,59.0,90.0
CCn1nnc2c1CCN(S(=O)(=O)c1ccc(Cl)c(Cl)c1)[C@@H]2COC,decoy,413.0,124.5,237.0,236.5,476.0,462.0,386.0,72.0,426.5,282.5,196.0,413.5
COC(=O)c1cc(S(=O)(=O)N2CCc3cc(Cl)cc(Cl)c3[C@H]2C)on1,decoy,434.5,124.5,391.0,283.5,480.0,490.0,473.0,159.0,216.0,61.0,190.0,435.0
Cc1c(Br)cc(S(=O)(=O)N2CCn3cccc3[C@H]2C)cc1[N+](=O)[O-],decoy,448.0,124.5,273.5,214.0,496.0,496.0,446.0,309.0,387.5,336.0,164.0,312.0
CS(=O)(=O)c1ccc(Cl)nc1N1CCC(Oc2cnc3ccccc3n2)CC1,decoy,367.0,202.0,85.0,103.0,174.0,301.0,188.5,369.0,346.0,346.0,309.0,251.5
O=S(=O)(c1ccccc1)N1C[C@H]2CN(c3nc(Cl)nc4ccoc34)C[C@@H]2C1,decoy,367.0,241.5,199.5,143.5,67.0,209.0,469.0,398.5,267.0,458.0,211.5,242.0
