smiles,origin,molecular_morgan|ref_0,molecular_morgan|ref_1,MACCSkeys|ref_0,MACCSkeys|ref_1,2D_pharmacophore|ref_0,2D_pharmacophore|ref_1,3D_pharmacophore_generated_conformers|ref_0,3D_pharmacophore_generated_conformers|ref_1,3D_shape_generated_conformers|ref_0,3D_shape_generated_conformers|ref_1,chemogenomics|ref_0,chemogenomics|ref_1
NC([NH3+])c1cc2c(I)cccc2s1,ref_0,,94.0,,177.0,,480.0,,2.0,,417.5,,2.0
NC([NH3+])c1ccc2nc(-c3ccccc3O)[nH]c2c1,ref_1,292.5,,15.0,,232.0,,3.0,,244.5,,7.0,
COCc1nc(C)cc(=N[C@@H](CO)c2ccccc2C)[nH]1,decoy,447.5,124.0,468.0,358.0,259.0,120.0,377.0,409.0,451.0,423.5,434.0,378.0
N[C@@H]1Cc2ccccc2N(c2cncc3cc(CO)oc23)C1,decoy,376.5,238.0,373.0,84.5,369.0,147.0,118.0,214.0,296.0,419.5,184.0,282.5
O=c1cc2c(n[nH]1)CCN(Cc1cc3ccccc3o1)C2,decoy,376.5,400.0,474.0,367.0,409.0,386.0,290.5,333.5,161.5,88.5,379.5,367.0
Cc1cc(C)nc(N[C@@H]2Cc3cccc(O)c3C2)n1,decoy,419.0,122.5,304.5,40.5,233.0,200.0,494.0,481.0,207.0,410.0,457.0,459.0
O=S1(=O)Cc2cccc(-c3cncc(O)c3)c2C1,decoy,460.0,122.5,486.0,320.5,27.0,455.0,468.0,425.0,30.0,444.5,387.0,350.0
NCC1(F)CCN(Cc2cc3ccccc3nc2O)CC1,decoy,367.5,158.5,383.5,235.0,95.0,113.0,65.0,215.0,470.5,268.0,74.0,30.0
Cc1cc2ccccc2nc1-n1nc(O)c(CCN)c1C,decoy,367.5,137.0,401.5,64.0,470.0,215.0,352.0,67.5,320.5,41.5,86.0,94.0
O=C1NCCCN1N=Cc1ccc(F)c2cccnc12,decoy,367.5,477.0,421.5,441.5,343.0,410.0,254.0,373.0,157.0,142.5,444.0,403.0
COc1nc(-n2nc(CN)cc2C)cc2cc(F)ccc12,decoy,367.5,477.0,235.0,83.0,468.0,288.0,334.5,211.0,103.5,100.0,267.5,237.5
NC(=O)[C@@H]1CCN(Cc2ccc3cccc(Cl)c3n2)C1,decoy,367.5,477.0,218.0,385.5,35.0,423.0,30.5,164.0,211.5,273.5,30.0,22.0
CNCc1cccc(-c2ncnc3onc(C)c23)c1F,decoy,367.5,158.5,218.0,231.0,382.0,148.0,296.0,376.0,186.5,354.5,497.5,491.0
CC1=NN(c2nc3ccccc3cc2C)C(=O)[C@H]1CCO,decoy,367.5,262.5,472.0,183.5,171.0,298.0,241.5,356.0,109.5,138.0,304.0,325.0
C[C@@H](N)c1cn([C@H]2CCN(c3ccccc3Cl)C2=O)nn1,decoy,367.5,352.5,352.0,288.5,408.0,445.0,458.0,385.5,432.5,76.0,294.0,234.0
Cc1cc(C(=O)N2CC(C(=O)O)C2)c2ccc(F)cc2n1,decoy,367.5,352.5,421.5,470.0,463.0,465.0,129.0,300.0,196.0,482.0,242.0,364.0
