smiles,origin,molecular_morgan|ref_0,molecular_morgan|ref_1,MACCSkeys|ref_0,MACCSkeys|ref_1,2D_pharmacophore|ref_0,2D_pharmacophore|ref_1,3D_pharmacophore_generated_conformers|ref_0,3D_pharmacophore_generated_conformers|ref_1,3D_shape_generated_conformers|ref_0,3D_shape_generated_conformers|ref_1,chemogenomics|ref_0,chemogenomics|ref_1
CC#C[C@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc([S@](=N)(=O)C(F)(F)F)cc1,ref_0,,1.0,,11.0,,53.0,,2.0,,6.5,,3.0
C[C@](O)(c1cnc(-c2ccc(S(=O)(=O)c3ccc(N)nc3)s2)c(Cl)c1)C(F)(F)F,ref_1,4.0,,201.0,,98.0,,1.0,,1.0,,1.0,
COc1ccccc1CN(C)c1nnc([C@H](C)NS(C)(=O)=O)n1CC[C@]1(O)C[C@H]2CC[C@H]1C2,decoy,425.5,316.0,150.0,186.0,272.0,174.0,501.0,501.0,500.0,500.0,434.0,471.5
CC(C)NC(=O)c1nnc(N2C[C@H]3CN(C(=O)OC(C)(C)C)C[C@H]3C2)n1CCc1cccnc1,decoy,425.5,199.5,350.0,377.0,269.0,412.0,358.5,233.5,265.5,286.0,480.0,479.0
CC[C@@H](C)c1nnc(N2CCN([C@@H](C(N)=O)c3ccccc3)CC2)n1CCc1nccnc1C,decoy,425.5,316.0,330.0,472.0,93.0,229.0,329.5,400.0,403.0,363.0,414.5,406.0
Cc1cc(C)n(Cc2nnc(N3CCC(C(N)=O)CC3)n2C[C@](C)(O)c2ccccc2Cl)n1,decoy,425.5,162.5,299.5,249.5,283.0,283.0,109.0,144.0,389.5,458.0,182.0,455.0
Cc1ccccc1[C@H]1CCCN1c1nnc([C@H](C)NS(C)(=O)=O)n1CCC1(O)CCOCC1,decoy,425.5,316.0,118.0,131.5,285.0,148.0,444.0,374.0,485.0,445.0,423.0,322.0
CCc1ccccc1OCc1nnc(N2CCC(C(=O)NC)CC2)n1CC1(S(C)(=O)=O)CCC1,decoy,425.5,383.5,189.0,157.5,307.0,260.0,65.0,86.0,423.0,437.5,493.0,417.0
CON(C)C(=O)c1ccc(NC(=O)c2ccc(S(=O)(=O)N3C[C@@H](C)O[C@H](C)C3)cc2)cc1,decoy,421.0,482.5,247.5,254.5,497.0,492.0,280.0,484.0,323.0,317.5,253.0,64.0
Cc1nc2ccncc2cc1C(=O)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)c1ccc(OC(F)F)cn1)C2,decoy,419.5,302.0,421.0,430.0,49.0,110.0,407.5,356.5,308.0,282.0,216.5,337.5
