smiles,origin,molecular_morgan|ref_0,molecular_morgan|ref_1,MACCSkeys|ref_0,MACCSkeys|ref_1,2D_pharmacophore|ref_0,2D_pharmacophore|ref_1,3D_pharmacophore_generated_conformers|ref_0,3D_pharmacophore_generated_conformers|ref_1,3D_shape_generated_conformers|ref_0,3D_shape_generated_conformers|ref_1,chemogenomics|ref_0,chemogenomics|ref_1
COC[C@@H](NC(=O)N1CC(=O)Nc2cc(OC)cnc21)c1ccc(OC(F)(F)F)c(F)c1,ref_0,,269.0,,78.0,,169.0,,48.0,,65.0,,25.0
CC[C@@H](NC(=O)c1cnn2cc(C)cnc12)c1ccc(OC(F)(F)F)cc1,ref_1,321.0,,185.0,,269.0,,45.0,,5.0,,64.0,
CC(=O)c1cc(COC(=O)[C@H](C)Cc2ccc(OC(F)(F)F)cc2)on1,decoy,344.5,250.5,447.0,341.0,217.0,175.0,103.0,89.0,269.0,112.0,171.5,243.0
CN(c1ccccc1)c1ccc(C(=O)N[C@@H](C[S@@+](C)[O-])c2ccccc2)cn1,decoy,469.5,250.5,391.5,321.5,231.0,130.0,438.0,165.0,429.0,481.0,456.5,494.0
COc1ccccc1[C@@H](CC(C)C)NC(=O)c1ccc(NS(C)(=O)=O)nc1,decoy,426.0,250.5,322.5,243.0,132.0,48.0,405.0,118.0,441.5,440.5,299.0,359.0
COC(=O)c1cccc(C[S@+]([O-])[C@H](C)c2ccc(OC(F)(F)F)cc2)n1,decoy,289.0,250.5,420.0,341.0,239.0,135.0,180.5,479.0,105.0,187.0,57.0,225.5
Cc1nn2cc(S(=O)(=O)Oc3ccc(C(F)(F)F)cc3)cnc2c1Cl,decoy,469.5,250.5,437.5,175.0,241.0,23.0,458.0,8.0,165.5,3.5,16.0,84.0
CCOc1cc([C@@H](CS(C)(=O)=O)NC(=O)c2sccc2C)ccc1OC,decoy,315.5,250.5,406.0,424.0,398.0,367.0,302.5,245.5,354.5,397.0,211.0,81.0
COc1ccc(NC(=O)NCc2cccnc2OCC(F)(F)F)cc1F,decoy,252.5,394.0,66.0,233.5,4.0,140.0,36.0,197.0,409.0,416.0,269.0,43.0
CCOC(=O)c1cnn2cc(CN[C@H](CC)c3cc(F)ccc3OC)cnc12,decoy,479.0,245.5,152.0,28.0,282.0,56.0,426.0,73.0,75.5,267.5,1.0,9.0
COCC[C@@H](NC(=O)c1cc(NC(=O)N(C)C)ccc1Cl)c1ccco1,decoy,252.5,363.5,164.0,424.0,407.0,376.0,166.5,263.0,219.5,228.0,433.5,490.0
COc1ccc(NS(=O)(=O)c2ccc(OC(F)F)c(Cl)c2)cc1N1CCOC1=O,decoy,252.5,478.0,364.0,443.0,383.0,335.0,311.5,437.0,234.5,356.5,356.0,157.0
