smiles,origin,molecular_morgan|ref_0,molecular_morgan|ref_1,MACCSkeys|ref_0,MACCSkeys|ref_1,2D_pharmacophore|ref_0,2D_pharmacophore|ref_1,3D_pharmacophore_generated_conformers|ref_0,3D_pharmacophore_generated_conformers|ref_1,3D_shape_generated_conformers|ref_0,3D_shape_generated_conformers|ref_1,chemogenomics|ref_0,chemogenomics|ref_1
C[C@]1(c2cccc(-c3cccc(Cl)c3)c2)[NH+]=C(N)CCO1,ref_0,,443.0,,13.5,,50.0,,64.0,,343.5,,78.0
NC1=[NH+][C@@H]2CC[C@H](NC(=O)c3cccc(Cl)c3)C[C@@H]2CS1,ref_1,91.0,,15.0,,5.0,,93.0,,231.5,,349.5,
C[C@H]1C[C@H](C)CC[C@@H]1NC(=O)c1cccc(C2OCCO2)c1,decoy,402.5,428.0,70.0,322.5,282.0,332.0,338.5,405.0,168.5,69.0,43.0,249.0
CC[C@H](NC(=O)c1ccn(C)c(=O)c1)c1cccc(Cl)c1,decoy,148.5,428.0,345.5,357.0,341.0,296.0,432.0,385.5,358.0,347.5,336.0,85.0
C[C@H]1C[C@@H]1C(=O)N[C@H]1C[C@H](NC(=O)c2cccc(C3CC3)c2)C1,decoy,477.5,428.0,402.5,366.0,206.0,244.0,130.0,292.0,371.5,103.0,27.0,416.0
Cc1cc(C(=O)N2CCC(NC(=O)c3ccccc3)CC2)c(C)[nH]1,decoy,494.0,428.0,261.0,195.0,289.0,219.0,178.0,407.0,178.5,151.5,237.0,370.5
CO[C@H](CN1C(=O)N[C@@](C)(C2CC2)C1=O)c1cccc(Cl)c1,decoy,112.5,428.0,161.0,399.0,211.0,257.0,301.0,98.0,81.5,292.0,315.0,40.0
O=S(=O)(NCc1cccc(F)c1)c1ccc(OC2CC2)cc1,decoy,218.5,428.0,488.0,478.0,395.0,325.0,194.0,352.0,389.5,459.0,473.0,205.0
CC1(C)C[C@H](NC(=O)c2cccc(CC(=O)O)c2)CCS1,decoy,348.0,428.0,200.5,145.5,474.0,455.0,452.5,388.0,108.0,260.5,96.0,259.0
O=C1N[C@@H](CCF)C(=O)N1CC1(c2cccc(Cl)c2)CCC1,decoy,148.5,428.0,293.5,164.0,234.0,342.0,29.0,193.0,29.5,166.0,312.0,31.5
O=C(CC1=CCCCC1)N[C@H]1C[C@@H](NC(=O)c2ccccc2)C1,decoy,494.0,428.0,454.0,229.0,372.0,274.0,249.0,63.0,438.0,357.5,227.0,318.0
O=C(O)CN(C(=O)C1C[C@@H]2CC[C@H](C1)S2)c1cccc(F)c1,decoy,148.5,428.0,441.0,174.5,499.0,497.0,350.0,186.5,72.5,251.0,217.0,324.0
CCC1(CC)[C@@H](OC)[C@H](C)[C@H]1NC(=O)c1cccc(F)c1C#N,decoy,148.5,428.0,333.0,463.5,351.0,291.0,450.5,423.0,383.0,343.5,419.0,463.0
N[C@@H](C(=O)N1CCC([C@@H]2CCCO2)CC1)c1cccc(Cl)c1,decoy,72.0,428.0,45.0,93.0,26.0,73.0,126.0,222.5,6.0,50.5,48.0,41.0
O=C(NC1CCCC1)N[C@@H]1CCO[C@@H]1c1ccc(Cl)cc1,decoy,112.5,428.0,28.0,64.5,234.0,225.0,166.5,201.0,261.5,484.5,192.0,163.0
COC(=O)Cc1cccc(C(=O)N[C@H]2CCCC3(CC3)C2)c1,decoy,477.5,428.0,338.0,299.0,318.0,354.0,368.0,54.0,257.5,317.5,167.5,356.0
CC(=O)NC[C@@H]1CCCCCN1C(=O)c1cccc(Cl)c1,decoy,148.5,428.0,310.5,161.5,214.0,181.0,69.0,199.5,226.5,438.5,72.0,123.0
CC1(C)CC[C@H]1NC(=O)c1ccc(Cl)c(N2CCNC2=O)c1,decoy,348.0,428.0,212.0,210.0,477.0,463.0,455.0,263.0,59.5,238.0,269.0,256.0
O=C1NCCC[C@H]1C(=O)N1CCC(c2cccc(Cl)c2)CC1,decoy,148.5,428.0,152.0,58.5,263.0,410.0,12.0,371.0,55.0,18.0,140.0,120.0
CS[C@@H](C)C(=O)Nc1ccc(C(=O)NC2CCCC2)cc1C,decoy,453.0,428.0,458.5,195.0,461.0,456.0,463.5,165.0,485.0,455.5,221.0,481.0
CC(C)(C)[C@H]1CCC[C@H](NC(=O)c2cccc(CO)c2)CC1,decoy,453.0,428.0,297.0,316.5,282.0,332.0,222.5,391.0,47.0,14.5,33.0,412.0
CC(C)(NC(=O)c1ccc(Br)c(Cl)c1)C(=O)O,decoy,299.0,418.0,466.0,456.0,486.0,484.0,37.0,35.0,236.5,173.0,365.0,342.0
CON(C)C(=O)c1ccc(-c2cc(Cl)ccc2N)cc1F,decoy,62.0,456.0,390.5,442.0,142.0,224.0,35.0,391.0,161.5,141.0,429.0,51.0
CCNC(=O)NC1CCC(OC(=O)c2cccc(F)c2C)CC1,decoy,267.5,412.0,323.5,190.5,301.0,167.0,91.0,92.0,424.0,145.0,360.0,485.0
CO[C@@H]1CC[C@@H](NC(=O)c2oc3c(Cl)cccc3c2C)C1,decoy,377.5,412.0,79.0,274.0,332.0,315.0,298.0,359.0,248.5,382.0,84.0,279.5
O=C(NC1C[C@@H]2CC[C@H](C1)S2)c1cc(F)cc2nccnc12,decoy,377.5,412.0,176.5,1.0,145.0,67.0,450.5,237.5,122.0,367.5,132.0,429.0
CCCOc1ccc(C(=O)N[C@@H]2CC[C@H](SC)C2)c(OC)c1,decoy,464.0,412.0,343.5,413.0,404.0,371.0,361.0,120.5,310.5,420.5,157.0,461.5
Cc1nc2ccc(C(=O)N[C@@H]3CC[C@@H](C)[C@@H](C)C3)cc2n1C,decoy,496.5,412.0,194.5,195.0,133.0,81.0,348.0,490.0,215.5,301.0,31.0,444.0
NC[C@H]1CC[C@@H](NC(=O)c2ccc(OCc3ccccc3)cc2)C1,decoy,496.5,412.0,253.5,185.5,117.0,32.0,107.0,22.0,480.5,471.5,148.0,267.0
CCO[C@@H]1C[C@@](O)(CNC(=O)c2cc(F)ccc2CC)C1(C)C,decoy,192.5,412.0,423.0,448.0,237.0,282.0,302.0,186.5,164.5,73.5,453.0,351.0
C[C@H]1CN(c2ccc(C(=O)N[C@H]3CC[C@@H](C)C3)cn2)C[C@H](C)O1,decoy,464.0,412.0,33.5,258.0,106.0,47.0,490.0,471.0,490.0,473.0,70.0,426.5
COCC(=O)N[C@H]1CC[C@H](NCc2ccc(Cl)cc2C)CC1,decoy,267.5,412.0,136.0,195.0,85.0,38.0,333.0,204.5,478.0,266.0,120.0,265.0
C[C@H]1CC[C@@H](NC(=O)Nc2ccc(-c3ccccc3F)nn2)C1,decoy,267.5,412.0,52.5,112.0,146.0,150.0,398.0,420.5,383.0,185.0,314.0,298.5
O=C(NC1CCC(Nc2cccc(F)n2)CC1)c1ccccc1,decoy,464.0,412.0,33.5,3.0,51.0,5.0,380.0,39.0,327.0,273.5,109.0,241.0
COC(=O)c1cccc(-c2cc(F)cc(C(C)(C)O)c2)c1OC,decoy,60.5,489.0,495.0,500.0,203.0,406.0,66.0,230.5,379.0,201.0,487.0,262.5
COC(=O)CCc1ccccc1-c1cc(Cl)cc(C#N)c1,decoy,60.5,477.0,416.0,483.0,104.0,434.0,25.0,457.0,470.5,488.5,449.5,54.0
O=C(NC1CC1)c1ccc(-c2nc(-c3ccccc3F)no2)cc1,decoy,313.5,404.0,70.0,262.0,82.0,129.0,386.5,265.0,440.5,357.5,372.0,213.0
CS[C@H]1CCC[C@@H](NC(=O)c2cccc(-n3ccnc3)c2)C1,decoy,489.0,404.0,158.0,96.5,16.0,66.0,40.0,295.0,139.5,350.0,16.0,272.5
Cc1cc(C)nc(NC/C=C/CNC(=O)c2cccc(F)c2)n1,decoy,356.5,404.0,286.5,82.0,35.0,4.0,134.5,420.5,159.5,426.5,421.0,339.0
Cc1cc(Cl)ccc1C(=O)N[C@@H]1CCCN(CCCO)CC1,decoy,405.0,404.0,132.0,133.0,38.0,9.0,380.0,274.0,338.5,260.5,82.5,219.5
CCCOc1ccc(Cl)cc1C(=O)N[C@H]1CCC[C@H]1CCO,decoy,356.5,404.0,227.5,274.0,395.0,325.0,271.5,101.0,424.0,463.5,173.0,248.0
CC/C(=C/C(=O)O[C@@H](C(N)=O)C(C)C)c1cccc(Cl)c1,decoy,63.0,398.0,461.0,461.5,237.0,265.0,316.0,373.0,193.0,457.0,185.0,95.0
CC(C)[C@H](C#N)OC(=O)[C@@H]1C[C@H]1c1cccc(Br)c1,decoy,70.5,398.0,496.0,494.0,289.0,219.0,357.0,160.0,13.5,130.5,341.0,228.0
CCS(=O)(=O)c1cccc(C(=O)N[C@@H]2C[C@H]2CC(C)(C)C)c1,decoy,467.5,398.0,483.5,452.0,299.0,343.0,486.0,465.0,439.0,191.0,186.5,420.0
CC(C)(F)C(=O)NC1CC2(CC(NC(=O)c3ccccc3)C2)C1,decoy,370.0,398.0,446.0,257.0,434.0,416.0,245.0,21.0,136.5,180.0,232.0,322.0
Cc1ccc(Cl)cc1C(=O)NC1(CO)CCSCC1,decoy,117.5,398.0,136.0,28.5,309.0,287.0,90.0,220.5,113.0,136.0,175.0,117.5
Cc1nc(O)c(C(=O)NC2CCCCC2)cc1Br,decoy,428.5,398.0,158.0,56.0,63.0,118.0,394.0,331.5,72.5,141.0,222.0,338.0
C[C@H]1CO[C@H](c2cccc(Cl)c2)CN1S(=O)(=O)C1CC1,decoy,70.5,398.0,355.5,433.5,217.0,255.0,474.0,449.5,129.0,94.5,86.0,50.0
CC[C@H]1CCC[C@@H]1NC(=O)c1cn(Cc2cccc(F)c2)nn1,decoy,280.0,394.0,146.5,202.0,138.0,142.0,181.0,269.0,103.5,248.5,299.0,335.0
CCc1cc(-c2ccc(S(C)(=O)=O)c(F)c2)ccc1C#N,decoy,59.0,500.0,499.0,495.0,193.0,482.0,212.0,480.0,293.0,65.0,499.0,138.5
