smiles,origin,molecular_morgan|ref_0,molecular_morgan|ref_1,MACCSkeys|ref_0,MACCSkeys|ref_1,2D_pharmacophore|ref_0,2D_pharmacophore|ref_1,3D_pharmacophore_generated_conformers|ref_0,3D_pharmacophore_generated_conformers|ref_1,3D_shape_generated_conformers|ref_0,3D_shape_generated_conformers|ref_1,chemogenomics|ref_0,chemogenomics|ref_1
Cc1nc(N)c2cccc(C(=O)Nc3cc[nH]n3)c2n1,ref_0,,1.0,,4.5,,6.0,,1.0,,31.0,,1.0
Cc1nc(N)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,ref_1,23.0,,61.5,,18.0,,2.0,,12.0,,1.0,
NC(=O)c1cc(-c2cccc3ccncc23)cc(C(N)=O)n1,decoy,496.0,437.0,247.0,350.5,423.0,374.0,464.0,479.0,433.0,298.0,219.0,201.0
Cc1nnc([C@@H](NC(=O)c2ccccc2F)C(=N)O)o1,decoy,496.0,437.0,314.0,384.0,132.0,90.0,406.0,335.5,218.5,283.5,371.0,373.5
NC(=O)c1ccc(NC(=O)Nc2cccnc2)cc1O,decoy,496.0,491.0,359.5,394.5,406.0,421.0,400.5,427.0,445.0,361.0,429.0,432.0
CSc1nn(-c2cc(Cl)ccc2N)c(N)c1C(N)=O,decoy,496.0,245.0,175.5,65.5,242.0,74.0,436.0,268.0,1.0,20.0,182.0,303.5
O=C(O)c1cc(S(=O)(=O)Oc2ccccc2Cl)n[nH]1,decoy,496.0,245.0,498.0,483.0,449.0,464.0,125.0,85.0,259.0,72.0,349.0,445.0
CCOc1cc(NS(=O)(=O)c2ccc(O)c(N)c2)ccn1,decoy,490.5,397.5,479.0,459.5,329.0,341.0,417.0,413.0,296.0,401.5,193.0,346.0
Cc1nc(CNc2cnc(C(=O)O)cn2)ccc1[C@H](C)O,decoy,490.5,190.0,426.0,375.5,425.0,387.0,413.0,345.0,457.0,449.0,277.0,297.0
NC(=O)c1cc(Cl)nnc1NCc1cccc(C(=O)O)c1,decoy,490.5,397.5,202.0,236.5,372.0,323.0,42.0,464.0,281.0,436.5,460.0,383.0
Cc1occc1-c1cc(=NC(=O)NCC(C)(C)N)[nH]o1,decoy,490.5,190.0,346.5,261.0,273.0,185.0,256.0,394.5,8.5,70.0,381.0,436.0
N#Cc1ccc(C(=O)n2c(=N)nc(O)c3ccccc32)c(O)c1,decoy,490.5,190.0,368.5,163.0,183.0,190.0,136.0,259.5,168.0,346.5,119.0,338.5
Cc1ccnc(-c2noc(-c3c[nH]c(C(N)=O)c3)n2)c1,decoy,490.5,307.5,59.5,172.5,272.0,133.0,448.5,82.0,90.5,166.0,116.0,122.5
NC(=O)Cn1ccc(NC(=O)Nc2cccc3cccnc23)n1,decoy,486.0,432.0,124.5,98.5,64.0,113.0,357.0,191.0,472.0,445.5,221.5,274.0
COC(=O)c1ccnnc1Nc1ccc2nc(N)ncc2c1,decoy,499.0,14.5,112.0,16.5,28.0,5.0,11.0,31.0,82.0,259.5,6.0,46.0
O=C1NCCC[C@@H]1CNc1ncnc2sc([N+](=O)[O-])cc12,decoy,486.0,356.0,400.0,406.0,256.0,173.0,448.5,484.0,157.5,229.0,350.0,487.0
N#Cc1ccc(C(=O)Nc2ccc(-c3nn[nH]n3)c(F)c2)nc1,decoy,486.0,432.0,121.0,102.5,304.0,239.0,415.0,209.5,407.0,424.5,124.0,178.0
COc1ccc(C(C)(C)C(=O)n2nc(N)c(C#N)c2N)cc1,decoy,482.5,339.5,248.5,154.0,86.0,112.0,309.5,347.5,80.0,267.5,202.0,232.0
CCN(Cc1nc(N)nc(N)n1)[C@H](C)c1ccc(C#N)cc1,decoy,482.5,33.5,426.0,100.5,201.0,133.0,491.0,329.0,457.0,424.5,83.0,299.5
Cc1ncc(-c2noc([C@@H](C(C)C)[C@H](C)N)n2)c(N)n1,decoy,482.5,33.5,132.5,111.0,193.0,43.0,375.0,378.5,317.0,346.5,50.0,168.0
C[C@H](Nc1nc(Cl)ccc1S(N)(=O)=O)c1ccno1,decoy,482.5,339.5,433.5,296.0,60.0,65.0,267.0,100.0,104.5,19.0,225.0,327.5
COC(=O)c1nc(NCc2nc(C(=O)O)co2)sc1C,decoy,475.5,299.0,484.0,477.0,436.0,400.0,340.0,225.0,112.0,117.0,385.0,413.0
NC(=O)CSc1ccccc1NC(=O)c1cc(N)ccn1,decoy,475.5,182.0,413.5,448.0,148.0,214.0,244.0,263.5,77.5,79.0,251.0,358.0
CC[C@@H](NC(=O)c1nc(O)nc(O)c1N)c1ccc(F)cc1,decoy,475.5,392.0,332.5,339.5,270.0,244.0,369.0,289.0,484.0,399.0,235.0,192.0
Cc1ncoc1C(=O)Nc1c(C)nn(CCC(=O)O)c1C,decoy,475.5,475.0,459.0,421.0,352.0,348.0,23.0,230.0,223.5,166.0,413.5,429.0
