smiles,origin,molecular_morgan|ref_0,molecular_morgan|ref_1,MACCSkeys|ref_0,MACCSkeys|ref_1,2D_pharmacophore|ref_0,2D_pharmacophore|ref_1,3D_pharmacophore_generated_conformers|ref_0,3D_pharmacophore_generated_conformers|ref_1,3D_shape_generated_conformers|ref_0,3D_shape_generated_conformers|ref_1,chemogenomics|ref_0,chemogenomics|ref_1
O=C(NCCC[NH2+]Cc1cc(Cl)cc(Cl)c1)Nc1ccccc1,ref_0,,1.0,,46.0,,44.0,,1.0,,3.0,,47.0
C[C@H](CNc1nc2ncccc2[nH]1)C[NH2+]Cc1cc(Cl)cc(Cl)c1,ref_1,82.0,,334.5,,172.0,,27.0,,3.0,,1.0,
COc1ccc(Cl)cc1CN[C@@H](C)CCCNC(=O)OC(C)(C)C,decoy,493.0,81.0,428.0,475.0,44.0,127.0,449.0,227.0,165.5,63.5,101.0,302.5
C[C@@H](CC(F)(F)F)NC(=O)Nc1ccnc(OCc2ccccc2)c1,decoy,493.0,273.5,406.0,251.0,43.0,88.0,362.0,348.0,112.0,133.0,145.0,214.5
CCC[C@@H](C)NC(=O)Nc1cccc(C(=O)N2CCc3ccccc32)c1,decoy,493.0,471.0,406.0,247.0,358.0,452.0,293.5,120.0,171.0,120.0,409.0,227.0
CCOc1cc(CNC[C@@H](C[C@H](C)O)c2ccccc2)cc(Cl)c1O,decoy,493.0,23.0,491.5,371.5,239.0,237.0,189.0,45.0,208.0,319.0,14.0,103.0
CO[C@@H](CNC(=O)Nc1ccc2oc3ccccc3c2c1)C(F)(F)F,decoy,493.0,400.0,440.0,163.5,370.0,419.0,465.0,474.0,35.0,117.0,330.0,279.5
CCCCCCNC(=O)Nc1c(C)nc2ccc(Br)cn12,decoy,493.0,212.0,282.0,12.0,225.0,190.0,87.0,263.0,171.0,276.5,182.5,249.5
CNCCCC(=O)Nc1ccc(Oc2ncc(Cl)cc2Cl)cc1,decoy,493.0,119.5,358.0,203.0,58.0,139.0,390.5,481.0,245.5,401.0,44.5,166.0
CCC(CC)(CNC(=O)N[C@@H](C)C(F)(F)F)N[C@H](C)c1ccccc1,decoy,486.0,352.0,406.0,397.5,68.0,214.0,165.0,9.0,355.5,350.0,236.0,327.0
CC[C@](C)(CCO)NC(=O)NCC(C)(C)c1ccc(Cl)c(Cl)c1,decoy,486.0,154.0,219.5,400.5,448.0,477.0,222.0,155.0,20.0,180.0,108.0,332.0
C[C@@H](NC(=O)N[C@H](CO)c1cc(Cl)cc(Cl)c1)C1CCCCC1,decoy,486.0,51.0,52.5,343.5,499.0,499.0,238.5,79.0,212.0,124.5,32.0,352.0
CCC(CC)(CC)CNC(=O)Nc1cc(OC)c(Br)cn1,decoy,486.0,208.0,476.5,240.5,160.0,220.0,496.0,485.0,410.0,184.0,222.0,450.0
CC(C)c1cc(Cl)ccc1NC(=O)C(=O)NCC(C)(C)C(F)(F)F,decoy,486.0,208.0,475.0,413.0,424.0,476.0,475.0,254.0,418.5,431.5,169.5,473.0
CCOC(CCNC(=O)N[C@@H](c1ccc(Cl)cc1)C(C)C)OCC,decoy,486.0,154.0,108.0,394.5,496.0,498.0,380.0,102.0,410.0,428.5,150.0,354.0
CCC(CC)(CNC(=O)NCCC(C)(C)CO)c1ccc(Cl)cc1,decoy,486.0,208.0,86.5,376.5,494.0,491.0,200.0,52.0,177.0,252.5,188.0,334.0
Cc1cc(NC(=O)NCCc2ccc(Cl)cc2Cl)cn2ccnc12,decoy,479.0,96.5,152.5,4.0,216.0,119.0,428.5,18.0,107.5,49.5,30.0,78.5
COc1cccc(NC(=O)NCCc2csc(-c3ccccc3)n2)c1,decoy,479.0,481.0,377.5,253.5,11.0,15.0,80.0,437.5,56.0,72.0,362.5,75.0
C[C@@H](Cc1ccccn1)NC(=O)Nc1ccc(N2CCCC2)c(Cl)c1,decoy,479.0,188.5,59.0,26.5,50.0,45.0,274.0,41.0,237.5,206.5,87.0,377.5
Cc1ccccc1CCNC(=O)Nc1cc2c(cc1Cl)OCCCO2,decoy,479.0,422.0,214.0,185.5,456.0,298.0,232.0,271.0,424.0,380.5,128.5,163.0
C[C@@H](CC(=O)Nc1cccc(Cl)c1)NCc1nc2c(s1)CCCC2,decoy,479.0,96.5,315.0,26.5,49.0,4.0,382.5,429.0,26.0,11.5,55.0,418.0
Cc1cn2ccc(NC(=O)N[C@H](Cc3ccc(F)cc3)C(C)C)cc2n1,decoy,479.0,55.0,437.0,39.5,163.0,47.0,409.5,249.0,376.5,394.0,246.5,442.5
CO[C@H](CNC(=O)Nc1cnc2c(c1)CCCC2)c1ccccc1Cl,decoy,479.0,296.0,136.0,62.5,89.0,127.0,369.5,131.5,184.5,272.0,133.0,301.0
C[C@@H](CCO)N(Cc1ccccc1)C(=O)Nc1ccc(F)cc1Cl,decoy,474.0,129.5,48.5,282.0,374.0,385.0,151.0,25.0,205.0,165.5,124.5,137.0
CCSC1(CNC(=O)Nc2ccc(SC(F)(F)F)nc2)CC1,decoy,474.0,303.5,338.5,148.0,52.0,155.0,284.0,211.0,270.5,239.0,332.0,466.0
CCc1ccccc1NC(=O)CN(C)C(=O)Nc1ccc(Cl)cc1C,decoy,474.0,129.5,338.5,277.5,360.0,331.0,158.5,53.0,251.5,338.5,136.0,244.0
CCNc1ccc(Cl)cc1C(=O)NC[C@H](N[C@@H](C)CC)c1ccco1,decoy,497.0,8.0,406.0,114.0,141.0,6.0,277.0,61.0,316.5,443.0,38.0,317.0
O=C(CCC(=O)Nc1c(F)cccc1F)Nc1ccc(Cl)cc1F,decoy,472.0,237.0,254.5,480.0,368.0,305.0,15.0,122.5,389.0,325.5,106.0,391.0
CNC1(CNC(=O)Nc2sc(-c3ccccc3)nc2C)CCCCC1,decoy,468.5,396.0,319.0,172.0,8.0,82.0,418.0,379.5,65.0,13.0,387.0,355.0
Cc1cc(NC(=O)NC[C@@H](O)c2c(F)cccc2F)c2ccccc2c1,decoy,468.5,336.0,276.5,215.0,379.0,274.0,227.0,291.5,387.5,375.0,351.0,297.5
CC[C@@H](NC(=O)NC[C@@H](c1ccnn1C)C(C)C)c1cccc(Cl)c1,decoy,468.5,116.0,419.0,175.5,297.0,259.0,320.5,430.0,157.0,350.0,49.0,410.0
CC(=O)Nc1ccc(Cl)c(C(=O)NCCCSc2ccccc2)c1,decoy,468.5,336.0,140.0,326.5,379.0,274.0,99.5,368.0,310.5,276.5,241.5,35.0
C[C@H](NCCCNC(=O)OC(C)(C)C)c1cccc(OC(F)(F)F)c1,decoy,468.5,270.0,449.5,482.0,16.0,123.0,231.0,282.0,192.0,285.0,255.0,413.0
CSCC1(CCNC(=O)Nc2c(C)nn(-c3ccccc3)c2C)CC1,decoy,468.5,486.5,362.0,157.0,138.0,223.0,440.0,385.5,72.0,56.5,312.5,180.0
O=C(NCC[C@@H]1CCCC[C@@H]1O)Nc1cccc2c1ccn2C(F)F,decoy,462.0,419.5,181.5,172.0,411.0,454.0,206.0,461.0,103.0,191.5,461.0,470.5
Cc1nc(CCNC(=O)Nc2ccc(F)cc2OC2CCCC2)cs1,decoy,462.0,289.5,325.0,210.0,46.0,40.0,104.0,242.0,420.0,431.5,367.5,488.0
CCC(CC)[C@H](NC(=O)Nc1cnc2c(c1)CNCC2)c1cccs1,decoy,462.0,19.0,136.0,16.0,66.0,53.0,319.0,388.5,438.5,231.0,122.0,463.0
COc1cccc(-c2ccccc2NC(=O)NCCC[C@@H]2CCOC2)c1,decoy,462.0,494.5,203.0,311.0,462.0,457.0,211.0,336.0,444.5,440.0,458.0,126.5
CC(C)c1ccccc1NC(=O)N[C@H](CC(=O)N(C)C)c1ccccc1,decoy,462.0,413.5,442.0,490.5,342.0,337.0,395.0,377.0,492.0,494.5,442.5,348.5
CC[C@@H](NCCC(=O)Nc1ccc2c(c1)OCO2)c1ccc(Cl)cc1,decoy,462.0,181.0,305.0,108.0,69.0,21.0,336.0,16.0,152.5,117.0,100.0,310.0
Cc1cc(N2CCCC[C@H]2C)ccc1NC(=O)NCCCOC(F)F,decoy,462.0,450.0,276.5,262.0,137.0,201.0,395.0,382.5,370.5,247.5,421.0,439.0
CC(C)CC[C@@H](CO)NC(=O)Nc1cccc(SC(F)(F)F)c1,decoy,456.5,459.5,338.5,486.0,303.0,379.0,213.0,415.0,344.5,401.0,197.0,415.0
CC(C)(CO)[C@@H](NC(=O)Nc1ccccc1Cc1ccccc1)C1CC1,decoy,456.5,459.5,364.5,319.0,346.0,442.0,293.5,78.0,165.5,39.5,460.0,328.0
CCC(CC)(CCO)NC(=O)NCC(C)(C)Cc1cccc(Cl)c1,decoy,456.5,174.5,164.0,364.5,410.0,485.0,282.0,254.0,355.5,259.5,73.0,289.5
CC(C)CC[C@@H](NC(=O)NC[C@](C)(O)c1cccc(F)c1)C(C)(C)C,decoy,456.5,126.5,367.5,462.0,395.0,459.0,236.0,168.0,205.0,147.5,220.5,478.0
OC[C@H](CNCc1cc(Cl)ccc1OC1CCCC1)Cc1ccco1,decoy,500.0,6.0,482.5,371.5,123.0,140.0,352.0,56.0,378.5,363.0,36.0,429.5
COc1ccc(Cl)cc1NC(=O)N[C@H](CCN(C)C)c1ccccc1,decoy,447.0,392.0,181.5,334.5,54.0,85.0,363.5,254.0,491.0,498.0,206.5,131.0
CC[C@H](COCC(F)(F)F)NC(=O)Nc1cccc(COC(C)C)c1,decoy,447.0,467.5,364.5,472.0,286.0,392.0,301.5,118.5,323.5,359.0,204.0,401.0
Cc1ccc(Cl)cc1Oc1ccccc1CNCC1(CC(N)=O)CC1,decoy,447.0,74.5,288.0,440.5,125.0,143.0,412.0,86.0,51.0,169.5,82.5,217.0
C/C=C/c1ccc(NC(=O)N[C@H](CN2CCCC2=O)c2ccccc2)cc1,decoy,447.0,467.5,264.0,271.5,409.0,367.0,259.5,264.0,458.0,477.0,481.0,287.0
COc1ccc(OC)c(NC(=O)NC2(Cc3ccccc3F)CCC2)c1,decoy,447.0,392.0,294.5,485.0,443.0,288.0,155.0,403.5,296.5,281.0,478.5,453.0
CC[C@H](C)[C@@H](NC(=O)Nc1cn(C)c(=O)cc1C)c1ccc(Cl)cc1,decoy,447.0,151.0,484.0,218.0,388.0,382.0,455.0,477.0,266.0,454.5,153.0,434.0
CC(C)(CCNCc1c(F)cccc1OC(F)(F)F)CCC(=O)O,decoy,447.0,74.5,478.5,498.0,230.0,222.0,373.0,210.0,329.0,367.0,212.0,429.5
C[C@@H](NC1(CNC(=O)c2cc(Cl)ccn2)CCCC1)c1ccccc1,decoy,447.0,56.0,174.5,98.0,86.0,51.0,258.0,50.0,123.5,302.5,104.0,283.0
O=C(NCCCc1cccc(Cl)c1)N[C@H](CCCO)c1ccccc1,decoy,447.0,266.0,12.0,291.0,426.0,472.0,45.0,161.5,421.0,308.5,117.0,14.0
Cc1ccc(C(C)(C)CNC(=O)NC2(c3cccc(Cl)c3)CC2)nc1,decoy,447.0,74.5,86.5,84.5,82.0,174.0,273.0,39.0,75.0,176.0,164.5,419.0
COC[C@](C)(NC(=O)Nc1cccc(NC2CCCC2)c1)C(F)(F)F,decoy,447.0,392.0,129.5,356.0,63.0,118.0,172.0,207.0,70.5,180.0,466.5,482.0
CC(=O)CSCC(=O)Nc1ccccc1NCc1ccc(Cl)cc1,decoy,447.0,112.5,276.5,215.0,108.0,100.0,436.0,332.5,131.0,223.5,74.0,120.0
CC(C)n1c([C@H](C)NCCC(=O)Nc2ccccc2)nc2ccccc21,decoy,447.0,330.5,471.0,98.0,129.0,2.0,333.5,104.5,316.5,325.5,284.0,167.0
O=C(NCCCC(F)F)N[C@@H](c1cccc(Cl)c1)c1ccccn1,decoy,447.0,74.5,25.5,98.0,194.0,252.0,356.0,405.0,406.0,484.0,56.0,60.0
Cc1cc(NC(=O)N[C@H](CC(C)(C)C)c2ccc(F)cc2)c(=O)n(C)c1,decoy,447.0,201.5,487.0,385.5,416.0,352.0,488.0,424.5,469.0,496.0,412.5,497.0
CCCCOCCNC(=O)Nc1ccccc1CN(C)c1ccccc1,decoy,436.5,474.5,101.0,349.0,117.0,91.0,41.0,163.0,296.5,424.0,403.5,90.0
C#CCCCCNC(=O)Nc1ccn(-c2ccc(Cl)cc2Cl)n1,decoy,436.5,287.0,157.5,110.5,170.0,215.0,190.0,393.0,290.5,186.0,58.0,48.0
COCC1(CNC(=O)Nc2ccc3nc(C(F)F)sc3c2)CCC1,decoy,436.5,416.5,382.0,53.5,163.0,105.0,463.0,357.0,237.5,60.5,321.5,468.0
C[C@H](N[C@H](Cc1ccccn1)c1ccccc1)C(=O)Nc1cccc(F)c1,decoy,436.5,39.5,454.5,189.5,202.0,53.0,282.0,233.0,448.0,331.5,259.5,339.5
CCCNC(=O)C1(NCc2cc(Cl)cc3cccnc23)CCCCC1,decoy,436.5,18.0,144.5,39.5,117.0,10.0,259.5,121.0,486.0,319.0,21.0,339.5
O=C(NCCc1ccc(N2CCCCC2)cc1)Nc1ccnc(Cl)c1,decoy,436.5,229.0,4.0,23.0,132.0,101.0,292.0,59.0,184.5,78.0,214.0,273.0
C[C@@H](CC(C)(C)O)NC(=O)NCC(C)(C)c1c(Cl)cccc1Cl,decoy,432.5,268.5,334.5,404.5,390.0,464.0,187.0,231.0,366.5,81.0,93.0,407.0
