smiles,origin,molecular_morgan|ref_0,molecular_morgan|ref_1,MACCSkeys|ref_0,MACCSkeys|ref_1,2D_pharmacophore|ref_0,2D_pharmacophore|ref_1,3D_pharmacophore_generated_conformers|ref_0,3D_pharmacophore_generated_conformers|ref_1,3D_shape_generated_conformers|ref_0,3D_shape_generated_conformers|ref_1,chemogenomics|ref_0,chemogenomics|ref_1
Nc1ncc2cc(-c3ccccc3)c(-n3cccc3)nc2n1,ref_0,,479.0,,32.0,,188.0,,331.0,,274.5,,88.0
Cc1nc(-c2ccnc(N)n2)cn1Cc1c(Cl)cccc1Cl,ref_1,73.0,,21.5,,185.0,,203.5,,145.5,,250.0,
N#Cc1c(F)cccc1Nc1cnn(Cc2ccccn2)c1,decoy,281.0,456.5,138.5,71.0,252.0,253.0,407.0,68.0,407.0,343.5,363.0,188.0
Cc1conc1C(=O)Nc1cccc(Cn2ccnc2C(C)C)c1,decoy,195.0,456.5,248.0,287.0,439.0,450.0,443.0,418.0,210.0,21.5,315.0,420.0
CC(=O)Nc1ccccc1-c1ccnn(Cc2ccccc2F)c1=O,decoy,195.0,456.5,308.0,240.0,445.0,336.0,278.0,281.5,422.5,416.0,480.0,167.0
COC(=O)c1cc2ccncc2nc1-c1cccc(Cl)c1CO,decoy,195.0,456.5,437.0,392.5,21.0,179.0,14.0,136.0,38.5,131.0,63.0,288.0
Clc1ccccc1Cn1ccnc1-c1nnc([C@@H]2CCOC2)o1,decoy,465.5,454.0,339.5,245.0,321.0,303.0,64.0,60.0,33.5,16.0,116.0,144.0
COC(=O)c1cc2cnc(N[C@@H]3C[C@@H](C)c4ccccc43)nc2n1C,decoy,42.0,488.0,35.0,192.5,104.0,85.0,179.0,428.0,210.0,15.0,475.5,105.0
O=S(=O)(c1ccc(F)cc1)c1ccc(-c2ccnc(O)c2)cc1,decoy,171.5,447.0,498.0,499.0,478.0,463.0,404.0,29.0,480.5,454.0,465.0,202.0
N#Cc1cc(Nc2ccnc(O)c2)c(Br)cc1F,decoy,369.5,447.0,383.5,456.0,320.0,435.0,104.5,451.5,31.0,480.5,406.0,397.0
N#Cc1cnc(Nc2cccc(F)c2O)c(Br)c1,decoy,266.5,447.0,267.5,382.5,211.0,308.0,121.0,143.0,65.0,197.5,448.0,338.0
Cc1cc(NS(=O)(=O)c2cnc(C)n2C)cc(Cl)c1Cl,decoy,452.5,447.0,330.5,340.0,474.0,485.0,308.0,234.0,318.5,131.0,177.0,370.0
CN(c1ccnc(C#N)c1)c1c(N)cccc1Br,decoy,115.5,447.0,117.5,101.0,249.0,336.0,43.5,289.0,407.0,416.0,115.0,206.0
Cc1ccc(-c2nc(-c3ccncc3Br)no2)o1,decoy,452.5,447.0,403.0,404.0,407.0,207.0,215.0,30.0,138.5,52.0,202.5,225.0
Cc1nc(-c2nc(-c3cc(F)c(C)c(F)c3)no2)oc1C,decoy,452.5,447.0,423.0,428.0,203.0,250.0,422.0,134.5,400.5,445.0,361.0,372.5
Nc1cc(Cl)ccc1-c1ccnc(-c2cncs2)n1,decoy,115.5,447.0,63.0,72.0,31.0,32.0,352.0,36.0,410.5,351.0,23.0,48.0
Cc1noc(-c2cc(O)nc3c(Br)cccc23)n1,decoy,171.5,447.0,406.5,475.0,414.0,343.0,75.0,191.5,28.0,235.0,181.0,200.5
Cc1cccc(-c2nc(-c3ccc(Br)c(C)n3)no2)n1,decoy,452.5,447.0,303.0,330.5,327.0,264.0,474.0,144.0,396.0,440.0,102.0,380.0
CS(=O)(=O)c1ccc(Nc2ncccc2-c2ccccc2)cn1,decoy,41.0,487.0,308.0,439.0,45.0,52.0,197.5,413.0,46.0,454.0,496.0,23.0
COC(=O)c1ccnc(-c2cc(F)cc(N)c2Cl)c1F,decoy,171.5,447.0,259.0,272.5,340.0,124.0,232.0,483.0,272.5,110.5,192.0,350.0
Cc1ocnc1-c1noc(-c2ccc(Br)c(F)c2)n1,decoy,369.5,447.0,437.0,431.0,214.0,230.0,423.5,277.0,119.5,208.0,307.0,308.0
Cc1ocnc1-c1nc(-c2ccc(F)cc2Br)no1,decoy,369.5,447.0,412.0,417.5,168.0,206.0,413.0,108.0,291.5,131.0,275.0,255.0
Cc1cc(-c2ccccc2F)nnc1NCc1cnoc1C,decoy,145.0,433.5,235.5,125.5,358.0,366.0,405.0,194.0,78.0,157.5,409.0,264.0
Nc1ccoc1C(=O)N1CCC(Nc2ccccc2Cl)CC1,decoy,224.5,433.5,255.0,258.5,428.0,449.0,485.0,78.5,135.5,41.0,388.0,315.0
COC(=O)c1c(Cl)cccc1-c1ccnc(NC(C)=O)c1,decoy,224.5,433.5,323.5,342.0,396.0,359.0,375.0,139.5,296.5,197.5,147.0,385.5
Cc1cc(C)c(Cl)c(-n2ncc3c(Cl)nc(N)nc32)c1,decoy,60.0,433.5,14.0,16.0,107.0,183.0,122.0,306.5,19.0,223.0,50.5,107.0
CC(=O)c1nc(-c2nc(-c3ccc(Cl)c(F)c3)no2)cn1C,decoy,312.0,433.5,264.5,256.5,189.0,202.0,292.0,88.5,431.5,487.0,157.0,296.0
CCN(C)C(=O)c1cccc(Nc2c(N)ccnc2Cl)c1,decoy,224.5,433.5,272.5,141.5,243.0,335.0,346.0,305.0,403.0,326.0,151.0,428.0
Cc1nc(N)ncc1-c1nc2ccccc2cc1C(F)(F)F,decoy,49.5,433.5,29.0,118.0,9.0,108.0,61.0,106.0,6.0,392.5,118.0,11.0
Cc1nc(C2CC2)nc(-c2cnc(N)cc2C(F)(F)F)c1F,decoy,224.5,433.5,83.0,89.5,154.0,39.0,46.0,151.0,108.5,470.0,238.0,94.0
CN(C)C(=O)c1ccc(N[C@@](C)(C#N)c2ccccc2Cl)cn1,decoy,312.0,433.5,337.0,304.5,60.0,242.0,109.0,336.0,229.0,175.5,411.0,330.5
Cc1oncc1-c1ccc([C@@H](C#N)c2ccccc2F)nn1,decoy,312.0,433.5,351.5,397.0,461.0,409.0,476.0,275.0,307.0,110.5,356.5,153.0
Cc1cc(Cl)ccc1-c1noc(-c2ccncc2C#N)n1,decoy,312.0,433.5,303.0,272.5,356.0,295.0,382.5,304.0,160.0,115.5,130.0,197.5
