smiles,origin,molecular_morgan|ref_0,molecular_morgan|ref_1,MACCSkeys|ref_0,MACCSkeys|ref_1,2D_pharmacophore|ref_0,2D_pharmacophore|ref_1,3D_pharmacophore_generated_conformers|ref_0,3D_pharmacophore_generated_conformers|ref_1,3D_shape_generated_conformers|ref_0,3D_shape_generated_conformers|ref_1,chemogenomics|ref_0,chemogenomics|ref_1
Cc1ccc(C(=O)NO)cc1NCc1ccccc1,ref_0,,213.0,,262.0,,340.0,,329.0,,181.0,,274.0
O=C(NO)c1cn(-c2cc(Cl)ccc2Oc2ccc(F)cc2)nn1,ref_1,354.0,,134.5,,401.0,,442.0,,294.5,,9.0,
COC1=CC[C@H](Oc2ccc(Cl)cc2C(=O)NO)CC1,decoy,319.0,180.5,105.5,171.5,391.0,474.0,85.5,85.0,52.0,90.0,159.5,390.5
COC(=O)c1cccc(CNc2cc3c(cc2OC)CCC(=O)N3)c1,decoy,314.0,478.0,214.0,363.5,54.0,224.0,195.0,184.0,120.0,422.5,486.0,395.0
CCOC(=O)c1sc(NC(=O)c2ccc3c(c2)NCC3)nc1C,decoy,314.0,325.0,308.0,394.0,155.0,208.0,278.0,260.0,227.0,439.5,417.0,351.0
Cc1ncc(C(=O)N[C@@H](c2ccc(F)cc2)c2cnn(C)c2)s1,decoy,346.0,180.5,478.0,239.0,263.0,109.0,396.0,417.0,394.5,173.0,88.0,335.0
CC(C)Oc1ccc(Cl)cc1Nc1nccnc1C(N)=O,decoy,346.0,180.5,351.0,91.5,234.0,225.0,349.0,290.0,54.0,90.0,257.0,477.0
Cc1cn(-c2ccc(Cl)cc2)nc1NC(=O)[C@@H](O)C(C)C,decoy,400.5,180.5,259.5,30.0,161.0,115.0,246.0,408.0,6.0,73.5,149.0,355.0
Cc1cccc2nc(CNC(=O)c3ccc4c(c3)NCC4)n(C)c12,decoy,314.0,437.5,271.5,378.5,210.0,311.0,260.0,388.0,181.5,344.0,433.0,290.0
CC[C@H](NC(=O)c1snnc1C)c1cc(F)ccc1OC,decoy,400.5,180.5,472.5,160.0,373.0,130.0,121.0,297.0,332.0,264.5,252.5,441.5
CCS(=O)(=O)NCc1cc(Oc2cccc(Cl)c2)ccn1,decoy,437.5,180.5,462.0,340.0,209.0,286.0,381.0,42.0,207.0,44.5,274.5,435.0
CCCOc1ccc(F)cc1-c1ccnc(C(N)=O)c1,decoy,437.5,180.5,379.5,235.0,282.0,293.0,265.0,59.0,145.0,42.5,256.0,458.0
CC(C)Oc1ccc(Cl)cc1C(=O)Nc1ccc(O)nn1,decoy,369.0,180.5,220.0,44.0,307.0,11.0,459.0,150.0,45.0,19.0,75.0,427.0
C[C@@](O)(CNc1cccc2c1C(=O)N=NC2=O)c1ccccc1,decoy,304.5,427.0,105.5,258.0,280.0,95.0,198.0,364.0,80.5,150.0,313.0,170.0
COc1ccc(NCC(C)(C)c2ccccc2)cc1S(N)(=O)=O,decoy,304.5,365.0,290.5,404.0,32.0,415.0,233.0,271.0,454.0,285.5,396.5,270.0
COc1ccc(NCCN2C(=O)c3ccccc3C2=O)c(C)c1,decoy,304.5,427.0,214.0,274.5,226.0,358.0,416.5,374.0,328.5,194.5,422.5,297.5
