smiles,origin,molecular_morgan|ref_0,molecular_morgan|ref_1,MACCSkeys|ref_0,MACCSkeys|ref_1,2D_pharmacophore|ref_0,2D_pharmacophore|ref_1,3D_pharmacophore_generated_conformers|ref_0,3D_pharmacophore_generated_conformers|ref_1,3D_shape_generated_conformers|ref_0,3D_shape_generated_conformers|ref_1,chemogenomics|ref_0,chemogenomics|ref_1
O=C([O-])c1ccccc1OCc1cccc2ccccc12,ref_0,,10.0,,252.5,,2.0,,199.0,,103.5,,1.0
O=C([O-])c1cc2c(-c3cccc4ccccc34)cccc2[nH]1,ref_1,39.0,,232.5,,3.0,,319.0,,101.5,,1.0,
N#Cc1ccc(Nc2ccc3cnccc3c2)cc1Cl,decoy,425.5,351.5,401.0,252.5,339.0,443.0,273.5,421.5,57.0,324.0,401.0,415.0
Oc1ncc(-c2cccc3c2oc2ccccc23)cc1F,decoy,471.0,192.0,118.5,66.5,409.0,280.0,128.0,131.0,251.5,17.0,21.0,126.0
Cc1cc(-c2cccc3nc(O)ccc23)nc2ccccc12,decoy,447.5,192.0,252.5,78.0,424.0,356.0,26.0,74.0,17.0,25.0,8.0,81.0
CC(C)=CC(=O)Nc1ccc(Oc2ccc(C)cn2)cc1,decoy,425.5,291.5,331.5,292.5,369.0,413.0,292.0,477.0,496.0,494.0,413.0,363.0
CC/C=C(/C)C(=O)Nc1cccnc1Oc1ccccc1,decoy,425.5,291.5,247.0,321.0,241.0,312.0,464.0,467.0,474.5,61.0,273.0,191.5
CCN(C(=O)c1nc(C(C)C)oc1C)c1cccc(C)c1,decoy,420.0,436.5,384.0,370.5,184.0,228.0,238.0,123.0,277.5,250.5,409.0,411.0
Cc1cccc(NC(=O)c2ccccc2C(C)(C)C)c1O,decoy,420.0,375.0,177.0,211.0,66.0,61.0,458.5,450.0,89.5,100.5,184.0,79.0
N#Cc1ccc(Oc2ccc(-c3ccc(O)cc3)cc2)cc1,decoy,420.0,254.5,50.0,241.5,223.0,209.0,482.0,249.5,486.0,478.0,272.0,195.0
CC(=O)c1cccc(NC(=O)c2cc(C)c(C)cc2C)c1,decoy,420.0,375.0,355.5,382.5,54.0,101.0,321.0,333.0,85.5,212.0,413.0,440.5
CCC(CC)(C(=O)Nc1ccc(O)cc1)c1ccccc1,decoy,420.0,375.0,218.5,306.0,168.0,222.0,340.0,164.0,406.0,339.0,162.0,106.0
Cc1c(C#N)cccc1-c1nccc2c3c([nH]c12)CCCC3,decoy,466.0,187.5,454.0,175.0,289.0,189.0,202.5,21.0,104.0,20.0,331.0,486.0
CCCOc1ccc(Cl)cc1-c1ncc(C)cc1C#N,decoy,413.5,346.5,204.0,456.5,429.0,392.0,332.0,352.0,492.0,180.5,481.5,434.0
