smiles,origin,molecular_morgan|ref_0,molecular_morgan|ref_1,MACCSkeys|ref_0,MACCSkeys|ref_1,2D_pharmacophore|ref_0,2D_pharmacophore|ref_1,3D_pharmacophore_generated_conformers|ref_0,3D_pharmacophore_generated_conformers|ref_1,3D_shape_generated_conformers|ref_0,3D_shape_generated_conformers|ref_1,chemogenomics|ref_0,chemogenomics|ref_1
NC(=O)c1cccc2c1C(=O)N(C1CC[NH2+]CC1)C2,ref_0,,64.0,,68.5,,289.0,,91.0,,238.5,,39.5
NC(=O)c1cc(F)cc2[nH]c(-c3cc4c(o3)C[NH2+]CC4)nc12,ref_1,477.0,,206.5,,425.0,,227.0,,312.0,,12.0,
CC(=O)Sc1ccccc1C(=O)N1CC[C@H]2C[C@]21C(N)=O,decoy,464.0,485.5,266.0,353.0,341.0,402.0,131.0,263.5,463.5,472.0,386.0,288.0
Nc1ccc(S(=O)(=O)N2CCC3(CCNCC3)C2)cc1,decoy,464.0,343.0,364.5,420.5,146.0,328.0,13.0,470.0,370.5,339.0,305.0,237.0
CC(C)CN1C(=O)N[C@](C)(c2cccc(C(N)=O)c2)C1=O,decoy,464.0,343.0,422.5,444.0,344.0,468.0,311.5,243.0,303.0,186.0,403.0,395.5
CC(=O)Nc1cc(C(=O)N2CCCC[C@@H]2CN)ccc1F,decoy,455.5,198.0,184.5,218.5,124.0,160.0,255.0,274.5,336.0,262.5,395.0,415.0
CN(C)C(=O)c1ccc(=O)n(Cc2cccc(C(N)=O)c2)c1,decoy,455.5,296.5,366.0,435.0,376.0,391.0,49.0,56.0,482.0,440.0,411.5,418.0
C[C@H]1CN(S(=O)(=O)c2cccc(F)c2C(=O)O)CCN1,decoy,455.5,74.0,463.0,418.5,377.0,378.0,7.0,464.0,17.0,377.5,291.0,336.0
C[C@@H]1NCCN(C(=O)c2ccc([N+](=O)[O-])cc2F)[C@H]1C,decoy,455.5,157.5,405.5,396.0,77.0,123.0,332.0,135.0,452.5,248.0,153.0,310.0
Cc1nc(C2CC2)ccc1C(=O)N1CCC(O)(CN)CC1,decoy,455.5,296.5,134.5,156.0,52.0,181.0,367.5,300.0,370.5,325.0,315.0,274.0
CO[C@@H]1CCN(C(=O)c2cccc(CO)c2)[C@@H](CN)C1,decoy,455.5,495.0,321.0,352.0,73.0,200.0,73.0,128.0,459.5,387.0,493.0,479.0
O=C(c1ccc(Cl)c([N+](=O)[O-])c1)N1CC2(CCNC2)C1,decoy,455.5,157.5,322.0,365.0,7.0,274.0,301.5,396.0,326.5,208.0,221.0,230.0
COc1cccc(C(=O)N2C[C@@H]3CNC[C@@H]3C2)c1[N+](=O)[O-],decoy,455.5,460.0,360.0,426.5,11.0,182.0,393.0,484.0,417.5,442.0,311.0,133.5
NC(=O)NC1CCN(C(=O)[C@H]2CCCc3ccccc32)CC1,decoy,455.5,296.5,26.0,198.5,277.0,457.0,160.0,436.0,368.5,112.5,339.0,151.0
N#Cc1ccc(N2CCC([C@H]3CCNC3)CC2)nc1N,decoy,455.5,382.0,107.5,213.0,371.0,87.0,259.0,125.0,436.5,76.0,262.0,165.0
C[C@H]1CCCN(/C(N)=N/Cc2cccc(C(N)=O)c2)C1,decoy,455.5,198.0,356.0,392.0,273.0,339.0,222.5,42.0,345.0,259.5,359.0,263.5
NC(=O)c1ccc(C(=O)N2CCC[C@H]2c2ncccn2)cc1,decoy,455.5,157.5,158.5,163.0,151.0,207.0,248.0,356.0,447.0,245.0,372.0,338.0
NC(=O)c1ccc(N[C@H]2c3ccccc3C[C@H]2O)nc1,decoy,455.5,74.0,413.5,213.0,419.0,73.0,178.0,71.0,21.0,94.5,342.0,402.5
Cc1cc(=NC(=O)N2CCNC[C@@H]2C(C)C)[nH]nc1C,decoy,455.5,157.5,354.5,316.5,347.0,66.0,470.0,192.5,117.5,17.5,219.0,427.0
Cc1ccc(S(N)(=O)=O)c(C(=O)N2CC[C@@H]2C)c1,decoy,448.0,434.5,486.5,494.5,467.0,494.0,100.5,184.0,415.5,485.0,405.0,421.0
CNC(=O)c1ccc(Nc2ccc(F)cc2C(N)=O)cn1,decoy,484.0,33.0,482.0,288.5,443.0,12.0,26.0,74.0,455.0,16.0,70.0,435.0
NS(=O)(=O)c1cccnc1-c1cccc2c1CCNC2,decoy,467.0,33.0,377.5,314.5,234.0,118.0,330.5,262.0,312.0,482.0,27.0,127.0
